nace_r2,emp_cont,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,TOTAL,THS,BG	: u	: u	: u	: u	3.3 u	: u	: bu	: bu	: u	: bu
H51,TOTAL,THS,CH	10.7 	12.2 	8.8 	8.2 	8.2 	9.7 	9.8 	10.0 b	7.2 	5.8 bu
H51,TOTAL,THS,CY	: u	: u	: u	1.3 u	1.6 	1.1 u	1.8 	1.4 u	1.6 b	2.0 b
H51,TOTAL,THS,CZ	8.1 	6.1 	3.6 	6.9 	8.5 	6.5 	11.8 b	11.6 	9.3 	9.2 b
H51,TOTAL,THS,DE	77.6 	78.6 	75.7 	77.2 	83.3 	93.8 	85.0 	91.7 b	87.3 	80.2 b
H51,TOTAL,THS,DK	4.9 b	4.6 b	6.1 	7.0 	6.3 	7.5 	7.3 	5.3 	4.1 	6.9 b
H51,TOTAL,THS,EA17	294.7 	297.6 	312.0 	316.9 	314.5 	333.4 	342.5 	345.2 	340.3 	351.4 b
H51,TOTAL,THS,EA18	297.1 	300.0 	313.5 	318.5 	315.7 	335.9 	345.1 	347.8 	342.4 	352.8 b
H51,TOTAL,THS,EA19	297.8 	300.4 	313.9 	319.3 	316.0 	336.2 	345.5 	348.1 	342.9 	353.3 b
H51,TOTAL,THS,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,TOTAL,THS,EL	7.6 	8.1 	9.0 	8.5 	7.2 	8.5 	8.6 	7.2 	6.4 b	6.4 b
H51,TOTAL,THS,ES	42.0 	38.0 	40.9 	44.2 	44.2 	37.9 	49.4 	53.9 	50.8 b	53.3 b
H51,TOTAL,THS,EU15	368.8 	372.2 	385.5 	391.8 	376.7 	403.1 	414.6 	411.3 	412.7 	408.5 b
H51,TOTAL,THS,EU27	411.6 	412.0 	422.7 	433.6 	416.6 	443.0 	461.3 	455.8 	455.1 	449.0 b
H51,TOTAL,THS,EU28	412.6 	412.1 	422.7 	434.7 	417.4 	443.1 	461.7 	456.5 	455.6 	450.0 b
H51,TOTAL,THS,FI	6.5 	5.2 	5.3 	5.5 	5.5 	5.0 	5.6 	6.2 	7.1 	8.9 b
H51,TOTAL,THS,FR	67.2 	72.8 	86.7 	78.7 b	73.9 	82.5 	83.5 	75.5 	68.9 	83.4 b
H51,TOTAL,THS,HR	: u	: c	: 	1.1 bu	: u	: c	: c	: c	: c	: bu
H51,TOTAL,THS,HU	4.9 	5.8 	5.4 	5.7 	3.9 u	3.0 u	7.2 	6.8 	5.2 	4.2 bu
H51,TOTAL,THS,IE	7.1 b	7.5 	10.0 	10.4 	8.8 	8.2 	7.9 	9.2 	8.3 	7.2 b
H51,TOTAL,THS,IS	3.2 	3.0 	2.1 	2.0 	2.0 	1.5 	1.8 	1.9 	2.0 	2.0 b
H51,TOTAL,THS,IT	25.8 	22.0 	23.6 	32.1 	30.3 	31.7 	32.2 	31.6 	31.4 	35.6 b
H51,TOTAL,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,TOTAL,THS,LU	2.3 	2.3 	2.3 b	2.4 	2.2 	2.1 	2.6 	2.6 	2.4 b	3.2 b
H51,TOTAL,THS,LV	2.4 	2.4 	1.5 u	1.5 u	: u	2.6 u	2.6 u	2.5 u	2.1 u	1.5 bu
H51,TOTAL,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
H51,TOTAL,THS,MK	: c	: c	: c	: c	: c	: c	0.6 u	: 	: 	: 
H51,TOTAL,THS,MT	1.6 	1.5 	1.6 	1.7 	1.1 	1.2 	1.6 	1.6 	1.2 	1.4 b
H51,TOTAL,THS,NL	24.3 	24.1 	24.7 	25.6 	26.4 b	30.5 	33.0 	33.3 b	36.3 	34.0 b
H51,TOTAL,THS,NO	5.5 	6.4 	6.9 	7.4 	8.6 	8.7 	6.5 	6.7 	7.4 	7.9 b
H51,TOTAL,THS,PL	13.4 u	9.7 u	9.9 u	11.8 u	7.6 u	9.7 u	7.6 u	6.4 bu	5.4 u	5.8 bu
H51,TOTAL,THS,PT	11.2 	12.9 	10.2 	8.7 	7.6 	7.0 	6.7 b	6.9 	13.5 	10.5 b
H51,TOTAL,THS,RO	6.5 u	7.0 u	8.0 u	: u	8.9 u	10.2 u	8.5 u	7.2 bu	8.7 u	7.7 bu
H51,TOTAL,THS,SE	7.8 	8.1 	6.5 	5.9 	6.4 	6.7 	6.1 	7.0 	7.5 	7.9 b
H51,TOTAL,THS,SI	: u	0.8 u	0.8 u	0.5 u	1.5 u	1.2 u	1.5 u	1.8 u	1.9 u	1.6 bu
H51,TOTAL,THS,SK	: u	2.5 u	2.4 u	2.3 u	: u	: u	: bu	: u	2.3 bu	2.8 bu
H51,TOTAL,THS,TR	37.7 	35.9 	29.8 	22.0 b	40.7 	23.2 	22.8 	21.3 	26.2 	: 
H51,TOTAL,THS,UK	65.5 	68.0 	66.9 	68.0 	55.8 	60.2 	65.3 	60.6 	69.0 	51.5 b
H51,UNK,THS,CH	: 	: c	: 	: 	: 	: 	: 	: bc	: 	: 
H51,UNK,THS,DE	: c	: c	: c	: c	: c	: 	: u	: 	: c	: 
H51,UNK,THS,EA17	: u	: u	: u	: c	: u	: c	: u	: u	: u	: bc
H51,UNK,THS,EA18	: u	: u	: u	: c	: u	: c	: u	: u	: u	: bc
H51,UNK,THS,EA19	: u	: u	: u	: c	: u	: c	: u	: u	: u	: bc
H51,UNK,THS,EU15	: u	: u	: u	: c	: u	: c	: u	: u	: u	: bc
H51,UNK,THS,EU27	: u	: u	: u	: c	: u	: c	: u	: u	: u	: bc
H51,UNK,THS,EU28	: u	: u	: u	: c	: u	: c	: u	: u	: u	: bc
H51,UNK,THS,IE	: 	: c	: c	: 	: u	: c	: 	: 	: c	: bc
H51,UNK,THS,LU	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 
H51,UNK,THS,MK	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,UNK,THS,NL	: c	: c	: c	: 	: bc	: c	: c	: bu	: c	: 
H51,UNK,THS,NO	: 	: 	: 	: 	: c	: 	: c	: 	: 	: 
H51,UNK,THS,SI	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 
H51,UNK,THS,UK	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
I,LTD,THS,AT	38.0 	32.3 	29.9 	32.8 	35.0 	36.2 	34.9 	36.7 	36.6 	37.7 b
I,LTD,THS,BE	24.5 b	23.4 	15.9 	17.1 	15.1 	16.4 	16.8 	10.9 	12.4 	11.7 b
I,LTD,THS,BG	15.4 	14.8 	17.6 	19.1 	16.0 	15.8 	12.3 b	16.0 b	15.4 	18.0 b
I,LTD,THS,CH	19.8 	19.1 	21.8 	21.1 	19.9 	19.6 	20.0 	24.2 b	24.5 	21.1 b
I,LTD,THS,CY	8.9 	9.9 	8.6 	7.8 	7.2 	6.0 	3.7 	4.2 	5.0 b	3.5 b
I,LTD,THS,CZ	25.0 	25.4 	26.1 	26.2 	23.9 	21.1 	16.2 b	19.4 	20.8 	16.2 b
I,LTD,THS,DE	199.5 	221.1 	213.8 	203.1 	196.5 	207.8 	225.2 	222.0 b	240.3 	226.5 b
I,LTD,THS,DK	18.4 b	18.1 b	10.6 	7.4 	7.9 	7.7 	7.8 	6.3 	8.0 	6.9 b
I,LTD,THS,EA17	1721.0 	1625.4 	1547.0 	1446.4 	1365.1 	1363.2 	1362.5 	1307.6 	1311.7 	1349.0 b
I,LTD,THS,EA18	1722.3 	1626.5 	1548.4 	1447.1 	1366.1 	1364.5 	1363.4 	1309.6 	1312.8 	1350.4 b
I,LTD,THS,EA19	1723.9 	1627.8 	1549.6 	1448.3 	1368.1 	1365.2 	1365.4 	1310.6 	1313.8 	1352.3 b
I,LTD,THS,EE	2.0 u	2.5 u	1.5 u	2.6 	1.6 u	1.6 u	1.7 u	1.5 u	: u	: bu
I,LTD,THS,EL	67.1 	64.1 	66.9 	58.6 	45.3 	46.7 	53.2 	55.3 	56.5 b	52.7 b
I,LTD,THS,ES	520.6 	497.2 	455.5 	421.4 	387.3 	366.7 	388.9 	352.5 	365.5 b	415.7 b
I,LTD,THS,EU15	1909.9 	1821.2 	1717.5 	1608.0 	1532.0 	1512.0 	1505.7 	1458.6 	1437.8 	1480.8 b
I,LTD,THS,EU27	2164.2 	2089.0 	1977.8 	1857.3 	1753.7 	1729.8 	1711.5 	1670.7 	1639.8 	1681.5 b
I,LTD,THS,EU28	2211.5 	2132.1 	2011.8 	1887.4 	1776.3 	1751.4 	1735.0 	1691.3 	1655.7 	1699.2 b
I,LTD,THS,FI	13.2 	14.0 	12.3 	13.6 	13.0 	14.4 	11.1 	12.0 	12.4 	12.4 b
I,LTD,THS,FR	205.5 	179.5 	178.0 	157.3 b	173.6 	177.6 	167.8 	158.5 	145.5 	154.7 b
I,LTD,THS,HR	47.3 	43.1 	34.0 	30.1 b	22.7 	21.6 	23.5 	20.6 	16.0 	17.7 b
I,LTD,THS,HU	11.3 	14.5 	17.6 	16.2 	17.8 	15.4 	15.8 	19.3 	14.8 	13.0 b
I,LTD,THS,IE	24.9 b	21.8 	21.5 	23.8 	21.7 	20.5 	19.4 	20.9 	18.6 	20.3 b
I,LTD,THS,IS	1.2 	1.8 	1.5 	1.7 	1.9 	1.3 	1.3 	0.9 	0.8 	1.0 b
I,LTD,THS,IT	362.4 	315.8 	306.1 	281.6 	254.3 	267.1 	232.8 	222.2 	209.1 	199.7 b
I,LTD,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
I,LTD,THS,LU	0.8 u	1.2 	1.3 b	0.5 u	0.7 u	0.8 u	0.7 u	0.6 u	0.8 bu	: bu
