nace_r2,age,wstatus,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,Y25-34,EMP,THS,NL	4.4 	5.2 	4.9 	5.7 	5.1 b	6.9 	6.7 b	7.7 b	9.2 	9.5 b
H51,Y25-34,EMP,THS,NO	1.6 	1.8 	1.5 	1.7 	2.7 	2.9 	1.7 	1.6 u	1.8 u	1.8 bu
H51,Y25-34,EMP,THS,PL	5.8 u	: u	: u	5.1 u	: u	: u	: u	: bu	: c	: bu
H51,Y25-34,EMP,THS,PT	: u	4.6 	: u	: u	: u	: u	: bu	: u	6.1 	: bu
H51,Y25-34,EMP,THS,RO	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
H51,Y25-34,EMP,THS,SE	1.9 u	2.1 	1.4 u	: u	1.2 u	1.5 u	1.5 u	1.3 u	: u	: bu
H51,Y25-34,EMP,THS,SI	: u	: u	: u	: c	: u	: u	0.7 u	0.8 u	0.8 u	: bu
H51,Y25-34,EMP,THS,SK	: c	: u	: u	: u	: u	: c	: bu	: u	: bu	: bu
H51,Y25-34,EMP,THS,TR	18.0 	18.1 	12.8 	11.8 b	15.5 	10.6 	10.8 	9.1 	13.8 	: 
H51,Y25-34,EMP,THS,UK	16.6 	16.4 	14.2 	15.4 	12.4 	12.9 	17.6 	15.7 	18.3 	15.1 b
H51,Y25-34,SAL,THS,AT	: u	: u	: u	: u	: u	: u	3.4 u	3.0 u	3.7 u	: bu
H51,Y25-34,SAL,THS,BE	2.9 bu	3.3 u	2.1 u	2.3 u	2.8 u	3.2 u	4.1 bu	3.0 u	3.2 u	4.3 bu
H51,Y25-34,SAL,THS,BG	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
H51,Y25-34,SAL,THS,CH	2.7 u	4.4 u	2.6 u	1.8 u	2.3 u	2.8 u	4.2 u	2.6 bu	: u	: bu
H51,Y25-34,SAL,THS,CY	: u	: c	: c	: u	: u	: c	: u	0.6 u	: bu	: bu
H51,Y25-34,SAL,THS,CZ	2.0 u	1.0 u	0.5 u	2.9 u	2.8 u	2.6 u	3.8 b	4.8 	3.6 	3.1 b
H51,Y25-34,SAL,THS,DE	16.9 	14.7 	19.3 	22.2 	21.3 	25.3 	23.5 b	26.0 b	26.7 	23.5 b
H51,Y25-34,SAL,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y25-34,SAL,THS,EA17	61.6 	55.5 	62.0 	75.8 	69.7 	76.5 	89.7 	99.9 	115.4 	114.8 b
H51,Y25-34,SAL,THS,EA18	62.5 	57.1 	62.8 	76.8 	70.6 	77.9 	90.3 	100.8 	116.4 	115.4 b
H51,Y25-34,SAL,THS,EA19	62.7 	57.2 	63.1 	77.3 	70.7 	77.9 	90.4 	100.9 	116.6 	115.6 b
H51,Y25-34,SAL,THS,EE	: u	: u	: c	: c	: c	: c	: 	: c	: c	: bu
H51,Y25-34,SAL,THS,EL	2.3 u	2.2 u	2.5 u	3.7 	2.1 u	1.8 u	3.1 u	2.8 u	2.1 bu	2.2 bu
H51,Y25-34,SAL,THS,ES	9.2 	10.2 	10.3 	12.2 	11.7 	7.3 	11.2 	18.2 	18.5 b	18.7 b
H51,Y25-34,SAL,THS,EU15	79.2 	73.1 	76.1 	90.9 	82.7 	91.0 	108.0 	114.6 	133.1 	131.0 b
H51,Y25-34,SAL,THS,EU27	94.1 	87.7 	90.2 	106.6 	95.9 	103.3 	120.8 	129.1 	145.2 	142.8 b
H51,Y25-34,SAL,THS,EU28	94.9 	87.9 	90.2 	106.7 	95.9 	103.3 	121.3 	129.9 	145.6 	143.5 b
H51,Y25-34,SAL,THS,FI	: u	: u	: u	: u	: u	: u	: u	: u	2.6 u	2.9 bu
H51,Y25-34,SAL,THS,FR	11.5 	5.7 u	7.1 u	11.9 b	10.2 	14.1 	19.7 	20.7 	27.6 	30.1 b
H51,Y25-34,SAL,THS,HR	: c	: c	: 	: bc	: 	: 	: c	: c	: c	: bu
H51,Y25-34,SAL,THS,HU	2.7 u	3.0 u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y25-34,SAL,THS,IE	: bu	: u	2.6 u	2.9 u	2.9 u	2.1 u	3.2 	3.0 u	2.7 u	2.4 bu
H51,Y25-34,SAL,THS,IS	1.0 	0.7 	: u	: u	: u	: u	: u	: u	: u	0.7 b
H51,Y25-34,SAL,THS,IT	4.0 	2.0 u	5.2 	6.6 	4.9 	7.5 	8.5 	8.1 	9.2 	11.7 b
H51,Y25-34,SAL,THS,LT	: c	: c	: u	: u	: c	: 	: c	: c	: u	: bu
H51,Y25-34,SAL,THS,LU	1.0 u	0.7 u	0.6 bu	0.5 u	: u	0.8 u	1.0 u	0.6 u	0.6 bu	0.8 bu
H51,Y25-34,SAL,THS,LV	: u	1.6 u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,Y25-34,SAL,THS,ME	: u	: u	: u	: u	: c	: c	: u	: 	: 	: 
H51,Y25-34,SAL,THS,MK	: c	: c	: c	: c	: 	: 	: c	: 	: 	: 
H51,Y25-34,SAL,THS,MT	0.6 u	0.4 u	0.4 u	0.5 u	: u	: u	0.6 u	0.5 u	: u	: bu
H51,Y25-34,SAL,THS,NL	4.3 	5.2 	4.9 	5.6 	5.1 b	6.9 	6.7 b	7.5 b	9.2 	9.5 b
H51,Y25-34,SAL,THS,NO	1.6 	1.8 	1.5 	1.7 	2.7 	2.9 	1.7 	1.6 u	1.8 u	1.8 bu
H51,Y25-34,SAL,THS,PL	5.8 u	: u	: u	5.1 u	: u	: u	: u	: bu	: c	: bu
H51,Y25-34,SAL,THS,PT	: u	4.6 	: u	: u	: u	: u	: bu	: u	6.1 	: bu
H51,Y25-34,SAL,THS,RO	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
H51,Y25-34,SAL,THS,SE	1.9 u	2.1 	1.4 u	: u	1.2 u	1.5 u	1.5 u	1.3 u	: u	: bu
H51,Y25-34,SAL,THS,SI	: u	: u	: u	: c	: u	: u	0.7 u	0.7 u	0.8 u	: bu
H51,Y25-34,SAL,THS,SK	: c	: u	: u	: u	: u	: 	: bu	: u	: bu	: bu
H51,Y25-34,SAL,THS,TR	18.0 	18.1 	12.8 	11.8 b	15.5 	10.6 	10.7 	9.1 	13.8 	: 
H51,Y25-34,SAL,THS,UK	16.2 	16.4 	14.1 	14.7 	11.8 	12.7 	17.6 	15.7 	18.3 	15.1 b
H51,Y25-34,SELF,THS,AT	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
H51,Y25-34,SELF,THS,BE	: bu	: c	: c	: 	: c	: 	: 	: 	: 	: 
H51,Y25-34,SELF,THS,CH	: 	: 	: 	: 	: 	: 	: c	: bc	: 	: 
H51,Y25-34,SELF,THS,DE	: 	: 	: 	: c	: c	: 	: 	: bc	: c	: bc
H51,Y25-34,SELF,THS,DK	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 
H51,Y25-34,SELF,THS,EA17	: u	: u	: u	: u	: u	: u	: c	: u	: u	: bu
H51,Y25-34,SELF,THS,EA18	: u	: u	: u	: u	: u	: u	: c	: u	: u	: bu
H51,Y25-34,SELF,THS,EA19	: u	: u	: u	: u	: u	: u	: c	: u	: u	: bu
H51,Y25-34,SELF,THS,EL	: 	: c	: c	: c	: 	: 	: 	: 	: 	: 
H51,Y25-34,SELF,THS,EU15	: u	: c	: u	: u	: u	: u	: c	: u	: u	: bu
H51,Y25-34,SELF,THS,EU27	: u	: u	: u	: u	: u	: u	: c	: u	: u	: bu
H51,Y25-34,SELF,THS,EU28	: u	: u	: u	: u	: u	: u	: c	: u	: u	: bu
H51,Y25-34,SELF,THS,FI	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 
H51,Y25-34,SELF,THS,IE	: bc	: 	: 	: 	: 	: 	: 	: u	: c	: 
H51,Y25-34,SELF,THS,IS	: 	: c	: c	: 	: 	: c	: 	: 	: 	: 
H51,Y25-34,SELF,THS,IT	: 	: c	: c	: 	: 	: c	: c	: c	: u	: bu
H51,Y25-34,SELF,THS,LU	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,Y25-34,SELF,THS,NL	: c	: 	: 	: c	: 	: 	: 	: bc	: 	: 
H51,Y25-34,SELF,THS,PT	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,Y25-34,SELF,THS,SE	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 
H51,Y25-34,SELF,THS,SI	: 	: 	: 	: 	: 	: 	: c	: c	: 	: 
H51,Y25-34,SELF,THS,SK	: 	: c	: 	: 	: c	: c	: 	: 	: 	: 
H51,Y25-34,SELF,THS,TR	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
H51,Y25-34,SELF,THS,UK	: c	: 	: c	: u	: c	: c	: 	: 	: 	: 
H51,Y35-44,CFAM,THS,CZ	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,Y35-44,CFAM,THS,DE	: 	: 	: 	: c	: c	: c	: bc	: bc	: 	: 
H51,Y35-44,CFAM,THS,EA17	: 	: 	: 	: c	: c	: c	: c	: c	: 	: 
H51,Y35-44,CFAM,THS,EA18	: 	: 	: 	: c	: c	: c	: c	: c	: 	: 
H51,Y35-44,CFAM,THS,EA19	: 	: 	: 	: c	: c	: c	: c	: c	: 	: 
H51,Y35-44,CFAM,THS,EU15	: 	: 	: 	: c	: c	: c	: c	: c	: 	: 
H51,Y35-44,CFAM,THS,EU27	: 	: 	: 	: c	: c	: c	: c	: c	: 	: 
H51,Y35-44,CFAM,THS,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: 	: 
H51,Y35-44,EMP,THS,AT	: u	3.0 u	: u	: u	: u	3.2 u	3.5 u	3.8 u	3.9 u	: bu
H51,Y35-44,EMP,THS,BE	: bu	3.0 u	4.4 u	3.5 u	2.8 u	4.6 u	3.3 bu	3.8 u	3.4 u	3.7 bu
H51,Y35-44,EMP,THS,BG	: u	: c	: u	: u	: u	: u	: bu	: bu	: u	: bu
H51,Y35-44,EMP,THS,CH	1.7 u	2.5 u	2.0 u	2.6 u	2.7 u	2.9 u	1.9 u	2.6 bu	: u	: bu
H51,Y35-44,EMP,THS,CY	: c	: u	: u	: u	0.6 u	: u	0.6 u	: u	0.5 bu	0.8 bu
H51,Y35-44,EMP,THS,CZ	2.7 u	3.6 	1.7 u	1.8 u	1.8 u	1.7 u	2.7 bu	2.8 u	2.0 u	2.9 bu
H51,Y35-44,EMP,THS,DE	19.6 	21.0 	21.2 	20.2 	25.4 	26.6 	26.5 b	29.0 b	29.3 	29.3 b
H51,Y35-44,EMP,THS,DK	: bu	: bu	2.2 u	: u	: u	2.3 u	2.8 u	2.7 u	: u	2.5 bu
H51,Y35-44,EMP,THS,EA17	87.3 	91.2 	107.5 	104.1 	107.6 	117.4 	123.6 	118.3 	107.3 	111.0 b
H51,Y35-44,EMP,THS,EA18	88.6 	91.5 	107.7 	104.2 	107.6 	117.4 	123.7 	118.4 	107.8 	111.3 b
