nace_r2,wstatus,worktime,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,EMP,NRP,THS,EU15	: c	: c	: 	: 	: 	: c	: 	: c	: 	: 
H51,EMP,NRP,THS,EU27	: c	: c	: 	: 	: 	: c	: 	: c	: 	: 
H51,EMP,NRP,THS,EU28	: c	: c	: 	: 	: 	: c	: 	: c	: 	: 
H51,EMP,NRP,THS,LU	: c	: c	: 	: 	: 	: 	: 	: c	: 	: 
H51,EMP,NRP,THS,NO	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 
H51,EMP,NRP,THS,UK	: c	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,EMP,PT,THS,AT	: u	: u	: u	: u	: u	: u	3.2 u	: u	3.4 u	: bu
H51,EMP,PT,THS,BE	2.6 bu	2.5 u	: u	: u	2.6 u	2.8 u	3.0 bu	2.5 u	2.1 u	2.7 bu
H51,EMP,PT,THS,BG	: 	: 	: 	: 	: 	: 	: 	: bc	: 	: 
H51,EMP,PT,THS,CH	2.7 u	2.8 u	2.4 u	1.6 u	2.3 u	3.6 u	3.1 u	3.3 bu	2.2 u	: bu
H51,EMP,PT,THS,CY	: c	: 	: 	: 	: 	: 	: c	: 	: bc	: bc
H51,EMP,PT,THS,CZ	: u	: u	: u	: c	: u	: u	: bu	0.7 u	: u	: bu
H51,EMP,PT,THS,DE	20.2 	21.6 	17.4 	20.0 	23.4 	24.6 	23.1 b	24.6 b	23.1 	17.3 b
H51,EMP,PT,THS,DK	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,PT,THS,EA17	60.4 	60.3 	61.1 	60.4 	62.7 	62.7 	69.8 	70.6 	63.0 	56.5 b
H51,EMP,PT,THS,EA18	60.4 	60.3 	61.1 	60.4 	62.7 	62.7 	69.8 	70.6 	63.0 	56.8 b
H51,EMP,PT,THS,EA19	60.4 	60.3 	61.1 	60.4 	62.7 	62.7 	69.8 	70.6 	63.0 	56.8 b
H51,EMP,PT,THS,EE	: 	: 	: c	: 	: 	: 	: 	: c	: 	: 
H51,EMP,PT,THS,EL	: 	: c	: c	: u	: u	: u	: c	: c	: bu	: bu
H51,EMP,PT,THS,ES	5.6 	5.2 	6.2 	5.1 	7.3 	4.8 u	9.0 	8.0 	9.2 	6.1 b
H51,EMP,PT,THS,EU15	71.8 	75.5 	78.2 	77.6 	76.5 	75.1 	79.6 	81.1 	74.8 	66.7 b
H51,EMP,PT,THS,EU27	73.7 	77.0 	79.7 	78.5 	77.8 	75.6 	80.5 	83.2 	76.2 	67.7 b
H51,EMP,PT,THS,EU28	73.7 	77.0 	79.7 	78.5 	77.8 	75.6 	80.5 	83.2 	76.2 	68.0 b
H51,EMP,PT,THS,FI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,PT,THS,FR	13.0 	10.8 	16.6 	13.7 b	9.2 u	8.0 u	13.9 	14.3 	7.1 u	12.3 bu
