worktime,wstatus,sex,nace_r2,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
FT,EMP,F,I,THS,SI	20.1 	17.9 	18.9 	18.9 	19.0 	20.6 	21.5 	19.7 	18.3 	21.0 b
FT,EMP,F,I,THS,SK	55.5 	61.3 	65.5 	64.8 	62.5 	56.9 	57.7 b	59.6 	59.1 b	62.2 b
FT,EMP,F,I,THS,TR	340.9 	310.5 	285.5 	249.4 b	261.1 	221.4 	183.3 	151.7 	147.3 	: 
FT,EMP,F,I,THS,UK	411.6 	389.4 	359.4 	355.1 	327.3 	314.9 	329.5 	319.3 	319.2 	296.1 b
FT,EMP,F,I55,THS,AT	37.7 	36.7 	33.4 	32.2 	34.4 	39.1 	36.4 	39.6 	41.6 	40.8 b
FT,EMP,F,I55,THS,BE	8.5 b	9.2 	7.4 	7.4 	9.4 	7.7 	8.1 b	7.6 	9.3 	7.8 b
FT,EMP,F,I55,THS,BG	27.9 	25.7 	24.5 	24.4 	23.5 	24.4 	25.2 b	25.8 b	26.9 	25.1 b
FT,EMP,F,I55,THS,CH	17.9 	15.3 	14.8 	18.3 	19.0 	19.5 	20.7 	21.9 b	21.2 	16.3 b
FT,EMP,F,I55,THS,CY	7.0 	7.2 	5.7 	5.7 	6.2 	5.9 	5.1 	6.2 	6.0 b	5.9 b
FT,EMP,F,I55,THS,CZ	25.6 	26.3 	26.1 	26.7 	24.9 	24.8 	25.5 b	25.5 	26.1 	24.2 b
FT,EMP,F,I55,THS,DE	179.5 	182.1 	164.5 	168.9 	180.2 	166.9 	170.2 b	166.0 b	167.5 	158.4 b
FT,EMP,F,I55,THS,DK	6.2 b	6.5 b	6.0 	5.1 	5.0 	6.8 	5.9 	5.5 	7.4 	6.2 b
FT,EMP,F,I55,THS,EA17	777.3 	761.6 	678.2 	661.7 	672.2 	673.6 	714.9 	679.4 	686.7 	692.4 b
FT,EMP,F,I55,THS,EA18	779.7 	764.7 	682.6 	665.7 	675.1 	675.6 	717.5 	682.3 	690.0 	696.3 b
FT,EMP,F,I55,THS,EA19	783.2 	769.5 	686.6 	671.0 	679.9 	678.8 	720.3 	685.2 	693.0 	701.0 b
FT,EMP,F,I55,THS,EE	4.8 	6.2 	5.4 	4.4 	4.5 	3.1 	2.9 	3.2 	3.6 	5.6 b
FT,EMP,F,I55,THS,EL	44.6 	39.3 	36.8 	37.9 	31.4 	32.4 	34.5 	36.8 	37.7 b	40.2 b
FT,EMP,F,I55,THS,ES	194.0 	186.9 	155.3 	153.1 	149.3 	143.3 	178.0 	156.5 	159.1 	155.1 b
FT,EMP,F,I55,THS,EU15	885.7 	864.0 	768.9 	746.3 	758.4 	753.5 	800.6 	756.0 	775.4 	763.4 b
FT,EMP,F,I55,THS,EU27	1114.8 	1089.1 	984.4 	967.2 	970.9 	964.8 	996.7 	943.5 	970.3 	963.4 b
FT,EMP,F,I55,THS,EU28	1137.5 	1110.9 	1005.0 	988.7 	987.1 	981.9 	1012.7 	958.4 	986.8 	980.6 b
