unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,AME,SI	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME,UK	: 	: 	: 	: 	38574 	45475 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,AT	: c	: u	: u	: 	: 	: 	0 	: u	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,BE	: u	3519 	: 	: u	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,CH	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,CY	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,CZ	: 	: 	: 	: 	: 	: 	: u	0 	0 	0 	0 	: 	0 	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,DE	: c	: u	: u	: u	: u	: u	0 	23940 	0 	16819 	0 	0 	0 	31000 	0 	: u	0 	0 	: u	: u	: u	: 	: 	: 
NR,PERS,N1-3,AME_C_S,DK	: 	: u	: 	: 	: 	: 	0 	3537 	3783 	0 	0 	2045 	0 	0 	0 	0 	6400 	6400 	0 	0 	0 	0 	: 	: 
NR,PERS,N1-3,AME_C_S,EE	: 	: u	: 	: 	: 	: 	: 	: u	0 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,EL	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 	0 	0 	: 	: 
NR,PERS,N1-3,AME_C_S,ES	: c	: u	: u	: 	: u	: u	5929 	0 	92464 	1797 	1854 	9478 	9207 	50364 	0 	0 	0 	0 	: 	0 	0 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,FI	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
NR,PERS,N1-3,AME_C_S,FR	: 	: u	: u	: 	: 	: u	0 	3318 	0 	7254 	0 	4625 	0 	161000 	87000 	72000 	52000 	82000 	59000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,HR	: 	: u	: u	: u	: u	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,HU	: 	: 	: 	: 	: 	: 	0 	0 	: u	0 	: u	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,IE	: 	: 	: u	: 	: u	: u	0 	5000 	0 	0 	2000 	2000 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,IT	: u	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	38863 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,LT	: 	: 	: 	: 	: 	: u	: u	: u	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,LU	: 	: 	: u	: u	: u	: 	247 	0 	203 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,LV	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,MT	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	2 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,NL	: c	: u	: u	: u	: 	: u	0 	3000 	0 	0 	0 	11000 	3000 	4000 	2000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,NO	: 	: 	: u	: u	: u	: 	15722 	3424 	7409 	10121 	19426 	5589 	2977 	2596 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,PL	: 	: u	: u	: u	: 	: 	0 e	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,PT	: c	: u	: 	: 	: 	: 	6598 	12879 	0 	: u	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,RO	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	1267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,SE	: 	: u	: u	: u	: 	: 	5000 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
NR,PERS,N1-3,AME_C_S,SI	: 	: 	: 	: 	: 	: 	: u	: u	0 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,SK	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S,UK	: 	: 	: 	: 	: u	: u	9857 	2047 	5022 	9522 	7040 	2964 	4740 	2020 	2750 	3758 	4579 	4451 	2214 	0 	1000 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,AT	: c	: u	: u	: 	: 	: 	0 	: u	0 	0 	0 	0 e	0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,BE	: u	3519 	: 	: u	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,CH	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,CY	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,CZ	: 	: 	: 	: 	: 	: 	: u	0 	0 	0 	0 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,DE	: c	: u	: u	: u	: u	: u	0 	23939 	0 	: u	0 	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,AME_C_S_OTH,DK	: 	: u	: 	: 	: 	: 	0 	3537 	3782 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
