unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,ED5-8,EA	: 	: 	: 	: 	5881521 e	6021626 e
NR,PERS,N1-3,OUT,ED5-8,EE	185554 	165935 	183149 	205693 	175927 	233339 
NR,PERS,N1-3,OUT,ED5-8,ES	2103255 	1947613 	1867943 	1244985 	1052686 	1219854 
NR,PERS,N1-3,OUT,ED5-8,EU27	: 	: 	8484617 e	: 	6197322 e	6852805 e
NR,PERS,N1-3,OUT,ED5-8,EU28	: 	: 	8474288 e	: 	6560572 e	7164317 e
NR,PERS,N1-3,OUT,ED5-8,FI	1577065 	1518285 	1488197 	1448600 	1349046 	1162272 
NR,PERS,N1-3,OUT,ED5-8,HR	: 	: 	: 	: 	358258 	306887 
NR,PERS,N1-3,OUT,ED5-8,LU	: 	: 	: 	: 	: 	280101 
NR,PERS,N1-3,OUT,ED5-8,LV	: 	248586 	208065 	161880 	157605 	179856 
NR,PERS,N1-3,OUT,ED5-8,MT	: 	26680 	21724 	22812 	: 	: 
NR,PERS,N1-3,OUT,ED5-8,NL	1845125 	2176352 	2096622 	1821882 	1982125 	1864160 
NR,PERS,N1-3,OUT,ED5-8,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,ED5-8,PT	184297 	175136 	163364 	: 	91083 	131055 
NR,PERS,N1-3,OUT,ED5-8,RO	65836 	77922 	60398 	29214 u	58592 u	: 
NR,PERS,N1-3,OUT,ED5-8,SI	: 	387099 	401808 	453116 	436412 	311856 
NR,PERS,N1-3,OUT,TOTAL,AT	3221235 	3217806 	2833028 	2850096 	2723405 	2818254 
NR,PERS,N1-3,OUT,TOTAL,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 
NR,PERS,N1-3,OUT,TOTAL,BG	178450 	149846 	130947 	189931 	162018 	135246 
NR,PERS,N1-3,OUT,TOTAL,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 
NR,PERS,N1-3,OUT,TOTAL,CY	235260 	183437 	156972 	148305 	171641 	157928 
NR,PERS,N1-3,OUT,TOTAL,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 
NR,PERS,N1-3,OUT,TOTAL,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 
NR,PERS,N1-3,OUT,TOTAL,DK	: 	2507991 	2717992 	2599579 	2374379 	1527244 
NR,PERS,N1-3,OUT,TOTAL,EA	: 	: 	: 	: 	41447061 e	41288310 e
NR,PERS,N1-3,OUT,TOTAL,EE	419706 	393638 	368095 	485265 	395321 	459316 
NR,PERS,N1-3,OUT,TOTAL,EL	: 	95920 	107218 	97519 	67605 	90327 
NR,PERS,N1-3,OUT,TOTAL,ES	4116844 	3434381 	3423014 	2906575 	2555744 	2913628 
NR,PERS,N1-3,OUT,TOTAL,EU27	: 	: 	64602519 e	: 	57659120 e	56137137 e
NR,PERS,N1-3,OUT,TOTAL,EU28	: 	: 	65576148 e	: 	58688879 e	57202177 e
NR,PERS,N1-3,OUT,TOTAL,FI	3759778 	3545942 	3541532 	3391192 	3581500 	3537344 
NR,PERS,N1-3,OUT,TOTAL,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 
NR,PERS,N1-3,OUT,TOTAL,HR	759033 	640416 	919897 	1027094 	1021039 	1054293 
NR,PERS,N1-3,OUT,TOTAL,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 
NR,PERS,N1-3,OUT,TOTAL,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 
NR,PERS,N1-3,OUT,TOTAL,IT	3068314 	2467363 	2570124 	2498814 	2381599 	3371504 
NR,PERS,N1-3,OUT,TOTAL,LT	448611 	467922 	445482 	430686 	448477 	437053 
NR,PERS,N1-3,OUT,TOTAL,LU	: 	453780 	552818 	603412 	491504 	476851 
NR,PERS,N1-3,OUT,TOTAL,LV	: 	496219 	466337 	424494 	390320 	502822 
NR,PERS,N1-3,OUT,TOTAL,MT	102008 	84734 	64305 	57048 	59273 	46841 
NR,PERS,N1-3,OUT,TOTAL,NL	3923769 	3556962 	3463745 	3410717 	3448328 	3479117 
NR,PERS,N1-3,OUT,TOTAL,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 
NR,PERS,N1-3,OUT,TOTAL,PL	1947431 	1845190 	1776437 	1598368 	1683933 	1700825 
NR,PERS,N1-3,OUT,TOTAL,PT	416465 	394075 	338485 	263395 	199226 	304597 
NR,PERS,N1-3,OUT,TOTAL,RO	135611 	146155 	118083 	71337 	116584 	85809 
NR,PERS,N1-3,OUT,TOTAL,SE	: 	2882490 	3126353 	2995149 	: 	: 
NR,PERS,N1-3,OUT,TOTAL,SI	1277136 	1067855 	1097612 	1107793 	1108834 	886486 
NR,PERS,N1-3,OUT,TOTAL,SK	1043141 	746000 	497727 	674033 	320288 	431300 
NR,PERS,N1-3,OUT,TOTAL,UK	: 	: 	: 	: 	7318438 	7065007 
