unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,UNK,FR	99012103 	87141181 	88733645 	100199550 	99691398 	101090835 
NR,PERS,N1-3,DOM,UNK,HR	: 	1318717 	: 	: 	3169156 	3028091 
NR,PERS,N1-3,DOM,UNK,HU	: 	: 	: 	9005826 	8283007 	10404311 
NR,PERS,N1-3,DOM,UNK,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 
NR,PERS,N1-3,DOM,UNK,IT	20992374 	22957185 	18822480 	19635800 b	17616095 	22914818 
NR,PERS,N1-3,DOM,UNK,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 
NR,PERS,N1-3,DOM,UNK,LU	: 	11417 u	11722 u	20175 	48074 	: 
NR,PERS,N1-3,DOM,UNK,MT	211062 	: 	: 	165919 b	164188 	165635 
NR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	429544 
NR,PERS,N1-3,DOM,UNK,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 
NR,PERS,N1-3,DOM,UNK,PL	26732292 	25434026 	23295558 	22452085 b	22771087 	23553957 
NR,PERS,N1-3,DOM,UNK,PT	7015985 	: 	: 	9029729 	1649557 	: 
NR,PERS,N1-3,DOM,UNK,SE	: 	20044477 	20128632 	17769462 	: 	: 
NR,PERS,N1-3,DOM,UNK,SI	1416660 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,UNK,SK	4440135 	4193045 	3317069 	2811721 	2666527 b	1890993 
NR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	64927148 	66096023 
NR,PERS,N1-3,OUT,ACT_INAC,AT	3221235 	3217806 	2833028 	2850096 	2723405 	2818254 
NR,PERS,N1-3,OUT,ACT_INAC,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 
NR,PERS,N1-3,OUT,ACT_INAC,BG	178450 	149846 	130947 	189931 	162018 	135246 
NR,PERS,N1-3,OUT,ACT_INAC,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 
NR,PERS,N1-3,OUT,ACT_INAC,CY	235260 	183437 	156972 	148305 	171641 	157928 
NR,PERS,N1-3,OUT,ACT_INAC,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 
NR,PERS,N1-3,OUT,ACT_INAC,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 
NR,PERS,N1-3,OUT,ACT_INAC,DK	: 	2507991 	2717992 	2599579 	2374379 b	1527244 
NR,PERS,N1-3,OUT,ACT_INAC,EA	: 	: 	: 	: 	41447061 e	41288310 e
NR,PERS,N1-3,OUT,ACT_INAC,EE	419706 	393638 	368095 	485265 	395321 	459316 
NR,PERS,N1-3,OUT,ACT_INAC,EL	: 	95920 	107218 	97519 	67605 	90327 
NR,PERS,N1-3,OUT,ACT_INAC,ES	4116844 	3434381 	3423014 b	2906575 	2555744 	2913628 
NR,PERS,N1-3,OUT,ACT_INAC,EU27	: 	: 	64602519 e	: 	57659120 e	56137137 e
NR,PERS,N1-3,OUT,ACT_INAC,EU28	: 	: 	65576148 e	: 	58688879 e	57202177 e
NR,PERS,N1-3,OUT,ACT_INAC,FI	3759778 	3545942 	3541532 	3391192 	3581500 	3537344 
NR,PERS,N1-3,OUT,ACT_INAC,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 
NR,PERS,N1-3,OUT,ACT_INAC,HR	759033 	640416 	919897 	1027094 	1021039 	1054293 
NR,PERS,N1-3,OUT,ACT_INAC,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 
NR,PERS,N1-3,OUT,ACT_INAC,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 
NR,PERS,N1-3,OUT,ACT_INAC,IT	3068314 	2467363 	2570124 	2498814 b	2381599 	3371504 
NR,PERS,N1-3,OUT,ACT_INAC,LT	448611 	467922 	445482 	430686 	448477 	437053 
NR,PERS,N1-3,OUT,ACT_INAC,LU	: 	453780 	552818 	603412 	491504 	476851 
NR,PERS,N1-3,OUT,ACT_INAC,LV	: 	496219 	466337 	424494 	390320 	502822 
NR,PERS,N1-3,OUT,ACT_INAC,MT	102008 	84734 	64305 	57048 b	59273 	46841 
NR,PERS,N1-3,OUT,ACT_INAC,NL	3923769 	3556962 	3463745 	3410717 	3448328 	3479117 
NR,PERS,N1-3,OUT,ACT_INAC,NO	2014927 	1960761 	2216416 	2288247 	2037051 	: 
NR,PERS,N1-3,OUT,ACT_INAC,PL	1947431 	1845190 	1776437 	1598368 b	1683933 	1700825 
NR,PERS,N1-3,OUT,ACT_INAC,PT	416465 	394075 	338485 	263395 	199226 	304597 
NR,PERS,N1-3,OUT,ACT_INAC,RO	135611 	146155 	118083 	71337 	116584 	85809 
NR,PERS,N1-3,OUT,ACT_INAC,SE	: 	2882490 	3126353 	2995149 	: 	: 
NR,PERS,N1-3,OUT,ACT_INAC,SI	1277136 	1067855 	1097612 	1107793 	1108834 	886486 
NR,PERS,N1-3,OUT,ACT_INAC,SK	1043141 	746000 	497727 	674033 	320288 b	431300 
NR,PERS,N1-3,OUT,ACT_INAC,UK	: 	: 	: 	: 	7318438 	7065007 
