unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	64927148 	66096023 
NR,PERS,N1-3,OUT,Q1,EA	: 	: 	: 	: 	414254 e	57859 e
NR,PERS,N1-3,OUT,Q1,EE	34578 u	43381 u	29672 u	73172 	78468 	57852 u
NR,PERS,N1-3,OUT,Q1,EU27	: 	: 	: 	: 	440202 e	58937 u
NR,PERS,N1-3,OUT,Q1,EU28	: 	: 	: 	: 	440141 e	58928 u
NR,PERS,N1-3,OUT,Q1,NL	344406 	472644 	561639 	431952 	335735 	: 
NR,PERS,N1-3,OUT,Q1,RO	: c	29544 u	27571 u	: u	: u	: 
NR,PERS,N1-3,OUT,Q2,EA	: 	: 	: 	: 	820574 e	53518 e
NR,PERS,N1-3,OUT,Q2,EE	77763 	82952 	69970 	114411 	72115 	53511 u
NR,PERS,N1-3,OUT,Q2,EU27	: 	: 	: 	: 	885662 e	54515 u
NR,PERS,N1-3,OUT,Q2,EU28	: 	: 	: 	: 	885540 e	54506 u
NR,PERS,N1-3,OUT,Q2,NL	502593 	590286 	466499 	736322 	748358 	: 
NR,PERS,N1-3,OUT,Q2,RO	43725 u	69071 u	42333 u	31504 u	50851 u	: 
NR,PERS,N1-3,OUT,Q3,EA	: 	: 	: 	: 	1235317 e	107418 e
NR,PERS,N1-3,OUT,Q3,EE	113468 	108037 	112057 	133269 	87141 	107405 u
NR,PERS,N1-3,OUT,Q3,EU27	: 	: 	: 	: 	1289100 e	109419 u
NR,PERS,N1-3,OUT,Q3,EU28	: 	: 	: 	: 	1288923 e	109402 u
NR,PERS,N1-3,OUT,Q3,NL	1102509 	1172668 	1190556 	1164840 	1148025 	: 
NR,PERS,N1-3,OUT,Q3,RO	64812 	39429 u	45173 u	22277 u	33066 u	: 
NR,PERS,N1-3,OUT,Q4,EA	: 	: 	: 	: 	1373976 e	240577 e
NR,PERS,N1-3,OUT,Q4,EE	193897 	159269 	156395 	164413 	157597 	240548 
NR,PERS,N1-3,OUT,Q4,EU27	: 	: 	: 	: 	1410434 e	245059 e
NR,PERS,N1-3,OUT,Q4,EU28	: 	: 	: 	: 	1410240 e	245020 e
NR,PERS,N1-3,OUT,Q4,NL	1974262 	1321364 	1245052 	1077603 	1216210 	: 
NR,PERS,N1-3,OUT,Q4,RO	: c	: u	: u	: u	: u	: 
NR,PERS,N1-3,OUT,TOTAL,AT	3221235 	3217806 	2833028 	2850096 	2723405 	2818254 
NR,PERS,N1-3,OUT,TOTAL,BE	3497669 b	3743983 	3032998 	2884899 	2624343 	2156721 
NR,PERS,N1-3,OUT,TOTAL,BG	178450 	149846 	130947 	189931 	162018 	135246 
NR,PERS,N1-3,OUT,TOTAL,CH	: 	3938949 	4361258 	3644864 	3986475 	3224504 
NR,PERS,N1-3,OUT,TOTAL,CY	235260 	183437 	156972 	148305 	171641 	157928 
NR,PERS,N1-3,OUT,TOTAL,CZ	1328754 	1275739 	1237811 	1180757 	1111178 	1050506 
NR,PERS,N1-3,OUT,TOTAL,DE	14924947 	17094355 	15354115 	13920042 	14900957 	13876657 
NR,PERS,N1-3,OUT,TOTAL,DK	: 	2507991 	2717992 	2599579 	2374379 b	1527244 
NR,PERS,N1-3,OUT,TOTAL,EA	: 	: 	: 	: 	41447061 e	41288310 e
NR,PERS,N1-3,OUT,TOTAL,EE	419706 	393638 	368095 	485265 	395321 	459316 
NR,PERS,N1-3,OUT,TOTAL,EL	: 	95920 	107218 	97519 	67605 	90327 
NR,PERS,N1-3,OUT,TOTAL,ES	4116844 	3434381 	3423014 b	2906575 	2555744 	2913628 
NR,PERS,N1-3,OUT,TOTAL,EU27	: 	: 	: 	: 	57659120 e	56137137 e
NR,PERS,N1-3,OUT,TOTAL,EU28	: 	: 	: 	: 	58688879 e	57202177 e
NR,PERS,N1-3,OUT,TOTAL,FI	3759778 	3545942 	3541532 	3391192 	3581500 	3537344 
NR,PERS,N1-3,OUT,TOTAL,FR	6316258 	4722287 	5047258 	5356788 	4962452 	4858392 
NR,PERS,N1-3,OUT,TOTAL,HR	759033 	640416 	919897 	1027094 	1021039 	1054293 
NR,PERS,N1-3,OUT,TOTAL,HU	3075831 	2913650 	2363757 	2027675 	1678402 	1418008 
NR,PERS,N1-3,OUT,TOTAL,IE	2025638 	1572400 	1573439 	1457267 	1427108 	1416706 
