unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,T,HU	8967808 	8787343 	9178335 	9005826 	8283007 	10404311 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,IE	5987283 	5655671 	5412039 	4583726 	4415085 	4451422 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2074000 	2017000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,IT	20992374 	22957185 	18822480 	19635800 b	17616095 	22914818 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,LT	1801918 	1809246 	1894224 	1859041 	1772756 	1800988 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,LU	: 	11417 u	11722 u	20175 	48074 	38128 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8000 	7000 	11000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,LV	: 	2727693 	2576756 	2719511 	2709534 	3269376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,MT	211062 	203619 	169306 	165919 b	164188 	165635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,NL	16080049 	16194798 	16157006 	17024512 	17539840 	19655079 b	: 	: 	: 	: 	: 	7110000 	7017000 	7177000 	7293000 	7535000 	7597000 	7639000 	7113000 	6760000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,NO	7834014 	7541954 	7498071 	8174748 	6567323 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,PL	26732292 	25434026 	23295558 	22452085 b	22771087 	23553957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,PT	10748717 	9864400 	9457829 	9029729 	8875773 	8657057 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,RO	11011671 	10451315 	10027943 	10260473 	10284515 	9618923 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,SE	: 	20044477 	20128632 	17769462 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,SI	1416660 	1254837 	1127833 	1472051 	1567992 	1603955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,SK	4440135 	4193045 	3317069 	2811721 	2666527 b	1890993 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,UK	: 	: 	: 	: 	64927148 	66096023 	: 	: 	: 	: 	: 	: 	: 	: 	57487000 	64600000 	63800000 	67400000 	41200000 	34900000 	38100000 	: 	: 	: 
NR,PERS,N1-3,OUT,F,AT	1665496 	1670906 	1492052 	1449863 	1426275 	1565756 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,BE	1814050 b	1896386 	1501459 	1445468 	1370913 	1080501 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,BG	83070 	86275 	71628 	109383 	90654 	68813 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,CH	: 	1847603 	2064553 	1854615 	1817801 	2073124 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,CY	131187 	99025 	89644 	72108 	97124 	85196 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,CZ	739746 	594746 	601291 	527834 	579077 	493919 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,DE	7864312 	7758473 	7276232 	7073102 	7276481 	6445684 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,DK	: 	1347249 	1273529 	1501520 	1093526 b	825341 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	381800 	301600 	: 	235000 	296800 	: 	: 
NR,PERS,N1-3,OUT,F,EA	: 	: 	: 	21514340 e	20521828 e	20218613 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EE	239472 	204212 	195771 	289925 	216814 	290886 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EL	: 	45950 	54656 	48457 	32522 	48508 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,ES	2288238 	1815128 	1675887 b	1504619 	1294518 	1498492 	: 	: 	: 	: 	: 	1047337 	967751 	695533 	439113 	375741 	538604 	428594 	219058 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EU27	: 	: 	31744793 e	31314496 e	28101886 e	27076280 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,EU28	: 	: 	32284252 e	31900842 e	28595907 e	27604455 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,FI	2052825 	1823337 	1911744 	1771307 	1879149 	1845020 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,FR	3227763 	2363056 	2528917 	2629882 	2455941 	2325598 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,HR	339910 	328142 	505379 	545909 	489182 	522541 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,HU	1490978 	1432634 	1167875 	1001052 	836485 	732677 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,IE	1085002 	838973 	816029 	783338 	758183 	738464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105000 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,IT	1598549 	1194660 	1282590 	1381962 b	1102708 	1575829 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,LT	202805 	202889 	173545 	178737 	168816 	169242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,LU	: 	205858 	265381 	269098 	234053 	235425 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,LV	: 	253364 	244732 	236863 	195819 	264391 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,MT	49875 	42734 	27785 	27454 b	28053 	21082 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,NL	1963588 	1697323 	1768319 	1589150 	1585545 	1643495 b	: 	: 	: 	: 	: 	1273000 	1312000 	1448000 	1433000 	1527000 	1088000 	1134000 	1295000 	1119000 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,NO	986188 	877054 	1118657 	1116192 	1082143 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,PL	895082 	896008 	792802 	822066 b	760370 	555374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,PT	208711 	212525 	172166 	132412 	106680 	138973 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,RO	65060 	74751 	51331 u	39043 u	54409 u	48073 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,SE	: 	1172713 	1506559 	1413681 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,F,SI	648190 	550211 	519099 	611419 	498036 	442903 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
