duration,unit,partner,geo,time\isced11	TOTAL 	ED0-2 	ED3_4 	ED5-8 
N1-3,NR,WORLD,PT,2017	2660677 	: 	: 	: 
N1-3,NR,WORLD,RO,2012	2055174 	: 	: 	: 
N1-3,NR,WORLD,RO,2013	2489783 	: 	: 	: 
N1-3,NR,WORLD,RO,2014	2492287 	: 	: 	: 
N1-3,NR,WORLD,RO,2015	2618004 	: 	: 	: 
N1-3,NR,WORLD,RO,2016	2400261 	: 	: 	: 
N1-3,NR,WORLD,RO,2017	2750546 	: 	: 	: 
N1-3,NR,WORLD,SE,2012	: u	: 	: 	: 
N1-3,NR,WORLD,SE,2014	3174420 	: 	: 	: 
N1-3,NR,WORLD,SE,2015	3370545 	: 	: 	: 
N1-3,NR,WORLD,SE,2016	3572375 	: 	: 	: 
N1-3,NR,WORLD,SE,2017	5647239 	: 	: 	: 
N1-3,NR,WORLD,SI,2012	639494 	82907 	359616 	196971 
N1-3,NR,WORLD,SI,2013	559414 e	76630 e	298235 e	184549 e
N1-3,NR,WORLD,SI,2014	581164 e	74560 e	316014 e	190589 e
N1-3,NR,WORLD,SI,2015	538088 	94474 u	271220 	172393 
N1-3,NR,WORLD,SI,2016	664749 	128399 	326254 	210096 
N1-3,NR,WORLD,SI,2017	625437 	: 	: 	: 
N1-3,NR,WORLD,SK,2012	634090 	: 	: 	: 
N1-3,NR,WORLD,SK,2013	1245513 b	: 	: 	: 
N1-3,NR,WORLD,SK,2014	1203789 	: 	: 	: 
N1-3,NR,WORLD,SK,2015	1358427 	: 	: 	: 
N1-3,NR,WORLD,SK,2016	1516980 	: 	: 	: 
N1-3,NR,WORLD,SK,2017	2097906 	: 	: 	: 
N1-3,NR,WORLD,UK,2012	4583000 	: 	: 	: 
N1-3,NR,WORLD,UK,2013	11769700 	: 	: 	: 
N1-3,NR,WORLD,UK,2014	13463400 	: 	: 	: 
N1-3,NR,WORLD,UK,2015	12131100 	: 	: 	: 
N1-3,NR,WORLD,UK,2016	12241150 	: 	: 	: 
N1-3,PC_POP,WORLD,AT,2012	57.73 	: 	: 	: 
N1-3,PC_POP,WORLD,AT,2013	59.61 	: 	: 	: 
N1-3,PC_POP,WORLD,AT,2014	57.26 	: 	: 	: 
N1-3,PC_POP,WORLD,AT,2015	57.45 	: 	: 	: 
N1-3,PC_POP,WORLD,AT,2016	58.22 	: 	: 	: 
N1-3,PC_POP,WORLD,AT,2017	58.45 	: 	: 	: 
N1-3,PC_POP,WORLD,BE,2012	24.12 	: 	: 	: 
N1-3,PC_POP,WORLD,BE,2013	30.89 	: 	: 	: 
N1-3,PC_POP,WORLD,BE,2014	28.17 	: 	: 	: 
N1-3,PC_POP,WORLD,BE,2015	30.56 	: 	: 	: 
N1-3,PC_POP,WORLD,BE,2016	32.21 	: 	: 	: 
N1-3,PC_POP,WORLD,BE,2017	39.88 b	: 	: 	: 
N1-3,PC_POP,WORLD,BG,2012	8.53 	: 	: 	: 
N1-3,PC_POP,WORLD,BG,2013	10.32 	: 	: 	: 
N1-3,PC_POP,WORLD,BG,2014	17.07 	: 	: 	: 
N1-3,PC_POP,WORLD,BG,2015	16.48 	: 	: 	: 
N1-3,PC_POP,WORLD,BG,2016	16.61 	: 	: 	: 
N1-3,PC_POP,WORLD,BG,2017	22.19 	: 	: 	: 
N1-3,PC_POP,WORLD,CH,2012	65.2 	: 	: 	: 
N1-3,PC_POP,WORLD,CH,2013	66.49 	: 	: 	: 
N1-3,PC_POP,WORLD,CH,2014	65.25 	: 	: 	: 
N1-3,PC_POP,WORLD,CH,2015	67.62 	: 	: 	: 
N1-3,PC_POP,WORLD,CH,2016	68.5 	: 	: 	: 
N1-3,PC_POP,WORLD,CY,2012	42.2 e	: 	: 	: 
N1-3,PC_POP,WORLD,CY,2013	29.57 e	: 	: 	: 
N1-3,PC_POP,WORLD,CY,2014	35.11 e	: 	: 	: 
