accommod,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551-I553,CST_A,MK	0 	0 	0 	0 	: 	: 
BEDPL,NR,I551-I553,CST_A,MT	44631 	43379 	42883 	41873 	43360 	40463 
BEDPL,NR,I551-I553,CST_A,NL	403194 	396954 	413111 	418210 	420150 b	384668 
BEDPL,NR,I551-I553,CST_A,NO	359470 	338328 	341193 	361447 	366801 	324397 
BEDPL,NR,I551-I553,CST_A,PL	208055 	195935 	183538 	181155 	177437 	176074 
BEDPL,NR,I551-I553,CST_A,PT	479615 	443233 	433977 	409122 	389205 	367556 
BEDPL,NR,I551-I553,CST_A,RO	85521 	86205 	88904 	89145 	87359 	80983 
BEDPL,NR,I551-I553,CST_A,RS	: 	: 	: 	0 	: 	: 
BEDPL,NR,I551-I553,CST_A,SE	442088 	439098 	434741 	433799 	433337 	423763 
BEDPL,NR,I551-I553,CST_A,SI	20675 u	20571 u	20461 u	20159 	20233 	20415 
BEDPL,NR,I551-I553,CST_A,SK	0 	0 	0 	0 	0 	0 
BEDPL,NR,I551-I553,CST_A,UK	: 	1889679 	1889514 	: 	1892317 	1782553 
BEDPL,NR,I551-I553,CST_A,XK	0 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,NCST_A,AT	1013199 	1001442 	993465 	993554 	981070 	979329 
BEDPL,NR,I551-I553,NCST_A,BE	323919 	318303 	316369 	298680 	303827 	301766 
BEDPL,NR,I551-I553,NCST_A,BG	114252 	107491 	105574 	104274 	100141 	98055 
BEDPL,NR,I551-I553,NCST_A,CH	: 	681306 	: 	: 	: 	: 
BEDPL,NR,I551-I553,NCST_A,CY	4982 	5177 	5265 	0 	5304 	5316 
BEDPL,NR,I551-I553,NCST_A,CZ	715540 	716563 	715014 	710381 	740671 	748337 b
BEDPL,NR,I551-I553,NCST_A,DE	2783051 	2754844 	2762381 	2746990 	2742527 	2742664 
BEDPL,NR,I551-I553,NCST_A,DK	32280 	31682 	32063 	32112 	31920 	32342 
BEDPL,NR,I551-I553,NCST_A,EA	12384895 e	12297967 	12238153 	: 	: 	: 
BEDPL,NR,I551-I553,NCST_A,EE	21756 	21281 	20639 	21098 	19599 	18450 
BEDPL,NR,I551-I553,NCST_A,EL	74191 e	80946 e	81141 e	84468 e	80285 	79684 e
BEDPL,NR,I551-I553,NCST_A,ES	1082962 	1072161 	1075516 	1060469 	1027688 	1015001 
BEDPL,NR,I551-I553,NCST_A,EU27	16902912 e	16809620 	16715855 	16610900 e	16509602 	15954301 e
BEDPL,NR,I551-I553,NCST_A,EU28	16983232 e	16884403 	16774545 	16659108 e	16557440 	15978896 e
BEDPL,NR,I551-I553,NCST_A,FI	178829 	177463 	176763 	177323 	179286 	173581 
