accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,TOTAL,TR	932575 	897456 	: 	805311 	748594 	: 
BEDPL,NR,TOTAL,UK	: 	1950485 	1954849 	: 	2018172 	1571120 b
BEDPL,NR,TOTAL,XK	7704 u	: 	: 	: 	: 	: 
BEDPL,PCH_PRE,100-249,BG	-1.15 	8.24 	3.08 	2.59 	2.7 	: 
BEDPL,PCH_PRE,100-249,CY	1.07 	-2.43 	0 	: 	: 	: 
BEDPL,PCH_PRE,100-249,CZ	1.06 	0.22 	-1.12 	-2.19 	5.7 	: 
BEDPL,PCH_PRE,100-249,DE	4.16 	3.5 	4.61 	3.49 	3.1 	: 
BEDPL,PCH_PRE,100-249,EA	: u	: u	: u	: 	: 	: 
BEDPL,PCH_PRE,100-249,EL	0.16 	0.03 	0.06 	2.86 	0.31 	: 
BEDPL,PCH_PRE,100-249,ES	0.83 	-0.04 	0.97 	1.08 	0.9 	: 
BEDPL,PCH_PRE,100-249,EU27	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,100-249,EU28	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,100-249,HR	5.24 	-0.65 	1.8 	0.37 	0.6 	: 
BEDPL,PCH_PRE,100-249,HU	1.86 	4.68 	1 	: 	: 	: 
BEDPL,PCH_PRE,100-249,IS	10.87 	47.32 	-53.84 	22.73 	: 	: 
BEDPL,PCH_PRE,100-249,LT	0.82 	5.74 	-1.21 	6.67 	-0.8 	: 
BEDPL,PCH_PRE,100-249,LV	4.67 	1.03 	5.62 	: 	: 	: 
BEDPL,PCH_PRE,100-249,MT	-4.23 	2.25 	-3.96 	6.36 	79 	: 
BEDPL,PCH_PRE,100-249,NO	2.13 	0.99 	-0.89 	-0.95 	2.4 	: 
BEDPL,PCH_PRE,100-249,PL	4.8 	4.11 	4.81 	9.1 	8.7 	: 
BEDPL,PCH_PRE,100-249,RO	1.73 	-1.04 	-0.44 	2.08 	-0.4 	: 
BEDPL,PCH_PRE,100-249,SE	5.04 	-1.76 	-25.85 	0.28 	3.4 	: 
BEDPL,PCH_PRE,100-249,UK	: 	65.57 	-3.84 	: 	: 	: 
BEDPL,PCH_PRE,25-99,BG	-3.74 	0.67 	1.79 	7.33 	7.7 	: 
BEDPL,PCH_PRE,25-99,CY	2.12 	-1.4 	-2.3 	: 	: 	: 
BEDPL,PCH_PRE,25-99,CZ	-0.04 	3.4 	1.83 	0.09 	-0.8 	: 
BEDPL,PCH_PRE,25-99,DE	1.63 	0.18 	0.47 	0.2 	-0.2 	: 
BEDPL,PCH_PRE,25-99,EA	: u	: u	: u	: 	: 	: 
BEDPL,PCH_PRE,25-99,EL	-0.24 	-0.36 	0.17 	2.75 	0.25 	: 
BEDPL,PCH_PRE,25-99,ES	1.56 	-1.03 	0.99 	0.12 	0.5 	: 
BEDPL,PCH_PRE,25-99,EU27	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,25-99,EU28	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,25-99,HR	2.03 	4.52 	2.61 	-5.05 	5.3 	: 
BEDPL,PCH_PRE,25-99,HU	-0.72 	3.11 	2 	: 	: 	: 
BEDPL,PCH_PRE,25-99,IS	5.97 	-3.52 	51.18 	6.1 	: 	: 
BEDPL,PCH_PRE,25-99,IT	-0.41 	-0.26 	0.6 	-0.32 	-2.3 	: 
BEDPL,PCH_PRE,25-99,LT	2.62 	-3.37 	0.86 	2.42 	-0.3 	: 
BEDPL,PCH_PRE,25-99,LU	-1.25 	: 	: 	: 	: 	: 
BEDPL,PCH_PRE,25-99,LV	0.83 	-1.96 	6.91 	0.44 	9.5 	: 
BEDPL,PCH_PRE,25-99,MT	-0.12 	0.87 	3.81 	-5.75 	261.1 	: 
BEDPL,PCH_PRE,25-99,NO	-0.53 	-1.83 	-5.09 	-2.25 	-6.6 	: 
BEDPL,PCH_PRE,25-99,PL	4.95 	12.95 	2.66 	5.25 	3.1 	: 
BEDPL,PCH_PRE,25-99,RO	3.57 	-6.7 	7.8 	1.45 	4.2 	: 
BEDPL,PCH_PRE,25-99,SE	0.03 	-0.91 	-40.88 	-0.75 	1.2 	: 
BEDPL,PCH_PRE,25-99,UK	: 	6.36 	-5.69 	: 	: 	: 
BEDPL,PCH_PRE,GE100,BG	6.15 	1.76 	3.25 	2.57 	-1.4 	: 
BEDPL,PCH_PRE,GE100,CY	2.22 	-1.67 	0.13 	: 	: 	: 
BEDPL,PCH_PRE,GE100,CZ	2.25 	-0.12 	2.25 	-1.58 	1.8 	: 
BEDPL,PCH_PRE,GE100,DE	3.84 	2.84 	3.23 	2.88 	2.3 	: 
BEDPL,PCH_PRE,GE100,EA	: u	: u	: u	: 	: 	: 
BEDPL,PCH_PRE,GE100,EL	0.22 	-0.11 	0.58 	3.43 	0.42 	: 
BEDPL,PCH_PRE,GE100,ES	1.16 	-0.47 	2.09 	0.6 	0.4 	: 
BEDPL,PCH_PRE,GE100,EU27	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,GE100,EU28	: u	: u	: u	: u	: 	: 
BEDPL,PCH_PRE,GE100,HR	-1.76 	-0.14 	1 	0.94 	2.7 	: 
