accommod,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,NR,I551,TOTAL,EA	10113348 e	10021347 	10008067 	: 	: 	: 
BEDPL,NR,I551,TOTAL,EE	34147 	32404 	32620 	32437 	31989 	31590 
BEDPL,NR,I551,TOTAL,EL	794507 	797995 	801787 	800022 	773269 	771190 
BEDPL,NR,I551,TOTAL,ES	1916607 	1893978 	1906827 	1875912 	1867823 	1858702 
BEDPL,NR,I551,TOTAL,EU27	13750944 e	13623661 	13586106 	13499123 e	13411894 	12895682 
BEDPL,NR,I551,TOTAL,EU28	13917429 e	13791041 	13750781 	13660998 e	13573851 	13052474 
BEDPL,NR,I551,TOTAL,FI	140099 	135177 	134107 	133785 	136891 	135279 
BEDPL,NR,I551,TOTAL,FR	: 	1312372 	1304692 	1274920 	1258942 	1249322 
BEDPL,NR,I551,TOTAL,HR	166485 	167380 	164675 	161875 	161957 	156792 b
BEDPL,NR,I551,TOTAL,HU	181240 	181407 	177182 	173914 	173156 	170592 
BEDPL,NR,I551,TOTAL,IE	: 	150083 	150083 	151258 	155660 	161165 b
BEDPL,NR,I551,TOTAL,IS	30708 	29403 	28172 	25023 	22662 	21755 
BEDPL,NR,I551,TOTAL,IT	2239446 	2248225 	2250816 	2241239 	2233823 	2250704 
BEDPL,NR,I551,TOTAL,LI	1596 	1660 	1257 	1288 	1239 	1262 
BEDPL,NR,I551,TOTAL,LT	28930 	28665 	28585 	28459 	27793 	27453 
BEDPL,NR,I551,TOTAL,LU	15543 	15689 	14542 	14787 	15028 	15469 b
BEDPL,NR,I551,TOTAL,LV	26599 	26164 	25398 	22781 	22594 	21767 b
BEDPL,NR,I551,TOTAL,ME	36333 	35518 	: 	: 	: 	34645 
BEDPL,NR,I551,TOTAL,MK	20500 	19567 	18160 	16687 	15744 	14864 
BEDPL,NR,I551,TOTAL,MT	42973 	41684 	41283 	40222 	41626 	39264 
BEDPL,NR,I551,TOTAL,NL	270098 	261164 	254589 	252115 	244145 	226341 
BEDPL,NR,I551,TOTAL,NO	188235 	187943 	183912 	185437 	187243 	186675 
BEDPL,NR,I551,TOTAL,PL	335917 	325776 	301555 	292521 	274297 	264145 
BEDPL,NR,I551,TOTAL,PT	363088 	337175 	328186 	309918 	309918 	296321 
BEDPL,NR,I551,TOTAL,RO	219750 	213635 	225227 	217721 	214620 	212530 b
BEDPL,NR,I551,TOTAL,RS	: 	: 	: 	54075 	55729 	50536 
BEDPL,NR,I551,TOTAL,SE	245963 	240883 	236555 	238852 	235752 	228387 
BEDPL,NR,I551,TOTAL,SI	46639 	45716 	45274 	44567 	44472 	44526 
BEDPL,NR,I551,TOTAL,SK	96776 	95774 	96997 	91663 	92261 	92790 
BEDPL,NR,I551,TOTAL,TR	932575 	897456 	: 	805311 	748594 	: 
BEDPL,NR,I551,TOTAL,UK	: 	1950485 	1954849 	: 	2018172 	1571120 b
BEDPL,NR,I551,TOTAL,XK	7704 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,DEG1,AT	114817 	114097 	112471 	109073 	107394 	102590 
BEDPL,NR,I551-I553,DEG1,BE	92250 	90342 	89224 	87545 	87110 	85394 
BEDPL,NR,I551-I553,DEG1,BG	101056 	90230 	89677 	85939 	86358 	84354 
BEDPL,NR,I551-I553,DEG1,CH	: 	78106 	: 	: 	: 	: 
BEDPL,NR,I551-I553,DEG1,CY	12136 	12426 	12959 	12959 	13130 	13088 
BEDPL,NR,I551-I553,DEG1,CZ	161186 	161679 	160595 	156701 	163877 	162858 b
BEDPL,NR,I551-I553,DEG1,DE	847248 	823041 	811386 	794066 	773040 	759145 
BEDPL,NR,I551-I553,DEG1,DK	68043 	64663 	64009 	63487 	61045 	61485 
BEDPL,NR,I551-I553,DEG1,EA	4786303 e	4562973 	4474186 	: 	: 	: 
BEDPL,NR,I551-I553,DEG1,EE	21564 	19157 	17971 	18240 	17760 	17291 
BEDPL,NR,I551-I553,DEG1,EL	66530 e	65907 e	66489 e	68868 e	65418 	65781 e
BEDPL,NR,I551-I553,DEG1,ES	914472 	785898 	784733 	768251 	748060 	735512 
BEDPL,NR,I551-I553,DEG1,EU27	7308677 e	7054754 	6950650 	6889403 e	6796711 	6277076 e
BEDPL,NR,I551-I553,DEG1,EU28	7363898 e	7102335 	6989268 	6919903 e	6824789 	6292603 e
BEDPL,NR,I551-I553,DEG1,FI	59365 	55924 	53851 	53770 	54147 	51447 
BEDPL,NR,I551-I553,DEG1,FR	: 	1116498 	1109390 	1101837 	1088940 	1070087 
BEDPL,NR,I551-I553,DEG1,HR	55221 	47581 	38618 	30500 	28078 	21889 
BEDPL,NR,I551-I553,DEG1,HU	103990 	102753 	99883 	100441 	93387 	93134 
BEDPL,NR,I551-I553,DEG1,IE	: 	64615 	64615 	64687 e	67377 	: 
BEDPL,NR,I551-I553,DEG1,IS	14818 	14119 	13381 	11477 	: 	: 
BEDPL,NR,I551-I553,DEG1,IT	917094 	882482 	840824 	805318 	792174 	781330 
BEDPL,NR,I551-I553,DEG1,LI	0 	0 	0 	0 	: 	: 
BEDPL,NR,I551-I553,DEG1,LT	21848 	20799 	19992 	20074 	19409 	18127 
BEDPL,NR,I551-I553,DEG1,LU	8209 	8446 	7753 	7812 	7570 	7562 
BEDPL,NR,I551-I553,DEG1,LV	: c	: c	: c	16077 	16304 	15749 
BEDPL,NR,I551-I553,DEG1,MK	6999 	6189 	5791 	: 	: 	: 
BEDPL,NR,I551-I553,DEG1,MT	21214 	20512 	20213 	20686 	20781 	19878 
BEDPL,NR,I551-I553,DEG1,NL	251867 	246340 	237110 	229275 	222240 b	196244 
BEDPL,NR,I551-I553,DEG1,NO	81561 	80284 	78436 	80249 	72663 	68705 
BEDPL,NR,I551-I553,DEG1,PL	193550 	182911 	173743 	170045 	163302 	163093 
BEDPL,NR,I551-I553,DEG1,PT	193446 	172849 	163670 	156500 	153045 	147654 
BEDPL,NR,I551-I553,DEG1,RO	108750 	106494 	107774 	103285 	99888 	97247 
BEDPL,NR,I551-I553,DEG1,SE	156405 	153657 	149634 	148064 	147205 	143211 
BEDPL,NR,I551-I553,DEG1,SI	11330 u	10443 u	9875 u	9499 	9112 	9333 
BEDPL,NR,I551-I553,DEG1,SK	: c	35254 	35196 	: c	34436 	: c
BEDPL,NR,I551-I553,DEG1,UK	: 	1629394 	1631149 	: 	1684202 	1277862 
BEDPL,NR,I551-I553,DEG1,XK	3615 u	: 	: 	: 	: 	: 
BEDPL,NR,I551-I553,DEG2,AT	185461 	175253 	172587 	164532 	156973 	156787 
BEDPL,NR,I551-I553,DEG2,BE	153184 	151019 	153334 	156493 	158623 	158555 
BEDPL,NR,I551-I553,DEG2,BG	143152 	124363 	127727 	122697 	117026 	120490 
BEDPL,NR,I551-I553,DEG2,CH	: 	187098 	: 	: 	: 	: 
BEDPL,NR,I551-I553,DEG2,CY	39088 	37323 	37861 	38363 	37924 	37783 
BEDPL,NR,I551-I553,DEG2,CZ	136334 	125627 	124045 	125046 	132699 	135090 b
BEDPL,NR,I551-I553,DEG2,DE	1096867 	1085434 	1091784 	1078899 	1086100 	1090051 
