unit,purpose,duration,partner,accommod,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,NR_RF,MT	3.99 	31.95 	0 	0 b	0 u	0 u
THS_EUR,PERS,N1-3,DOM,NR_RF,NL	: 	3323.31 	2976.33 	3066.98 	2786.27 	7922.4 
THS_EUR,PERS,N1-3,DOM,NR_RF,NO	63348.5 	48486.71 	23598.28 	37508.55 	14428 	: 
THS_EUR,PERS,N1-3,DOM,NR_RF,PL	101687.14 	83484.06 	87912.24 	52769.28 b	14117.13 	120999.56 
THS_EUR,PERS,N1-3,DOM,NR_RF,PT	254.67 	284.71 	425.8 	2948.6 	282.43 	2965.86 
THS_EUR,PERS,N1-3,DOM,NR_RF,RO	5209.31 	4705.82 	3364.61 	3827.04 	1862.49 	4476.67 
THS_EUR,PERS,N1-3,DOM,NR_RF,SE	: 	0 	0 	0 	: 	: 
THS_EUR,PERS,N1-3,DOM,NR_RF,SI	0 	0 	0 	0 	0 	31.77 
THS_EUR,PERS,N1-3,DOM,NR_RF,SK	938.57 	0 	209.34 	223.16 	173.67 b	81.62 
THS_EUR,PERS,N1-3,DOM,NR_RF,UK	: 	: 	: 	: 	52833.94 	: u
THS_EUR,PERS,N1-3,DOM,R_CAMP,AT	5602.57 u	8118.91 u	5033.39 u	5553.69 u	11245.9 	12455.43 u
THS_EUR,PERS,N1-3,DOM,R_CAMP,BE	3796.82 b	3106.24 	3184.73 	1399.24 u	6403.21 	760.27 u
THS_EUR,PERS,N1-3,DOM,R_CAMP,BG	: c	: u	: u	: u	2397.04 	3338.36 
THS_EUR,PERS,N1-3,DOM,R_CAMP,CH	: 	8831.91 u	3444.12 u	4634.05 u	3557.21 u	: u
THS_EUR,PERS,N1-3,DOM,R_CAMP,CY	: c	: u	: u	: u	19.88 bu	23.2 u
THS_EUR,PERS,N1-3,DOM,R_CAMP,CZ	4154.2 	4905.79 	6365.16 	3795.98 	3531.35 	4021.67 
THS_EUR,PERS,N1-3,DOM,R_CAMP,DE	81651.55 	91629.56 	101532.09 	93822.21 	155287.39 	82734.68 
THS_EUR,PERS,N1-3,DOM,R_CAMP,DK	: 	42965 	23245.89 	37724.85 b	14576.26 b	5403.78 
THS_EUR,PERS,N1-3,DOM,R_CAMP,EA	: 	: 	: 	332251.45 e	387141.43 e	329570.32 e
THS_EUR,PERS,N1-3,DOM,R_CAMP,EE	: c	730.11 u	444.23 u	649.51 u	739.77 u	: u
THS_EUR,PERS,N1-3,DOM,R_CAMP,EL	: 	646.01 u	463.52 u	500.75 u	512.78 u	881.5 u
THS_EUR,PERS,N1-3,DOM,R_CAMP,ES	84677.98 	72186.07 	72619.38 b	38925.75 	39743.1 	23783.16 
THS_EUR,PERS,N1-3,DOM,R_CAMP,EU27	: 	: 	502606.15 e	469259.47 e	705718.41 e	657792.38 e
THS_EUR,PERS,N1-3,DOM,R_CAMP,EU28	: 	: 	503126.87 e	469126.16 e	706495.38 e	659775.11 e
THS_EUR,PERS,N1-3,DOM,R_CAMP,FI	9274.33 	9143.39 	5156.33 	7729.62 	9272.97 	7106.35 
THS_EUR,PERS,N1-3,DOM,R_CAMP,FR	165605.23 	128736.64 	122055.94 	132789.6 	112431.03 	130900.78 
THS_EUR,PERS,N1-3,DOM,R_CAMP,HR	: u	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,R_CAMP,HU	2850.19 	1495.69 	1482.77 	1438.22 	1164.64 	1576.83 
THS_EUR,PERS,N1-3,DOM,R_CAMP,IE	13272.44 	10131.43 	6137.81 	6347.14 	7221.37 	5818.24 
THS_EUR,PERS,N1-3,DOM,R_CAMP,IT	38143.35 u	38975.39 u	19284.11 u	22513.32 bu	18740.89 u	36450.04 
THS_EUR,PERS,N1-3,DOM,R_CAMP,LT	348.91 	318.11 	499.46 	436.91 	402.58 	332.35 
THS_EUR,PERS,N1-3,DOM,R_CAMP,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,R_CAMP,LV	: 	1667.02 	1630.41 	2712.18 	2825.3 	1094.25 
