unit,purpose,duration,partner,expend,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,OTH,SE	: 	1150170.43 	1114677.31 	877196.46 	: 	: 
THS_EUR,PERS,N1-3,DOM,OTH,SI	14826 	16024.21 	15232.38 	23055.32 	23952.28 	23944.06 
THS_EUR,PERS,N1-3,DOM,OTH,SK	158706.05 	138919.45 	108751.52 	77131.06 	82755.13 b	115526 
THS_EUR,PERS,N1-3,DOM,OTH,UK	: 	: 	: 	: 	1146033.83 	: u
THS_EUR,PERS,N1-3,DOM,REST,BE	94776.07 b	90110.76 	0 	0 	0 	: 
THS_EUR,PERS,N1-3,DOM,REST,BG	68663.58 	40956.98 	39297.51 	61392.76 	49633.13 	40658.14 
THS_EUR,PERS,N1-3,DOM,REST,CH	: 	291640.43 	247407.06 	239097.49 	239592.46 	221467.36 
THS_EUR,PERS,N1-3,DOM,REST,CY	38660.96 	37699.51 	35084.15 	45323.72 	41721.01 	: 
THS_EUR,PERS,N1-3,DOM,REST,CZ	157039.73 	150634.73 	156025.31 	117759.88 	122894.04 	127563.65 
THS_EUR,PERS,N1-3,DOM,REST,DK	: 	: 	: 	: b	: b	: 
THS_EUR,PERS,N1-3,DOM,REST,EA	: 	: 	: 	4652942.34 e	4395230.58 e	4531042.95 e
THS_EUR,PERS,N1-3,DOM,REST,EE	49983.81 	39593.37 	36240.05 	31114.65 	19376.44 	16153.08 
THS_EUR,PERS,N1-3,DOM,REST,EL	: 	67330.61 	71339.38 	68178.31 	47893.71 	91866.57 
THS_EUR,PERS,N1-3,DOM,REST,ES	3068858.49 	2661622.61 	2724576.43 b	939500.05 	814161.95 	901284.17 
THS_EUR,PERS,N1-3,DOM,REST,EU27	: 	: 	8244310.42 e	6163892.24 e	8561152.44 e	8687484.26 e
THS_EUR,PERS,N1-3,DOM,REST,EU28	: 	: 	8282581.25 e	6214854.02 e	8610869.37 e	8732373.87 e
THS_EUR,PERS,N1-3,DOM,REST,FI	669631.22 	652868.13 	638840.32 	591515.82 	656986.02 	669907.9 
THS_EUR,PERS,N1-3,DOM,REST,FR	2168832.88 	2324279.37 	2267621.26 	2517848.69 	2375902.4 	2425479.42 
THS_EUR,PERS,N1-3,DOM,REST,HR	36666.01 	32616.86 	42230.25 	51110.58 	50149.81 	45428.75 
THS_EUR,PERS,N1-3,DOM,REST,HU	53401.52 	48010.3 	45189.57 	39738.12 	35283.28 	42633.73 
THS_EUR,PERS,N1-3,DOM,REST,IT	: 	: 	: 	: b	: 	: 
THS_EUR,PERS,N1-3,DOM,REST,LT	21102.69 	18644.58 	21728.31 	19637.72 	19245.31 	17764.32 
THS_EUR,PERS,N1-3,DOM,REST,LU	: 	854.86 u	923.11 u	755.89 	1720.5 	997.67 
THS_EUR,PERS,N1-3,DOM,REST,LV	: 	11094.32 	13669.27 	10645.85 	11562.22 	6470.38 
THS_EUR,PERS,N1-3,DOM,REST,MT	: 	: 	: 	: b	: 	: 
