unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,AME_N,CH	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_N,DE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,DK	: 	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,AME_N,EE	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_N,EL	: 	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME_N,ES	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,HR	: 	: u	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME_N,HU	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,AME_N,IE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,IT	: u	: 	: 	: 	: u	: 
THS_EUR,PERS,N1-3,AME_N,LT	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,LU	: 	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,AME_N,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AME_N,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,AME_N,NL	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_N,NO	: u	: 	: 	: u	: u	: 
THS_EUR,PERS,N1-3,AME_N,PL	: c	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_N,PT	: c	: 	: u	: 	: u	: u
THS_EUR,PERS,N1-3,AME_N,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,AME_N,SI	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N,UK	: 	: 	: 	: 	8766.33 	: u
THS_EUR,PERS,N1-3,AME_N_OTH,HR	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N_OTH,MT	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AME_N_OTH,SE	: 	: u	: 	: u	: 	: 
THS_EUR,PERS,N1-3,AR,EE	: 	: u	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AR,ES	: c	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AR,LT	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,AR,NL	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,AR,SE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,AT	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,BE	: u	: 	: u	: u	: u	: 
