unit,purpose,duration,partner,tra_mode,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,OTH,DE	59435.61 	107538.79 	36952.03 	51188.82 	102973.68 	65397.68 
THS_EUR,PERS,N1-3,DOM,OTH,DK	: 	33803.68 	32237.29 	50893.44 b	22863.79 b	24705.5 
THS_EUR,PERS,N1-3,DOM,OTH,EA	: 	: 	: 	116247.38 e	147144.03 e	119067.7 e
THS_EUR,PERS,N1-3,DOM,OTH,EE	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,OTH,EL	: 	: u	: 	: u	: u	930.81 u
THS_EUR,PERS,N1-3,DOM,OTH,ES	1415.35 	581.22 	1917.48 b	6053.66 	6471.81 	3779.07 
THS_EUR,PERS,N1-3,DOM,OTH,EU27	: 	: 	169630.27 e	201624.72 e	188228.98 e	161986.9 e
THS_EUR,PERS,N1-3,DOM,OTH,EU28	: 	: 	170055.08 e	201511.6 e	188763.59 e	162704.01 e
THS_EUR,PERS,N1-3,DOM,OTH,FI	: c	: u	: u	: u	: u	5047.99 u
THS_EUR,PERS,N1-3,DOM,OTH,FR	35661.99 	13731.43 	13775.61 	10675.93 	9933.1 	13334.24 
THS_EUR,PERS,N1-3,DOM,OTH,HR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,OTH,HU	18.47 u	0 	6.87 	16.39 	0.99 	8.44 
THS_EUR,PERS,N1-3,DOM,OTH,IE	1516.86 	700.93 u	1382 u	732.46 u	1594.63 u	802.02 u
THS_EUR,PERS,N1-3,DOM,OTH,IT	30904.93 u	37132.07 u	37473.2 	25163.38 b	16290.14 	22752.47 
THS_EUR,PERS,N1-3,DOM,OTH,LT	834.9 	229.31 	66.57 	153.97 	17.85 u	41.99 u
THS_EUR,PERS,N1-3,DOM,OTH,LU	: 	: u	: 	: u	1632.73 u	: u
THS_EUR,PERS,N1-3,DOM,OTH,LV	: 	: c	: u	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,OTH,NL	401.92 	12593.68 	9149.03 	4555.72 	825.39 	1040.52 
THS_EUR,PERS,N1-3,DOM,OTH,NO	3811.6 u	8823.88 u	4091.2 u	11734.52 	: u	: 
THS_EUR,PERS,N1-3,DOM,OTH,PL	648.89 u	718.71 u	1325.99 	273.91 b	4099.2 u	4676.18 u
THS_EUR,PERS,N1-3,DOM,OTH,PT	2755.39 	1805.92 	918.24 	3165.73 	865.26 	960.36 
THS_EUR,PERS,N1-3,DOM,OTH,RO	1121.96 u	1661.48 u	943.53 	995.47 	1083.65 	4710.78 
THS_EUR,PERS,N1-3,DOM,OTH,SE	: 	8023.71 	8503.16 	8986.98 	: 	: 
THS_EUR,PERS,N1-3,DOM,OTH,SI	: c	: u	: u	: 	: u	: u
THS_EUR,PERS,N1-3,DOM,OTH,SK	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,OTH,UK	: 	: 	: 	: 	9151.23 	: u
THS_EUR,PERS,N1-3,DOM,RAIL,AT	60508.44 	49807.58 	55100.3 	50618.83 	60716.95 	54075.83 
THS_EUR,PERS,N1-3,DOM,RAIL,BE	5743.84 b	3652.7 	4396.75 	2075.12 	3560.72 	5254.19 
THS_EUR,PERS,N1-3,DOM,RAIL,BG	489.64 u	536.71 u	479.96 u	1092.7 	1379.07 	1588.15 
THS_EUR,PERS,N1-3,DOM,RAIL,CH	: 	53307.81 	41938.12 	49668.89 	43908.5 	45038.52 
THS_EUR,PERS,N1-3,DOM,RAIL,CZ	17702.64 	14425.9 	11125.65 	11402.53 	14064.85 	15702.32 
THS_EUR,PERS,N1-3,DOM,RAIL,DE	1160442.43 	1106672.48 	1124827.72 	1113810.05 	1120944.82 	1061829.9 
THS_EUR,PERS,N1-3,DOM,RAIL,DK	: 	123476.54 	122548.42 	171348.76 b	158370.08 b	95449.23 
THS_EUR,PERS,N1-3,DOM,RAIL,EA	: 	: 	: 	2622691.47 e	2624226.46 e	2561427.77 e
THS_EUR,PERS,N1-3,DOM,RAIL,EE	2409.6 	1484.28 	1370.35 	1206.27 	628.41 	551.96 u
THS_EUR,PERS,N1-3,DOM,RAIL,EL	: 	363.9 u	1215.18 	1040.95 	1187.18 	1604.81 
THS_EUR,PERS,N1-3,DOM,RAIL,ES	221619.87 	205687.84 	225460.44 b	133455.6 	126237.46 	95763.47 
THS_EUR,PERS,N1-3,DOM,RAIL,EU27	: 	: 	3277592.22 e	3395335.38 e	3479473.55 e	3414035.52 e
THS_EUR,PERS,N1-3,DOM,RAIL,EU28	: 	: 	3275348.81 e	3393523.04 e	3482068.61 e	3417346.99 e
THS_EUR,PERS,N1-3,DOM,RAIL,FI	124810.65 	101529.01 	114145.24 	137849.43 	145225.08 	150986.7 
THS_EUR,PERS,N1-3,DOM,RAIL,FR	898740.41 	745328.92 	772967.05 	938395.16 	926269 	970086.51 
THS_EUR,PERS,N1-3,DOM,RAIL,HR	387.74 u	733.97 u	1526.97 u	2029.12 	3104.18 	3793.25 
THS_EUR,PERS,N1-3,DOM,RAIL,HU	9411.31 	8493.16 	8906.06 	11138.81 	9981.4 	11531.76 
THS_EUR,PERS,N1-3,DOM,RAIL,IE	10688.54 	9146.43 	8868.87 	10566.48 	12676.58 	9871.45 
THS_EUR,PERS,N1-3,DOM,RAIL,IT	208162.08 	163650.21 	157170.89 	179890.99 b	163952.41 	137676.44 
THS_EUR,PERS,N1-3,DOM,RAIL,LT	634.59 	492.09 	379.83 	232.69 	241.75 	233.18 
THS_EUR,PERS,N1-3,DOM,RAIL,LU	: 	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,DOM,RAIL,LV	: 	995.11 u	874.86 	1117.57 	1940.65 	1320.11 
THS_EUR,PERS,N1-3,DOM,RAIL,NL	61375.76 	52606.28 	47288.87 	41723.12 	49279.96 	60388.44 
THS_EUR,PERS,N1-3,DOM,RAIL,NO	55705.69 	40577.52 	38175.95 	35087.45 	27655.91 	: 
THS_EUR,PERS,N1-3,DOM,RAIL,PL	37289.13 	32956.46 	28342.75 	23835.99 b	71240.49 	60929.46 
THS_EUR,PERS,N1-3,DOM,RAIL,PT	8799.36 	9196.36 	6374.35 	7666.42 	6854.71 	6257.46 
THS_EUR,PERS,N1-3,DOM,RAIL,RO	30476.36 	31169.83 	34352.95 	34965.88 	32174.49 	22280.85 
THS_EUR,PERS,N1-3,DOM,RAIL,SE	: 	141425.3 	129187.11 	105614.02 	: 	: 
THS_EUR,PERS,N1-3,DOM,RAIL,SI	: c	711.66 u	: u	672.95 u	910.87 u	747.95 
THS_EUR,PERS,N1-3,DOM,RAIL,SK	5923.17 	5288.32 	6133.02 	7517.74 u	5267.33 bu	5712.55 
THS_EUR,PERS,N1-3,DOM,RAIL,UK	: 	: 	: 	: 	499788.01 	: u
THS_EUR,PERS,N1-3,DOM,TOTAL,AT	357272.27 	354084.63 	359483.52 	366604.09 	344456.22 	274649.36 
THS_EUR,PERS,N1-3,DOM,TOTAL,BE	48694.32 b	35132.54 	41698.91 	35552.47 	40153.38 	39842.79 
