unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,UNK,LV	: 	87553.23 	89146.36 	87922.42 	97069.94 	98562.41 
THS_EUR,PERS,N1-3,DOM,UNK,MT	30590.96 	30276.51 	23404.06 	23056.86 b	17479.11 	20592.74 
THS_EUR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	1231365.15 
THS_EUR,PERS,N1-3,DOM,UNK,NO	2246129.42 	1984230.14 	1949039.44 	2073311.04 	1743094.64 	: 
THS_EUR,PERS,N1-3,DOM,UNK,PL	1859631.79 	1589957.15 	1386776.23 	1153214.2 b	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,UNK,PT	703420.78 	593336.11 	594962.29 	519632.98 	375931.28 	405358.43 
THS_EUR,PERS,N1-3,DOM,UNK,RO	: 	: 	: 	: 	: 	474353.41 
THS_EUR,PERS,N1-3,DOM,UNK,SE	: 	2467830.78 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNK,SI	93663.85 	86760.32 	77051.98 	99678.5 	98135.66 	97417.87 
THS_EUR,PERS,N1-3,DOM,UNK,SK	521409.95 	392681.4 	302901.57 	274000.48 	227522.69 b	231232.59 
THS_EUR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	10481544.02 	: u
THS_EUR,PERS,N1-3,OUT,Q1,EA	: 	: 	: 	: 	87014.66 e	5151.79 e
THS_EUR,PERS,N1-3,OUT,Q1,EE	7502.08 u	7031.17 u	6242.81 u	9098.98 	9312.6 	5151.16 u
THS_EUR,PERS,N1-3,OUT,Q1,EU27	: 	: 	: 	: 	90832.82 e	5247.76 u
THS_EUR,PERS,N1-3,OUT,Q1,EU28	: 	: 	: 	: 	90820.32 e	5246.93 u
THS_EUR,PERS,N1-3,OUT,Q1,NL	88307.57 	95318.56 	118196.87 	87877.16 	77691.39 	: 
THS_EUR,PERS,N1-3,OUT,Q1,RO	: c	8376.5 u	6088.83 u	: u	: u	: 
THS_EUR,PERS,N1-3,OUT,Q2,EA	: 	: 	: 	: 	171472.76 e	8680.31 e
