THS_EUR,PERS,N1-3,DOM,UNK,HR	: 	154173.85 	235661.41 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNK,HU	: 	: 	425073.92 	365598.41 	427972.81 
THS_EUR,PERS,N1-3,DOM,UNK,IE	: 	881141.98 	763306.94 	713903.17 	710416.44 
THS_EUR,PERS,N1-3,DOM,UNK,IT	: 	3182930.75 	2664743.92 	2715778.83 	3638688.57 
THS_EUR,PERS,N1-3,DOM,UNK,LT	: 	98605.28 	84394.8 	70238.07 	76251.83 
THS_EUR,PERS,N1-3,DOM,UNK,LU	: 	3619.04 u	5610.72 	8184.42 	: 
THS_EUR,PERS,N1-3,DOM,UNK,MT	: 	: 	: 	17479.11 	20592.74 
THS_EUR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	6688.94 u
THS_EUR,PERS,N1-3,DOM,UNK,PL	: 	1386776.23 	1153214.2 	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,UNK,PT	: 	: 	519632.98 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNK,RO	: 	: 	: 	: 	474353.41 
THS_EUR,PERS,N1-3,DOM,UNK,SE	: 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNK,SK	: 	302901.57 	274000.48 	227522.69 	231232.59 
THS_EUR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	10481544.02 	11062745.08 
THS_EUR,PERS,N1-3,OUT,ED0-2,AT	: 	99432.95 	150263.18 	146158.4 	151178.34 
THS_EUR,PERS,N1-3,OUT,ED0-2,EA	: 	: 	: 	708646.24 e	852573.46 e
THS_EUR,PERS,N1-3,OUT,ED0-2,EE	: 	4548.5 u	6370.95 	6794.13 u	3380.12 u
THS_EUR,PERS,N1-3,OUT,ED0-2,ES	: 	223268.44 	165220.1 	168649.16 	174766.97 
THS_EUR,PERS,N1-3,OUT,ED0-2,EU27	: 	843429.58 e	: 	752486.29 e	1091486.8 e
THS_EUR,PERS,N1-3,OUT,ED0-2,EU28	: 	842402.8 e	: 	787511.77 e	1101724.02 e
THS_EUR,PERS,N1-3,OUT,ED0-2,FI	: 	281429.8 	270923.71 	262312.62 	381532.33 
THS_EUR,PERS,N1-3,OUT,ED0-2,HR	: 	: 	: 	34565.15 u	10219.4 u
THS_EUR,PERS,N1-3,OUT,ED0-2,LU	: 	: 	: 	: 	14276.69 
THS_EUR,PERS,N1-3,OUT,ED0-2,LV	: 	11549.88 u	: u	4276.05 u	5778.33 u
THS_EUR,PERS,N1-3,OUT,ED0-2,MT	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,OUT,ED0-2,NL	124991.66 	78747.51 	98579.75 	100734.54 	100859.24 
THS_EUR,PERS,N1-3,OUT,ED0-2,PL	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,ED0-2,PT	: 	17391.74 	: 	11164.78 	17423.27 
THS_EUR,PERS,N1-3,OUT,ED0-2,RO	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,OUT,ED0-2,SI	: 	16608.26 	12530.08 	12745.67 	9051.61 
THS_EUR,PERS,N1-3,OUT,ED3_4,AT	: 	646455.3 	719767.91 	574507.56 	569039.33 
THS_EUR,PERS,N1-3,OUT,ED3_4,EA	: 	: 	: 	1713636.07 e	1783474.91 e
THS_EUR,PERS,N1-3,OUT,ED3_4,EE	: 	27546 	37032.57 	33375.7 	25021.55 
THS_EUR,PERS,N1-3,OUT,ED3_4,ES	: 	217663.19 	283418.78 	226406.16 	209185.15 
THS_EUR,PERS,N1-3,OUT,ED3_4,EU27	: 	1983291.56 e	: 	1818714.32 e	2109710.36 e
THS_EUR,PERS,N1-3,OUT,ED3_4,EU28	: 	1980877.11 e	: 	1939564.07 e	2213435.09 e
THS_EUR,PERS,N1-3,OUT,ED3_4,FI	: 	494725.87 	462431.53 	594195.16 	607819.89 
THS_EUR,PERS,N1-3,OUT,ED3_4,HR	: 	: 	: 	119156.11 	102158.15 
THS_EUR,PERS,N1-3,OUT,ED3_4,LU	: 	: 	: 	: 	47496.03 
THS_EUR,PERS,N1-3,OUT,ED3_4,LV	: 	34620.15 	25326.66 	28326.66 	34232.7 
THS_EUR,PERS,N1-3,OUT,ED3_4,MT	: 	22214.66 	16333.93 	: 	: 
THS_EUR,PERS,N1-3,OUT,ED3_4,NL	474892.47 	191434.14 	233889.38 	210325.26 	240929.3 
THS_EUR,PERS,N1-3,OUT,ED3_4,PL	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,ED3_4,PT	: 	20393.98 	: 	7032.91 u	16583.41 u
THS_EUR,PERS,N1-3,OUT,ED3_4,RO	: 	12608.68 u	8367.31 u	13016.24 u	: 
THS_EUR,PERS,N1-3,OUT,ED3_4,SI	: 	64017.75 	58124.05 	67583.06 	67180.83 
THS_EUR,PERS,N1-3,OUT,ED5-8,AT	: 	388973.57 	354940.67 	346095.11 	309460.5 
THS_EUR,PERS,N1-3,OUT,ED5-8,EA	: 	: 	: 	1919503.82 e	1852533.48 e
THS_EUR,PERS,N1-3,OUT,ED5-8,EE	: 	43860.42 	40292.4 	36725.92 	39871.64 
THS_EUR,PERS,N1-3,OUT,ED5-8,ES	: 	701658.61 	381520.47 	324210.26 	316260.31 
THS_EUR,PERS,N1-3,OUT,ED5-8,EU27	: 	2805006.87 e	: 	2019694.38 e	2156207.24 e
THS_EUR,PERS,N1-3,OUT,ED5-8,EU28	: 	2801592.08 e	: 	2095686.21 e	2226264.92 e
THS_EUR,PERS,N1-3,OUT,ED5-8,FI	: 	632879.56 	613883.63 	628831.64 	536685.69 
THS_EUR,PERS,N1-3,OUT,ED5-8,HR	: 	: 	: 	75045.52 	69112.84 
THS_EUR,PERS,N1-3,OUT,ED5-8,LU	: 	: 	: 	: 	81712.66 
THS_EUR,PERS,N1-3,OUT,ED5-8,LV	: 	34256.12 	24142.83 	23908.33 	27995.03 
THS_EUR,PERS,N1-3,OUT,ED5-8,MT	: 	14409.87 	13488.73 	: 	: 
THS_EUR,PERS,N1-3,OUT,ED5-8,NL	772530.58 	512893.45 	426510.22 	510547.73 	504137.89 
THS_EUR,PERS,N1-3,OUT,ED5-8,PL	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,OUT,ED5-8,PT	: 	50008.59 	: 	23320.07 	24408.64 
THS_EUR,PERS,N1-3,OUT,ED5-8,RO	: 	15052.58 	7184.29 u	13993.62 u	: 
THS_EUR,PERS,N1-3,OUT,ED5-8,SI	: 	55154.7 	53780.24 	49537.56 	39768.24 
THS_EUR,PERS,N1-3,OUT,TOTAL,AT	: 	1134861.83 	1224971.76 	1066761.07 	1029678.17 
THS_EUR,PERS,N1-3,OUT,TOTAL,BE	953979.2 	767898.25 	781022.76 	766032.75 	597194.82 
THS_EUR,PERS,N1-3,OUT,TOTAL,BG	: 	28090.02 	34432.14 	31802.33 	26904.84 
THS_EUR,PERS,N1-3,OUT,TOTAL,CH	: 	1728871.71 	1292369.16 	1600393.83 	1085819.7 
THS_EUR,PERS,N1-3,OUT,TOTAL,CY	: 	81520.91 	76849.22 	88243.22 	66785.61 
THS_EUR,PERS,N1-3,OUT,TOTAL,CZ	: 	189231.86 	182949.07 	182319.59 	158040.12 
THS_EUR,PERS,N1-3,OUT,TOTAL,DE	: 	5374725.31 	4346236.26 	4987903.06 	5136056.38 
