unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,DOM,UNE,ES	903714.35 	873044.63 	961318.16 b	480020.8 	561971.52 	551173.06 
THS_EUR,PERS,N1-3,DOM,UNE,EU27	: 	: 	1447149.65 e	: 	837706.89 e	937117.53 e
THS_EUR,PERS,N1-3,DOM,UNE,EU28	: 	: 	1468172.89 e	: 	837591.56 e	936969.7 e
THS_EUR,PERS,N1-3,DOM,UNE,FI	109027.26 	120102.87 	133389.21 	123705.97 	107128.28 	89414.79 
THS_EUR,PERS,N1-3,DOM,UNE,HR	15986.71 	: 	19918.6 	26727.53 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNE,HU	3904.16 	7886.56 	7145.13 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNE,LU	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,UNE,LV	: 	4887.58 	4681.67 	6112.75 	5959.84 	6928.95 
THS_EUR,PERS,N1-3,DOM,UNE,MT	: 	: u	: c	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNE,NL	51259.78 	97824.39 	87260.72 	90305.76 	68657.17 	75029.37 
THS_EUR,PERS,N1-3,DOM,UNE,PL	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,UNE,PT	11138.99 	33748.92 	34475.61 	: 	22079.4 	26934.36 
THS_EUR,PERS,N1-3,DOM,UNE,RO	8486.81 	6358.39 	7613.51 	8928.1 	10434.55 	8292.09 
THS_EUR,PERS,N1-3,DOM,UNE,SI	: 	6996.1 	3192.17 u	7464.03 	7930.7 	7047.38 
THS_EUR,PERS,N1-3,DOM,UNK,BE	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 
THS_EUR,PERS,N1-3,DOM,UNK,BG	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 
THS_EUR,PERS,N1-3,DOM,UNK,CH	: 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 
THS_EUR,PERS,N1-3,DOM,UNK,CY	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 
THS_EUR,PERS,N1-3,DOM,UNK,CZ	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 
THS_EUR,PERS,N1-3,DOM,UNK,DE	13172793.97 	13489819.56 	13724107.36 	: 	14640156.16 	13659349.25 
THS_EUR,PERS,N1-3,DOM,UNK,DK	: 	3471648.75 	3254787.43 	3804051.36 b	3415845.5 b	1658801.99 
THS_EUR,PERS,N1-3,DOM,UNK,EA	: 	: 	: 	: 	31344418.74 e	31317995.78 e
THS_EUR,PERS,N1-3,DOM,UNK,EL	: 	193492.75 	203928.14 	214047.73 	167120.75 	274190.62 
THS_EUR,PERS,N1-3,DOM,UNK,EU27	: 	: 	43655602.84 e	: 	48872178.42 e	46173639.68 e
THS_EUR,PERS,N1-3,DOM,UNK,EU28	: 	: 	43602456.84 e	: 	49152431.5 e	46409298.92 e
THS_EUR,PERS,N1-3,DOM,UNK,FR	13613974.99 	11466563.94 	11481802.59 	12672459.76 	12266654.44 	12403848.56 
THS_EUR,PERS,N1-3,DOM,UNK,HR	: 	123298.14 	: 	: 	282374.58 	238508.66 
THS_EUR,PERS,N1-3,DOM,UNK,HU	: 	: 	: 	425073.92 	365598.41 	427972.81 
THS_EUR,PERS,N1-3,DOM,UNK,IE	1007655.72 	936724.73 	881141.98 	763306.94 	713903.17 	710416.44 
THS_EUR,PERS,N1-3,DOM,UNK,IT	3789711.8 	4006239.35 	3182930.75 	2664743.92 b	2715778.83 	3638688.57 
THS_EUR,PERS,N1-3,DOM,UNK,LT	113377.99 	103850.89 	98605.28 	84394.8 	70238.07 	76251.83 
THS_EUR,PERS,N1-3,DOM,UNK,LU	: 	2962.9 u	3619.04 u	5610.72 	8184.42 	: 
THS_EUR,PERS,N1-3,DOM,UNK,MT	30590.96 	: 	: 	23056.86 b	17479.11 	20592.74 
THS_EUR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	12272.42 
THS_EUR,PERS,N1-3,DOM,UNK,NO	2246129.42 	: 	1949039.44 	2073311.04 	1743094.64 	: 
THS_EUR,PERS,N1-3,DOM,UNK,PL	1859631.79 	1589957.15 	1386776.23 	1153214.2 b	2457222.72 	2637260.92 
THS_EUR,PERS,N1-3,DOM,UNK,PT	465417.11 	: 	: 	519632.98 	74893.11 	: 
THS_EUR,PERS,N1-3,DOM,UNK,SE	: 	2467830.78 	2413757.05 	1878830.75 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNK,SI	93663.85 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,UNK,SK	521409.95 	392681.4 	302901.57 	274000.48 	227522.69 b	231232.59 
THS_EUR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	10481544.02 	11062745.08 
THS_EUR,PERS,N1-3,OUT,ACT_INAC,AT	1310139.73 	1233538.56 	1134861.83 	1224971.76 	1066761.07 	1029678.17 
