accommod,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,EA	47.46 	46.96 	: 	: 	: 	: 
BEDPL,PC,EE	48 	47 	44 	44 	45 	45 
BEDPL,PC,EE0	48 	47 	44 	44 	45 	45 
BEDPL,PC,EE00	48 	47 	44 	44 	45 	45 
BEDPL,PC,EL	52.8 	50.1 	49.1 	47.3 	45.2 	43.2 
BEDPL,PC,EL3	50.5 	47.2 	47.1 	45.1 	37.3 	33.6 
BEDPL,PC,EL30	50.5 	47.2 	47.1 	45.1 	37.3 	33.6 
BEDPL,PC,EL4	62.7 	59.7 	59.1 	57.2 	55.7 	54.1 
BEDPL,PC,EL41	36.8 	33.4 	38.9 	35.9 	32.9 	29.9 
BEDPL,PC,EL42	62 	57.6 	59 	55.3 	53.8 	54.2 
BEDPL,PC,EL43	66.8 	65.2 	61.9 	62.1 	60.6 	57.3 
BEDPL,PC,EL5	42.7 	40.3 	39.9 	39 	36.6 	36.4 
BEDPL,PC,EL51	36.8 	35.5 	36.3 	34.4 	27.5 	29.8 
BEDPL,PC,EL52	49.1 	46.3 	45.6 	44.4 	43.4 	42.2 
BEDPL,PC,EL53	17.2 	15.9 	17 	17.8 	18.7 	17.2 
BEDPL,PC,EL54	30.6 	27.9 	26.4 	27.4 	26.4 	25.2 
BEDPL,PC,EL6	43.3 	41.4 	39.1 	37 	36.3 	34.2 
BEDPL,PC,EL61	31.8 	30.2 	29.6 	29.5 	26.6 	25.3 
BEDPL,PC,EL62	63.7 	62.1 	60 	54.2 	57.6 	53.9 
BEDPL,PC,EL63	36.4 	35.1 	33.5 	31.6 	29 	27.7 
BEDPL,PC,EL64	27.9 	25.6 	23.2 	21.9 	21.1 	20.7 
BEDPL,PC,EL65	32.2 	30.5 	27.4 	27.3 	25.3 	23.2 
BEDPL,PC,ES	62.62 	61.34 	58.08 	55.7 	54.1 	53 
BEDPL,PC,ES1	40.79 	38.86 	36.49 	33.1 	31.8 	30.4 
BEDPL,PC,ES11	38.96 	36.25 	33.92 	31 	29.7 	28.5 
BEDPL,PC,ES12	40.02 	39.6 	38.29 	33.7 	32.9 	31 
