accommod,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,LT25,RO	: 	: 	: 	26.8 	27.3 	29.1 
BEDPL,PC,LT25,SE	33 	32.18 	29.45 	27.3 	26.1 	25.2 
BEDPL,PC,LT25,UK	: 	41 	39.9 	: 	38 	: 
BEDPL,PC,TOTAL,AT	47 	41 	40 	28.3 	28.3 	28.3 
BEDPL,PC,TOTAL,BE	0.44 	40 	44.02 	: c	40.4 	39.8 
BEDPL,PC,TOTAL,BG	42 	41.5 	37 	37.8 	39.5 	38.8 
BEDPL,PC,TOTAL,CH	: 	41.6 	41.7 	42.2 	41.9 	40.8 
BEDPL,PC,TOTAL,CY	76.4 	71.3 	65.3 	61.6 	63 	64.5 
BEDPL,PC,TOTAL,CZ	49.9 	46.5 	36.2 	35.2 	34.8 	34.8 
BEDPL,PC,TOTAL,DE	44.8 	43.86 	42.99 	41.8 	40.6 	39.9 
BEDPL,PC,TOTAL,DK	48 	48 	47 	44 	42 	40 
BEDPL,PC,TOTAL,EA	47.46 	46.96 	45.92 	: 	: 	: 
BEDPL,PC,TOTAL,EE	48 	47 	44 	44 	45 	45 
BEDPL,PC,TOTAL,EL	52.8 	50.1 	49.1 	47.3 	45.2 	43.2 
BEDPL,PC,TOTAL,ES	62.62 	61.34 	58.08 	55.7 	54.1 	53 
BEDPL,PC,TOTAL,EU27	46.09 	46.24 	44.81 	: 	: 	: 
BEDPL,PC,TOTAL,EU28	46.21 	46.32 	44.88 	: 	: 	: 
BEDPL,PC,TOTAL,FI	41.5 	40.25 	38.92 	38.3 	39 	40 
BEDPL,PC,TOTAL,FR	48.9 	46.3 	47 	46.5 	47.4 	48.3 
BEDPL,PC,TOTAL,HR	59.5 	56.5 	53.5 	52.7 	53.2 	53.1 
BEDPL,PC,TOTAL,HU	40.6 	38.3 	36.3 	35 	33.5 	32.1 
BEDPL,PC,TOTAL,IE	: 	54 e	52 e	46 e	44 e	43 e
BEDPL,PC,TOTAL,IS	: 	54.9 	0.49 	44.6 	37.4 	39.8 
BEDPL,PC,TOTAL,IT	46.1 	43.7 	42.5 	40.6 	40.5 	40.9 
BEDPL,PC,TOTAL,LI	26.1 	23.7 	27.6 	29.4 	31.7 	30.5 
BEDPL,PC,TOTAL,LT	40.8 	39 	36.8 	37.1 	36.8 	35 
BEDPL,PC,TOTAL,LU	31.28 	33.19 	39.35 	35.1 	31.8 	30.6 
BEDPL,PC,TOTAL,LV	39.61 	37 	36.3 	39.8 	35.9 	35.8 
BEDPL,PC,TOTAL,ME	: 	33.7 	35.2 	: 	: 	30 
BEDPL,PC,TOTAL,MK	24.3 	22 	22.99 	22.5 	34.3 	: 
BEDPL,PC,TOTAL,MT	66.4 	64.4 	64.3 	63.8 	60.5 	57.6 
BEDPL,PC,TOTAL,NL	50.4 	47.6 	45.6 	44.2 	42.8 	42.3 
BEDPL,PC,TOTAL,NO	: 	38.5 	37.3 	35.7 	35.1 	35.4 
BEDPL,PC,TOTAL,PL	39.8 	38.6 	36.6 	34.7 	33.7 	33.1 
BEDPL,PC,TOTAL,PT	51.36 	48.52 	44.1 	42.4 	39.8 	39.5 
BEDPL,PC,TOTAL,RO	36.5 	36.03 	33.79 	30.7 	29.5 	30.1 
BEDPL,PC,TOTAL,RS	: 	31.2 	28.6 	26.3 	27.8 	26.8 
BEDPL,PC,TOTAL,SE	45.96 	45.68 	43.24 	39.8 	38.3 	37.8 
BEDPL,PC,TOTAL,SI	50.1 	47 	44.7 	42.8 	42.3 	42.6 
BEDPL,PC,TOTAL,SK	34.18 	32.91 	29.5 	27.2 	27.8 	26.8 
BEDPL,PC,TOTAL,TR	: 	41.49 	51.18 	51.83 	52.6 	: 
BEDPL,PC,TOTAL,UK	: 	51.6 	50.8 	: 	50 	48.1 
BEDRM,PC,100-249,BG	48.9 	47.9 	41.6 	41.5 	43.2 	39.9 
BEDRM,PC,100-249,CY	82.2 	77.4 	69.6 	69.5 	: 	: 
BEDRM,PC,100-249,CZ	62.3 	59.8 	55.8 	60.1 	54.2 	54.2 
BEDRM,PC,100-249,DE	66.12 	66.08 	65.05 	64.1 	62.8 	61.9 
BEDRM,PC,100-249,EA	68.45 	67.74 	65.63 	: 	: 	: 
BEDRM,PC,100-249,EL	61 	58.1 	56.7 	56.3 	54.2 	53.9 
BEDRM,PC,100-249,ES	74.79 	73.73 	69.74 	67.1 	65.2 	64.5 
BEDRM,PC,100-249,EU27	66.93 	68.9 	66.86 	: 	: 	: 
BEDRM,PC,100-249,EU28	66.89 	68.83 	66.79 	: 	: 	: 
BEDRM,PC,100-249,HR	64.9 	64.1 	61.9 	61.3 	60.1 	: 
BEDRM,PC,100-249,HU	65.9 	62.6 	61.1 	58.2 	: 	: 
BEDRM,PC,100-249,IS	: 	: 	: 	52.2 	64 	51 
BEDRM,PC,100-249,LT	63.8 	59.7 	55.5 	56.2 	55.8 	51.7 
BEDRM,PC,100-249,LV	55.93 	54.5 	52.8 	: c	48.2 	44.6 
BEDRM,PC,100-249,MT	78.2 	75 	77.3 	76.9 	74.6 	61.5 
BEDRM,PC,100-249,NO	: 	59.9 	58.9 	58.5 	57.5 	58 
BEDRM,PC,100-249,PL	67.2 	67.9 	63.3 	56.4 	57.5 	53.8 
BEDRM,PC,100-249,RO	: 	: 	: 	35.7 	36 	31.2 
BEDRM,PC,100-249,SE	62.36 	62.07 	59.36 	55.8 	55.1 	55.2 
BEDRM,PC,100-249,UK	: 	77.8 	78.3 	: 	75.9 	: 
BEDRM,PC,25-99,BG	33.8 	32.1 	28.7 	29.4 	28.6 	27.9 
BEDRM,PC,25-99,CY	65.7 	61 	53.2 	53.8 	: 	: 
BEDRM,PC,25-99,CZ	51.5 	47.9 	46 	47.4 	43.5 	41 
BEDRM,PC,25-99,DE	57.5 	57.35 	55.45 	54.1 	53.1 	52.5 
BEDRM,PC,25-99,EA	57.65 	56.45 	53.77 	: 	: 	: 
BEDRM,PC,25-99,EL	45.5 	42.8 	42.3 	41.9 	39.3 	39.3 
BEDRM,PC,25-99,ES	61.27 	58.67 	54.69 	51.3 	48.9 	47.8 
BEDRM,PC,25-99,EU27	55.75 	57.56 	55.29 	: 	: 	: 
BEDRM,PC,25-99,EU28	55.68 	57.46 	55.17 	: 	: 	: 
BEDRM,PC,25-99,HR	52.1 	50.6 	46.8 	45 	44 	: 
BEDRM,PC,25-99,HU	53.8 	50.3 	47.6 	45.2 	: 	: 
BEDRM,PC,25-99,IS	: 	: 	: 	42.2 	40.4 	37 
BEDRM,PC,25-99,LT	53.9 	52.3 	41.6 	49.4 	47.5 	45.4 
BEDRM,PC,25-99,LV	43.7 	42.3 	41.1 	43.2 	38.3 	37.2 
BEDRM,PC,25-99,MT	74.6 	69.6 	69 	67.4 	64.6 	57.4 
BEDRM,PC,25-99,NO	: 	47.7 	46 	45 	45.2 	45.3 
BEDRM,PC,25-99,PL	55.8 	54.9 	50.9 	47.1 	46.5 	45.7 
BEDRM,PC,25-99,RO	: 	: 	: 	41.4 	37 	32.8 
BEDRM,PC,25-99,SE	49.91 	49.77 	47.28 	44.1 	42.7 	42.5 
BEDRM,PC,25-99,UK	: 	68.2 	68.1 	: 	68.6 	: 
BEDRM,PC,GE100,BG	67.1 	65.3 	57.9 	58.8 	63 	58.8 
BEDRM,PC,GE100,CY	80.3 	75.7 	68.8 	68 	: 	: 
BEDRM,PC,GE100,CZ	63.9 	60.5 	57.1 	61.2 	55.5 	56.1 
BEDRM,PC,GE100,DE	67.13 	66.85 	65.81 	65 	63.8 	62.8 
BEDRM,PC,GE100,EA	69.88 	69.27 	67.28 	: 	: 	: 
BEDRM,PC,GE100,EL	62.4 	59.7 	58.5 	57.6 	55.5 	55.4 
BEDRM,PC,GE100,ES	77.16 	76.83 	73.04 	70.9 	69.2 	68.2 
BEDRM,PC,GE100,EU27	68.8 	70.27 	68.37 	: 	: 	: 
BEDRM,PC,GE100,EU28	68.75 	70.17 	68.26 	: 	: 	: 
BEDRM,PC,GE100,HR	65.9 	63.7 	61.3 	60.3 	58.9 	: 
BEDRM,PC,GE100,HU	67.5 	64.4 	62.3 	60.1 	: 	: 
BEDRM,PC,GE100,IS	: 	: 	: 	61.2 	67.4 	56.8 
BEDRM,PC,GE100,LT	64 	60.2 	56.6 	56.7 	56.5 	53.1 
BEDRM,PC,GE100,LV	56.3 	53.1 	54.2 	54.8 	50.4 	46.9 
BEDRM,PC,GE100,MT	78.3 	76 	76 	74.7 	71.9 	65.4 
BEDRM,PC,GE100,NO	: 	58.3 	58.2 	58.1 	57.5 	57.8 
BEDRM,PC,GE100,PL	67.7 	67.4 	63.8 	57.6 	58.5 	55.4 
BEDRM,PC,GE100,RO	: 	: 	: 	44.2 	42.7 	40.7 
BEDRM,PC,GE100,SE	64.95 	64.72 	62.17 	58.6 	57.5 	57.7 
BEDRM,PC,GE100,UK	: 	78 	78.3 	: 	75.9 	: 
BEDRM,PC,GE250,BG	76.9 	74.9 	66.3 	67.1 	73 	67.6 
BEDRM,PC,GE250,CY	76.9 	72.6 	67.4 	65.2 	: 	: 
BEDRM,PC,GE250,CZ	66.9 	61.8 	59.7 	63.5 	57.9 	59.7 
BEDRM,PC,GE250,DE	69.85 	68.88 	67.75 	67.2 	66.2 	64.8 
