unit,purpose,duration,partner,sex,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N1-3,DOM,M,EU28	: 	: 	470170321 e	470575827 e	472116102 e	483704411 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,FI	19160418 	19213458 	18248013 	18364426 	18983501 	19476372 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,FR	81185378 	77873103 	79293289 	88366893 	88380031 	91621783 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,HR	1281880 	1381973 	1911881 	2784813 	3087934 	3188947 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,HU	8372536 	8420860 	8530000 	8157399 	7738826 	9403946 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,IE	4693769 	4324719 	4260576 	3578251 	3329080 	3404700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,IT	19676491 	21340405 	17322666 	18167135 b	17045128 	21945272 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,LT	1515236 	1513328 	1660586 	1607686 	1514124 	1593401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,LU	: 	: u	15141 u	15994 u	43938 u	32922 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,LV	: 	1893522 	1683228 	1845168 	1904998 	2108942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,MT	202334 	220380 	174920 	180144 b	151466 	173843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,NL	13001997 	12529546 	12658294 	13644134 	14599592 	15232237 b	: 	: 	: 	: 	: 	7476000 	7121000 	7367000 	7300000 	8016000 	8001000 	8533000 	7371000 	6751000 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,NO	8074928 	8521891 	7436126 	8615510 	6687354 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,PL	24335829 	22355173 	19968079 	19099837 b	24076564 	23595441 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,PT	8000426 	7386990 	7295131 	6769770 	6447372 	6499908 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,RO	11444814 	11178585 	10524681 	11043862 	10490135 	9746025 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,SE	: 	18060184 	17702316 	15171883 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,SI	1083489 	1137622 	1083911 	1359880 	1484056 	1638797 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,SK	4672706 	4260699 	3271969 	2402558 	2826203 b	1863227 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,M,UK	: 	: 	: 	: 	56596352 	56453151 	: 	: 	: 	: 	: 	: 	: 	: 	53942000 	60300000 	59500000 	65000000 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,AT	13388734 	13701664 	12529539 	13302874 	12376376 	11614059 	: 	: 	: 	: 	: 	9775446 	: 	7598479 	8092713 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,BE	4180516 b	3203589 	4122410 	2689760 	3148329 	2900170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,BG	5733767 	3364116 	3032569 	4071907 	3846551 	3842109 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,CH	: 	6893722 	6853942 	6967693 	7743597 	6866989 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,CY	1949968 	1903611 	1857829 	1607076 	1537768 	1823074 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,CZ	38692095 	34237876 	31471676 	37078080 	33439028 	36200298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,DE	158998081 	168656004 	178011814 	161836384 	175945063 	167615290 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,DK	: 	26815133 	30299877 	30055318 	29541173 b	26928655 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7229100 	7329300 	: 	: 	9716100 	: 	: 
NR,PERS,N1-3,DOM,T,EA	: 	: 	: 	662434533 e	676740214 e	686467819 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EE	4139192 	4172243 	3530087 	3398506 	2341047 	2313852 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EL	: 	3060303 	3243607 	3581761 	2923276 	5495625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,ES	177239149 	168452946 	160771044 b	160529081 	163427930 	166220655 	: 	: 	: 	: 	: 	156869405 	157308800 	163785400 	151462100 	143565600 	173374430 	171839740 	81156626 	19264176 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EU27	: 	: 	976597495 e	977320686 e	976196196 e	987881158 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,EU28	: 	: 	979577584 e	982225397 e	981878207 e	993650349 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,FI	39209211 	37846876 	38055783 	36961575 	39005051 	39189392 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,T,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142242000 	140965000 	123586667 	144266002 	: 	: 	: 
NR,PERS,N1-3,DOM,T,HR	2481744 	2600601 	3644526 	5327797 	5731124 	5817978 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
