unit,purpose,duration,partner,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,OUT,ED5-8,AT	2300130 	2257917 	2104282 	1816949 	1931007 	1949421 
NR,PERS,N1-3,OUT,ED5-8,EA	: 	: 	: 	: 	12982744 e	13581751 e
NR,PERS,N1-3,OUT,ED5-8,EE	371486 	342078 	373546 	427934 	369339 	529131 
NR,PERS,N1-3,OUT,ED5-8,ES	4786820 	4537165 	4354691 	3029974 	2465688 	2826280 
NR,PERS,N1-3,OUT,ED5-8,EU27	: 	: 	18932512 e	: 	13667207 e	15391862 e
NR,PERS,N1-3,OUT,ED5-8,EU28	: 	: 	18909463 e	: 	14413747 e	16048551 e
NR,PERS,N1-3,OUT,ED5-8,FI	3175524 	2910174 	2885321 	2888159 	2532957 	2333567 
NR,PERS,N1-3,OUT,ED5-8,HR	: 	: 	: 	: 	736407 	647086 
NR,PERS,N1-3,OUT,ED5-8,LU	: 	: 	: 	: 	: 	569833 
NR,PERS,N1-3,OUT,ED5-8,LV	: 	454419 	404866 	279389 	308399 	336658 
NR,PERS,N1-3,OUT,ED5-8,MT	: 	71210 	54049 	61161 	: 	: 
NR,PERS,N1-3,OUT,ED5-8,NL	4327763 	5063474 	4892238 	4249941 	4507449 	4389987 
NR,PERS,N1-3,OUT,ED5-8,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,ED5-8,PT	425217 	416294 	384489 	: 	226367 	322847 
NR,PERS,N1-3,OUT,ED5-8,RO	176062 	217757 	150560 	76195 u	156406 u	: 
NR,PERS,N1-3,OUT,ED5-8,SI	: 	883589 	924518 	964087 	948344 	659014 
NR,PERS,N1-3,OUT,TOTAL,AT	7563111 	7415153 	6464114 	6720360 	6379104 	6655895 
NR,PERS,N1-3,OUT,TOTAL,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 
NR,PERS,N1-3,OUT,TOTAL,BG	436887 	345370 	297478 	418913 	366149 	324547 
NR,PERS,N1-3,OUT,TOTAL,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 
NR,PERS,N1-3,OUT,TOTAL,CY	618469 	487173 	410228 	386405 	458056 	413725 
NR,PERS,N1-3,OUT,TOTAL,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 
NR,PERS,N1-3,OUT,TOTAL,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 
NR,PERS,N1-3,OUT,TOTAL,DK	: 	4843024 	5426585 	4908352 	4792423 	3367517 
NR,PERS,N1-3,OUT,TOTAL,EA	: 	: 	: 	: 	93461814 e	93620351 e
NR,PERS,N1-3,OUT,TOTAL,EE	831468 	803429 	756220 	967899 	825883 	971928 
NR,PERS,N1-3,OUT,TOTAL,EL	: 	240935 	270347 	250743 	164621 	213645 
NR,PERS,N1-3,OUT,TOTAL,ES	9179123 	7808029 	7750363 	6842133 	5961069 	6580491 
NR,PERS,N1-3,OUT,TOTAL,EU27	: 	: 	143486009 e	: 	130400426 e	127680958 e
NR,PERS,N1-3,OUT,TOTAL,EU28	: 	: 	145592659 e	: 	132459717 e	129839815 e
NR,PERS,N1-3,OUT,TOTAL,FI	7110020 	6662883 	6674887 	6313586 	6412756 	6649926 
NR,PERS,N1-3,OUT,TOTAL,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 
NR,PERS,N1-3,OUT,TOTAL,HR	1576221 	1317299 	1994335 	2030582 	2043897 	2139225 
NR,PERS,N1-3,OUT,TOTAL,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 
NR,PERS,N1-3,OUT,TOTAL,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 
NR,PERS,N1-3,OUT,TOTAL,IT	7200667 	5980802 	6319631 	5843188 	5747099 	7940022 
NR,PERS,N1-3,OUT,TOTAL,LT	874187 	885307 	880571 	841171 	834131 	840028 
NR,PERS,N1-3,OUT,TOTAL,LU	: 	961892 	1212682 	1290118 	1027517 	991069 
NR,PERS,N1-3,OUT,TOTAL,LV	: 	886347 	850721 	754382 	755047 	910538 
NR,PERS,N1-3,OUT,TOTAL,MT	271443 	220566 	165828 	146593 	148844 	119688 
NR,PERS,N1-3,OUT,TOTAL,NL	9178941 	8309718 	8082025 	8002575 	7936514 	8206753 
NR,PERS,N1-3,OUT,TOTAL,NO	4784805 	4672079 	5108204 	5431251 	4602526 	: 
NR,PERS,N1-3,OUT,TOTAL,PL	4598958 	4267189 	4039554 	3633928 	3755261 	3669135 
NR,PERS,N1-3,OUT,TOTAL,PT	933391 	906879 	758295 	605559 	461091 	648966 
NR,PERS,N1-3,OUT,TOTAL,RO	326100 	379231 	282780 	181106 	310572 	233700 
NR,PERS,N1-3,OUT,TOTAL,SE	: 	5714394 	6219921 	6154145 	: 	: 
NR,PERS,N1-3,OUT,TOTAL,SI	2781350 	2351682 	2502671 	2281716 	2364491 	1918814 
NR,PERS,N1-3,OUT,TOTAL,SK	2225911 	1639153 	1189078 	1522791 	814994 	938147 
NR,PERS,N1-3,OUT,TOTAL,UK	: 	: 	: 	: 	18053608 	17442447 
NR,PERS,N1-3,OUT,UNK,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 
NR,PERS,N1-3,OUT,UNK,BG	436887 	345370 	297478 	418913 	366149 	324547 
NR,PERS,N1-3,OUT,UNK,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 
NR,PERS,N1-3,OUT,UNK,CY	618469 	487173 	410228 	386405 	458056 	413725 
NR,PERS,N1-3,OUT,UNK,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 
NR,PERS,N1-3,OUT,UNK,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 
NR,PERS,N1-3,OUT,UNK,DK	: 	4843024 	5426585 	4908352 	4792423 	3367517 
NR,PERS,N1-3,OUT,UNK,EA	: 	: 	: 	: 	63117182 e	61039723 e
NR,PERS,N1-3,OUT,UNK,EL	: 	240935 	270347 	250743 	164621 	213645 
NR,PERS,N1-3,OUT,UNK,EU27	: 	: 	104212104 e	: 	98477107 e	90175671 e
NR,PERS,N1-3,OUT,UNK,EU28	: 	: 	106366567 e	: 	98463549 e	90161446 e
NR,PERS,N1-3,OUT,UNK,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 
NR,PERS,N1-3,OUT,UNK,HR	1576221 	1317299 	1994335 	2030582 	: 	: 
NR,PERS,N1-3,OUT,UNK,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 
NR,PERS,N1-3,OUT,UNK,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 
NR,PERS,N1-3,OUT,UNK,IT	7200667 	5980802 	6319631 	5843188 	5747099 	7940022 
NR,PERS,N1-3,OUT,UNK,LT	874187 	885307 	880571 	841171 	834131 	840028 
NR,PERS,N1-3,OUT,UNK,LU	: 	961892 	1212682 	1290118 	1027517 	: 
NR,PERS,N1-3,OUT,UNK,MT	271443 	: 	: 	: 	148844 	119688 
NR,PERS,N1-3,OUT,UNK,NL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,UNK,NO	4784805 	4672079 	5108204 	5431251 	4602526 	: 
NR,PERS,N1-3,OUT,UNK,PL	4598958 	4267189 	4039554 	3633928 	3755261 	3669135 
NR,PERS,N1-3,OUT,UNK,PT	: 	: 	: 	605559 	: 	: 
NR,PERS,N1-3,OUT,UNK,RO	: 	: 	: 	: 	: 	233700 
NR,PERS,N1-3,OUT,UNK,SE	: 	5714394 	6219921 	6154145 	: 	: 
NR,PERS,N1-3,OUT,UNK,SI	2781350 	: 	: 	: 	: 	: 
NR,PERS,N1-3,OUT,UNK,SK	2225911 	1639153 	1189078 	1522791 	814994 	938147 
NR,PERS,N1-3,OUT,UNK,UK	: 	: 	: 	: 	18053608 	17442447 
NR,PERS,N1-3,WORLD,ED0-2,AT	2725792 	2954794 	2546318 	2641226 	2588673 	2949132 
NR,PERS,N1-3,WORLD,ED0-2,EA	: 	: 	: 	: 	82714483 e	87710043 e
NR,PERS,N1-3,WORLD,ED0-2,EE	758456 	751832 	410187 	514812 	267243 	294997 
NR,PERS,N1-3,WORLD,ED0-2,ES	58673341 	53659752 	51070392 	54473487 	56266610 	58964036 
NR,PERS,N1-3,WORLD,ED0-2,EU27	: 	: 	92617621 e	: 	86552702 e	95403065 e
NR,PERS,N1-3,WORLD,ED0-2,EU28	: 	: 	92504869 e	: 	87258757 e	96743598 e
NR,PERS,N1-3,WORLD,ED0-2,FI	9041356 	8171495 	9418182 	9071553 	10155022 	11174444 
NR,PERS,N1-3,WORLD,ED0-2,HR	: 	: 	: 	: 	706445 	1330839 
NR,PERS,N1-3,WORLD,ED0-2,HU	2001174 	2535941 	2734449 	: 	: 	: 
NR,PERS,N1-3,WORLD,ED0-2,LU	: 	: 	: 	: 	: 	115335 
NR,PERS,N1-3,WORLD,ED0-2,LV	: 	412553 	516064 	340031 	457102 	602299 
NR,PERS,N1-3,WORLD,ED0-2,MT	: 	60348 	82395 	52582 	: 	: 
NR,PERS,N1-3,WORLD,ED0-2,NL	5734908 	5944155 	6030242 	6841190 	7016094 	8111311 
NR,PERS,N1-3,WORLD,ED0-2,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,WORLD,ED0-2,PT	6233152 	6022511 	5613331 	: 	5816258 	5670226 
NR,PERS,N1-3,WORLD,ED0-2,RO	1839166 	2069597 	1945050 	1929850 	1990106 	: 
NR,PERS,N1-3,WORLD,ED0-2,SI	: 	672221 	511476 	409290 	594435 	419771 
NR,PERS,N1-3,WORLD,ED3_4,AT	12081732 	12085221 	10821820 	11871275 	10648418 	10302630 
NR,PERS,N1-3,WORLD,ED3_4,EA	: 	: 	: 	: 	103679268 e	105489167 e
NR,PERS,N1-3,WORLD,ED3_4,EE	2081989 	2183801 	1929158 	1988617 	1418566 	1367339 
NR,PERS,N1-3,WORLD,ED3_4,ES	42961956 	40281259 	37074201 	55561579 	56610438 	57031651 
NR,PERS,N1-3,WORLD,ED3_4,EU27	: 	: 	126822176 e	: 	122670539 e	125572997 e
NR,PERS,N1-3,WORLD,ED3_4,EU28	: 	: 	126667784 e	: 	127559296 e	130075138 e
NR,PERS,N1-3,WORLD,ED3_4,FI	17759706 	17815542 	17773422 	16900278 	17641228 	17533339 
NR,PERS,N1-3,WORLD,ED3_4,HR	: 	: 	: 	: 	4826895 	4439410 
NR,PERS,N1-3,WORLD,ED3_4,HU	9065002 	8860145 	8914780 	: 	: 	: 
NR,PERS,N1-3,WORLD,ED3_4,LU	: 	: 	: 	: 	: 	340238 
NR,PERS,N1-3,WORLD,ED3_4,LV	: 	2306496 	2105194 	2440943 	2586586 	2719740 
NR,PERS,N1-3,WORLD,ED3_4,MT	: 	362723 	284338 	268222 	: 	: 
NR,PERS,N1-3,WORLD,ED3_4,NL	15704868 	11455826 	11580251 	11889989 	11435148 	13002313 
NR,PERS,N1-3,WORLD,ED3_4,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,WORLD,ED3_4,PT	4551811 	3944960 	3737647 	: 	3284778 	3160654 
NR,PERS,N1-3,WORLD,ED3_4,RO	15368934 	14994540 	14207826 	15058101 	14431552 	: 
NR,PERS,N1-3,WORLD,ED3_4,SI	: 	2235672 	2305736 	2610672 	2627970 	2738025 
NR,PERS,N1-3,WORLD,ED5-8,AT	6144322 	6076802 	5625515 	5510732 	5518390 	5018192 
NR,PERS,N1-3,WORLD,ED5-8,EA	: 	: 	: 	: 	107993625 e	108512203 e
NR,PERS,N1-3,WORLD,ED5-8,EE	2130216 	2040039 	1946963 	1862976 	1481122 	1623444 
NR,PERS,N1-3,WORLD,ED5-8,ES	84782976 	82319964 	80376814 	57336147 	56511952 	56805459 
NR,PERS,N1-3,WORLD,ED5-8,EU27	: 	: 	167692944 e	: 	116704945 e	129301885 e
NR,PERS,N1-3,WORLD,ED5-8,EU28	: 	: 	167488796 e	: 	118967133 e	131509103 e
NR,PERS,N1-3,WORLD,ED5-8,FI	19518169 	18522723 	17539066 	17303330 	17621558 	17131534 
NR,PERS,N1-3,WORLD,ED5-8,HR	: 	: 	: 	: 	2241682 	2186954 
NR,PERS,N1-3,WORLD,ED5-8,HU	7095415 	6603487 	6923941 	: 	: 	: 
NR,PERS,N1-3,WORLD,ED5-8,LU	: 	: 	: 	: 	: 	590233 
NR,PERS,N1-3,WORLD,ED5-8,LV	: 	2278720 	2097482 	2089318 	1940745 	2330213 
NR,PERS,N1-3,WORLD,ED5-8,MT	: 	202774 	159379 	164811 	: 	: 
NR,PERS,N1-3,WORLD,ED5-8,NL	15156347 	18636172 	17846789 	18292117 	19137641 	20209954 
NR,PERS,N1-3,WORLD,ED5-8,PL	: 	: 	: 	: 	: 	: u
NR,PERS,N1-3,WORLD,ED5-8,PT	7482937 	7181258 	7188338 	: 	5706570 	5364439 
NR,PERS,N1-3,WORLD,ED5-8,RO	5691414 	5245002 	4826259 	4890238 	4894545 	: 
