unit,purpose,duration,partner,wstatus,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,DOM,UNK,FR	179119303 	160888964 	163206588 	184491323 	181954190 	184861260 
NR,PERS,N1-3,DOM,UNK,HR	: 	2600601 	: 	: 	5731124 	5817978 
NR,PERS,N1-3,DOM,UNK,HU	: 	: 	: 	17894808 	16457775 	20305731 
NR,PERS,N1-3,DOM,UNK,IE	10362955 	9993138 	9516756 	8352057 	7896544 	8022285 
NR,PERS,N1-3,DOM,UNK,IT	41064916 	44060794 	34577378 	36329218 b	33327995 	42155530 
NR,PERS,N1-3,DOM,UNK,LT	3227905 	3161710 	3402998 	3396253 	3121013 	3283417 
NR,PERS,N1-3,DOM,UNK,LU	: 	20197 u	22350 u	34234 	66854 	: 
NR,PERS,N1-3,DOM,UNK,MT	415493 	: 	: 	339022 b	321574 	330686 
NR,PERS,N1-3,DOM,UNK,NL	: 	: 	: 	: 	: 	612079 
NR,PERS,N1-3,DOM,UNK,NO	16578183 	: 	15688166 	16927114 	13484748 	: 
NR,PERS,N1-3,DOM,UNK,PL	52558113 	48637419 	44086369 	41937463 b	50630835 	47242930 
NR,PERS,N1-3,DOM,UNK,PT	11251873 	: 	: 	14733797 	2619957 	: 
NR,PERS,N1-3,DOM,UNK,SE	: 	34348522 	35077922 	30735810 	: 	: 
NR,PERS,N1-3,DOM,UNK,SI	2534409 	: 	: 	: 	: 	: 
NR,PERS,N1-3,DOM,UNK,SK	9037490 	8691208 	7043087 	5798469 	5525240 b	3918960 
NR,PERS,N1-3,DOM,UNK,UK	: 	: 	: 	: 	118641820 	120588222 
NR,PERS,N1-3,OUT,ACT_INAC,AT	7563111 	7415153 	6464114 	6720360 	6379104 	6655895 
NR,PERS,N1-3,OUT,ACT_INAC,BE	7371945 b	8032009 	6331056 	6121727 	5718685 	4629350 
NR,PERS,N1-3,OUT,ACT_INAC,BG	436887 	345370 	297478 	418913 	366149 	324547 
NR,PERS,N1-3,OUT,ACT_INAC,CH	: 	8549586 	9558327 	7787808 	8322851 	7136188 
NR,PERS,N1-3,OUT,ACT_INAC,CY	618469 	487173 	410228 	386405 	458056 	413725 
NR,PERS,N1-3,OUT,ACT_INAC,CZ	3041955 	2979398 	2836035 	2773194 	2640495 	2346634 
NR,PERS,N1-3,OUT,ACT_INAC,DE	35012116 	39661532 	36340864 	32600563 	34809888 	32553576 
NR,PERS,N1-3,OUT,ACT_INAC,DK	: 	4843024 	5426585 	4908352 	4792423 b	3367517 
NR,PERS,N1-3,OUT,ACT_INAC,EA	: 	: 	: 	: 	93461814 e	93620351 e
NR,PERS,N1-3,OUT,ACT_INAC,EE	831468 	803429 	756220 	967899 	825883 	971928 
NR,PERS,N1-3,OUT,ACT_INAC,EL	: 	240935 	270347 	250743 	164621 	213645 
NR,PERS,N1-3,OUT,ACT_INAC,ES	9179123 	7808029 	7750363 b	6842133 	5961069 	6580491 
NR,PERS,N1-3,OUT,ACT_INAC,EU27	: 	: 	143486009 e	: 	130400426 e	127680958 e
NR,PERS,N1-3,OUT,ACT_INAC,EU28	: 	: 	145592659 e	: 	132459717 e	129839815 e
NR,PERS,N1-3,OUT,ACT_INAC,FI	7110020 	6662883 	6674887 	6313586 	6412756 	6649926 
NR,PERS,N1-3,OUT,ACT_INAC,FR	13460009 	10492086 	11117404 	11822324 	10946820 	10982642 
NR,PERS,N1-3,OUT,ACT_INAC,HR	1576221 	1317299 	1994335 	2030582 	2043897 	2139225 
NR,PERS,N1-3,OUT,ACT_INAC,HU	5944145 	5530304 	4526996 	3993153 	3331402 	2846840 
NR,PERS,N1-3,OUT,ACT_INAC,IE	4606724 	3437188 	3572722 	3304130 	3246700 	3170596 
NR,PERS,N1-3,OUT,ACT_INAC,IT	7200667 	5980802 	6319631 	5843188 b	5747099 	7940022 
NR,PERS,N1-3,OUT,ACT_INAC,LT	874187 	885307 	880571 	841171 	834131 	840028 
NR,PERS,N1-3,OUT,ACT_INAC,LU	: 	961892 	1212682 	1290118 	1027517 	991069 
NR,PERS,N1-3,OUT,ACT_INAC,LV	: 	886347 	850721 	754382 	755047 	910538 
NR,PERS,N1-3,OUT,ACT_INAC,MT	271443 	220566 	165828 	146593 b	148844 	119688 
NR,PERS,N1-3,OUT,ACT_INAC,NL	9178941 	8309718 	8082025 	8002575 	7936514 	8206753 
NR,PERS,N1-3,OUT,ACT_INAC,NO	4784805 	: 	5108204 	5431251 	4602526 	: 
NR,PERS,N1-3,OUT,ACT_INAC,PL	4598958 	4267189 	4039554 	3633928 b	3755261 	3669135 
