unit,purpose,duration,partner,quantile,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,PERS,N1-3,WORLD,Q2,EU28	: 	: 	: 	: 	18745623 e	466113 e
NR,PERS,N1-3,WORLD,Q2,NL	6500127 	7439655 	6542544 	8572119 	9029645 	: 
NR,PERS,N1-3,WORLD,Q2,RO	10453353 	10320949 	9739884 	9875774 	8895820 	: 
NR,PERS,N1-3,WORLD,Q3,EA	: 	: 	: 	: 	13156793 e	683055 e
NR,PERS,N1-3,WORLD,Q3,EE	1312557 	1369384 	1208144 	1055644 	645824 	682971 
NR,PERS,N1-3,WORLD,Q3,EU27	: 	: 	: 	: 	16335770 e	695779 e
NR,PERS,N1-3,WORLD,Q3,EU28	: 	: 	: 	: 	16333521 e	695669 e
NR,PERS,N1-3,WORLD,Q3,NL	10888345 	12222565 	12395665 	12569923 	12509354 	: 
NR,PERS,N1-3,WORLD,Q3,RO	5850311 	4002825 	2859162 	2815508 	2916140 	: 
NR,PERS,N1-3,WORLD,Q4,EA	: 	: 	: 	: 	11036955 e	1643456 e
NR,PERS,N1-3,WORLD,Q4,EE	2186003 	2038303 	1794420 	1561107 	1321125 	1643254 
NR,PERS,N1-3,WORLD,Q4,EU27	: 	: 	: 	: 	11646350 e	1674070 e
NR,PERS,N1-3,WORLD,Q4,EU28	: 	: 	: 	: 	11644746 e	1673806 e
NR,PERS,N1-3,WORLD,Q4,NL	15019466 	9930790 	9399357 	9503437 	9714476 	: 
NR,PERS,N1-3,WORLD,Q4,RO	622222 	478852 	251144 	257804 	422211 	: 
NR,PERS,N1-3,WORLD,TOTAL,AT	20951845 	21116817 	18993653 	20023234 	18755481 	18269954 
NR,PERS,N1-3,WORLD,TOTAL,BE	11552461 b	11235598 	10453466 	8811487 	8867014 	7529520 
NR,PERS,N1-3,WORLD,TOTAL,BG	6170654 	3709486 	3330047 	4490820 	4212700 	4166656 
NR,PERS,N1-3,WORLD,TOTAL,CH	: 	15443308 	16412269 	14755502 	16066449 	14003177 
NR,PERS,N1-3,WORLD,TOTAL,CY	2568437 	2390784 	2268057 	1993481 	1995824 	2236799 
NR,PERS,N1-3,WORLD,TOTAL,CZ	41734050 	37217274 	34307712 	39851274 	36079523 	38546932 
NR,PERS,N1-3,WORLD,TOTAL,DE	194010197 	208317536 	214352678 	194436947 	210754951 	200168867 
NR,PERS,N1-3,WORLD,TOTAL,DK	: 	31658157 	35726462 	34963670 	34333596 b	30296172 
NR,PERS,N1-3,WORLD,TOTAL,EA	: 	: 	: 	: 	770802032 e	780898462 e
NR,PERS,N1-3,WORLD,TOTAL,EE	4970661 	4975672 	4286307 	4366405 	3166930 	3285780 
NR,PERS,N1-3,WORLD,TOTAL,EL	: 	3301238 	3513955 	3832504 	3087896 	5709271 
NR,PERS,N1-3,WORLD,TOTAL,ES	186418273 	176260975 	168521407 b	167371214 	169389000 	172801146 
NR,PERS,N1-3,WORLD,TOTAL,EU27	: 	: 	: 	: 	1104337346 e	1102681300 e
NR,PERS,N1-3,WORLD,TOTAL,EU28	: 	: 	: 	: 	1112087178 e	1110612499 e
