unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,PERS,N15-28,DOM,HU	856597 	1305782 	1328484 	1924890 	1760366 	2715483 	2424345 	2318001 	2002914 	2087595 	3221486 	2215345 	2989070 	3051019 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,IE	899387 u	884118 u	1208593 	919471 	993338 	1126343 	: u	: u	1053000 	980000 	917000 	899000 	861000 	947000 	990000 	757000 	787000 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	134801 	: 	: 
NR,PERS,N15-28,DOM,IT	45585803 	46665520 	53814458 	34543980 b	42105334 	50744707 	60732578 	72614615 	64781392 	67950542 	69840555 	83591573 	80388091 	78196056 	81119325 	91740539 	83667376 	75053367 	78390778 	84525351 	81948925 	: 	: 	: 
NR,PERS,N15-28,DOM,LT	370278 	624153 	216910 	154990 u	284455 	254050 	251175 	167693 	380094 	565138 	402935 	586768 	370594 	423483 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,LU	: 	: u	: u	: u	: u	: u	11095 	0 	: u	0 	0 	6000 	21000 	: 	5000 	26000 	: 	4000 	17000 	36000 	6000 	: 	: 	: 
NR,PERS,N15-28,DOM,LV	: 	: c	: u	: u	: u	646114 u	328090 	579848 	502951 	280240 	254672 	213686 	397126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,MT	: c	: 	: c	: u	: 	: u	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,NL	10138867 	11270536 	11762022 	10667576 	11944624 	11100282 b	9185000 	10168000 	8139000 	10115000 	9370000 	12148000 	12181000 	13179000 	11234000 	13608000 	11246000 	: 	11777000 	11225000 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,NO	3545174 u	3658848 	3721315 	3817146 	4052489 	: 	4165924 	3619970 	5306124 	3587432 	3904086 	3932814 	4815658 	3676256 	3925205 	3864692 	3809762 	4310464 	5020785 	: 	: 	: 	: 	: 
NR,PERS,N15-28,DOM,PL	26928633 	26911779 	22668767 	19137785 b	11244899 	17469900 	17700000 e	20094000 	38506000 	15772000 	19035000 	21715000 	22137000 	23131000 e	24350000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
