unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,OTH,RO	183581 	285261 	: 	: 	476966 
NR,PERS,N1-3,DOM,OTH,SE	: 	17004362 	: 	: 	: 
NR,PERS,N1-3,DOM,OTH,SI	: 	470892 	: 	: 	383382 
NR,PERS,N1-3,DOM,OTH,SK	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,UK	: 	: 	: 	: 	27200620 
NR,PERS,N1-3,DOM,SEA,AT	: 	: 	: 	: 	4819435 
NR,PERS,N1-3,DOM,SEA,BE	: 	943363 	: 	: 	1115316 
NR,PERS,N1-3,DOM,SEA,BG	: 	477211 	: 	: 	459054 
NR,PERS,N1-3,DOM,SEA,CH	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,SEA,CY	: 	690934 	: 	: 	1140883 
NR,PERS,N1-3,DOM,SEA,DE	: 	14747166 	: 	: 	18489740 
NR,PERS,N1-3,DOM,SEA,DK	: 	24173725 	: 	: 	8684605 
NR,PERS,N1-3,DOM,SEA,EA	: 	: 	: 	: 	134096028 e
NR,PERS,N1-3,DOM,SEA,EE	: 	671421 	: 	: 	302037 
NR,PERS,N1-3,DOM,SEA,EL	: 	1173099 	: 	: 	1306232 
NR,PERS,N1-3,DOM,SEA,ES	: 	54236821 	: 	: 	57150995 
NR,PERS,N1-3,DOM,SEA,EU27	: 	: 	: 	: 	172852275 e
NR,PERS,N1-3,DOM,SEA,EU28	: 	: 	: 	: 	175024090 e
NR,PERS,N1-3,DOM,SEA,FI	: 	2388280 	: 	: 	2482757 
NR,PERS,N1-3,DOM,SEA,FR	31517107 	27289807 	: 	: 	30194921 
NR,PERS,N1-3,DOM,SEA,HR	: 	576376 	: 	: 	2158456 
NR,PERS,N1-3,DOM,SEA,IE	: 	3122619 	: 	: 	2219102 
NR,PERS,N1-3,DOM,SEA,IT	: 	10709677 	: 	: 	6574733 
NR,PERS,N1-3,DOM,SEA,LT	: 	707333 	: 	: 	445783 
