c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,CZ04	796951 	710462 	646007 	602473 	613813 	599449 	544711 	494427 	492733 	507843 	510656 	528455 	462276 	426565 	409513 	488517 	504396 	482499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ05	487476 	452802 	431341 	373504 	398943 	406223 	354003 	354143 	379454 	471562 	473509 	534649 	519872 	501252 	499132 	527908 	612689 	474793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ06	659477 	570706 	509041 	533924 	533213 	483111 	439148 	393313 	361078 	468310 	448952 	406824 	381251 	354652 	330728 	345064 	329902 	316084 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ07	232354 	212641 	198248 	188644 	199864 	183355 	137705 	134284 	125353 	147852 	144634 	142156 	140602 	144069 	155629 	169587 	169732 	112866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ08	170131 	160030 	160440 	144392 	143151 	138978 	102137 	92608 	102993 	123467 	117634 	96446 	95785 	92548 	100801 	116221 	102565 	76737 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,DE	32923152 	31208132 	30691278 	28878052 	27603412 	26547182 	24789151 	23381892 	20965704 	21653856 	21449077 	20629904 	18761436 	17620179 	15978737 	15672296 	15753872 	16718722 	14965272 	14457265 	13745185 	13041895 	12683333 	12269374 	12071244 	13292398 	13044621 	14420872 
FOR,NR,I551,DE1	4501841 	4363119 	4304268 	3958057 	3726099 	3597606 	3384203 	3082467 	2830036 	2928920 	2898522 	2833629 	2598870 	2449147 	2236254 	2191751 	2144887 	2271997 	2137875 	2084389 	2000518 	1885987 	1861835 	1824157 	1789259 	1956699 	1947776 	2189564 
FOR,NR,I551,DE11	1185250 	1124435 	1100816 	991305 	933517 	918139 	874896 	783456 	715934 	764310 	766440 	800901 	683933 	657819 	623751 	583374 	557894 	597627 	570555 	563703 	540111 	465776 	461788 	: 	: 	: 	: 	471335 
FOR,NR,I551,DE12	1134189 	1083718 	1107772 	1057258 	1012993 	984075 	941416 	878930 	779930 	834477 	847312 	829405 	783294 	764750 	683164 	709345 	726214 	804129 	749405 	725485 	712350 	713053 	702145 	: 	: 	: 	: 	883990 
FOR,NR,I551,DE13	1708631 	1688219 	1645318 	1493449 	1391165 	1311610 	1221198 	1113372 	1048062 	1027253 	989758 	923050 	870754 	787253 	705768 	678224 	654956 	657527 	612169 	601512 	559099 	526133 	517641 	: 	: 	: 	: 	637739 
