unit,partner,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,AFR,I551-I553,BE	76423 	70714 	72529 	73866 	71992 	68167 	67934 	67761 	68374 	68166 	68588 	70448 	66991 	65580 	67458 	65195 	69794 	70117 	62907 	66486 	68035 	68958 	60408 	57321 	59625 	70813 	: 	: 
NR,AFR,I551-I553,BG	10916 	11051 	4413 	4594 	2708 	3889 	809 	678 	: 	: 	: 	: 	: 	: 	: 	12223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,CH	: 	92718 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85577 	90045 	87167 	83144 	82470 	81065 	79851 	83136 	: 	116338 	120080 	130922 	155128 
NR,AFR,I551-I553,CY	15364 	15861 	12612 	12268 	10632 	9981 	9063 	9772 	6236 	5279 	5298 	5503 	5245 	: 	: 	: 	5422 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,CZ	48130 	45467 	43793 	44346 	38915 	37179 	29759 	25981 	20191 	22934 	19520 	19411 	18539 	15394 	14097 	12842 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,DE	265024 	255757 	270168 	246439 	235775 	225092 	191438 	191274 	156725 	159492 	163353 	167005 	144391 	146454 	142997 	143614 	147266 	159430 	141685 	136607 	133678 	124003 	123948 	122206 	140134 	149816 	145012 	180461 
NR,AFR,I551-I553,DK	22524 e	21976 e	19759 e	17604 e	16166 	15468 	12903 	12448 	12225 	10957 	9531 	11660 	15307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,EA	3104461 e	2968961 	2811121 	: 	: 	: 	: 	: 	: 	1620316 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,EE	2579 	2117 	2141 	1896 	1636 	2039 	2057 	1221 	1031 	1152 	1013 	723 	1033 	641 	542 	1094 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,EL	96411 e	98964 e	96805 e	90811 e	90165 	116079 e	55790 	46093 	37504 	38810 	38417 	34060 	26626 	30973 	31796 	30874 	34261 	41319 	41442 	42871 	38376 	32711 	32775 	38022 	: 	: 	: 	: 
NR,AFR,I551-I553,ES	839392 	768270 	659123 	586768 	548957 	491493 	448878 	410199 	347352 	370806 	378168 	374474 	349747 	261590 	298099 	280002 	288475 	246660 	198311 	105703 	89557 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,EU27	: u	3843685 	3788439 	3167129 e	2981117 e	2735757 	2415143 e	: 	: 	2037753 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,EU28	: u	3875726 	3813434 	3190069 e	3000704 e	2752327 	2426191 e	: 	: 	2047840 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,FI	11120 	8579 	8732 	7812 	7315 	7808 	8299 	7477 	6664 	5700 	5951 	5913 	4858 	3844 	4034 	4390 	5288 	4806 	4039 	4300 	4773 	4206 	4960 	3829 	2802 	: 	: 	: 
NR,AFR,I551-I553,FR	907238 	817490 	776584 	740559 	682915 	596832 	544174 	451778 	427981 	418827 	414664 	428440 	324149 	354896 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	552720 	: 	: 	: 
NR,AFR,I551-I553,HR	36013 	32041 	24995 	22241 	19587 	16570 b	11048 	9724 	9381 	10415 	11086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,HU	25425 	26928 	27172 	19993 	17415 	14512 b	11433 	10058 	9925 	9091 	9540 	7557 	10310 	12379 	5756 	5739 	7122 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,IE	: 	14577 u	14352 u	11210 u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	122000 	18000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,IS	: 	4924 	4833 	3116 	2154 	4163 	2287 	2023 	1915 	2212 	1342 	1479 	1076 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,IT	533228 	517165 	507748 	398092 	390637 	387299 	365855 	332662 	319289 	320774 	306626 	303021 	296838 	293812 	306950 	299360 	361789 	292935 	225508 	182684 	136041 	62627 	79432 	: 	: 	: 	: 	75986 
NR,AFR,I551-I553,LI	184 	205 	240 	207 	197 	391 b	143 	156 	232 	195 	224 	212 	178 	215 	227 	231 	194 	231 	: 	: 	: 	224 	174 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,LT	2973 	2673 	3462 	1902 	1836 	1762 b	3022 	1499 	1173 	1246 	959 	1358 	1152 	517 	387 	265 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,LU	4719 	5131 	5851 	6833 	4726 	14357 b	10115 	2886 	3295 	4311 	4099 	4866 	5496 	5380 	4882 	5200 	2817 	2707 	2286 	2683 	2755 	2544 	: 	: 	: 	: 	: 	: 
NR,AFR,I551-I553,LV	4373 	3714 	3164 	3490 	1943 	1823 b	1346 	1449 	588 	762 	551 	347 	723 	167 	199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
