c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551-I553,IT	60523190 	56764239 	55033682 	51635500 	50263236 	48738575 	47460809 	43794338 	41124722 	41796724 	42873122 	41193827 	38055139 	36715739 	35006124 	36355046 	35767981 	35107475 	31845086 	30941982 	29963670 	29324237 	27581077 	24663870 	21025353 	20424982 	20241217 	20862965 
FOR,NR,I551-I553,LI	79262 	69084 	56666 	61251 	59640 	62382 b	66986 	64324 	66507 	72936 	72806 	69160 	63976 	63527 	64002 	63854 	71668 	73549 	71430 	72439 	62799 	71075 	74762 	: 	: 	: 	: 	85153 
FOR,NR,I551-I553,LT	1583801 	1517890 	1388487 	1356835 	1260336 	1147927 b	943285 	791821 	710958 	858016 	804792 	720247 	648188 	558333 	411130 	366482 	328175 	276020 	270811 	289442 	270923 	232412 	193433 	210119 	: 	: 	: 	: 
FOR,NR,I551-I553,LU	1045883 	1053653 	1089576 	1038475 	944346 	950421 b	873952 	805472 	848528 	877636 	915670 	906426 	910851 	875245 	864043 	882083 	833262 	848354 	859224 	784974 	773014 	717618 	761482 	761822 	791344 	759496 	824559 	820476 
FOR,NR,I551-I553,LV	1778973 	1573632 	1474765 	1431038 	1249814 	1096274 b	1063294 	877774 	753875 	944690 	844828 	816297 	730146 	545366 	414924 	360927 	322916 	268083 	240799 	238835 	219939 	188269 	184783 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,ME	: 	1662121 	1559924 	: 	: 	1264163 b	531503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,MK	626879 	508300 	479152 	417090 	394938 	347052 	324249 	258942 	255620 	251794 	: 	: 	: 	: 	: 	119750 	95986 	214428 	176866 	149015 	116850 	123441 	131939 	: 	172082 	173336 	240191 	428053 
FOR,NR,I551-I553,MT	1662358 	1468143 	1428801 	1399301 	1311983 	1195938 	1198222 	1118596 	957581 	1079089 	1049327 	1012360 	1030540 	1042412 	966025 	951139 	988026 	964742 	1014892 	982049 	913237 	842510 	865968 	903203 	: 	: 	: 	: 
FOR,NR,I551-I553,NL	17924191 	15829488 	15007135 	13924881 	12782900 b	11633584 	11299400 	10883100 	9920700 	10104300 	11008000 	10738500 	10011800 	9647000 	9180700 	9595300 	9500000 	10002000 	9882000 	9320000 	7844000 	6581000 	6574000 	6178000 	5756700 	6049100 	5841900 	5795000 
FOR,NR,I551-I553,NO	: 	5920859 	5303531 	4854610 	4777926 	4538228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4133668 	4242702 	4348042 	4543324 	4485615 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,PL	6803667 	6378793 	5689570 	5470335 	5242972 	4979294 	4409550 	4134970 	3861942 	4046312 	4387404 	4313578 	4310401 	3934064 	3331870 	3145439 	3151513 	3117146 	2493501 	3338462 	3628264 	3832668 	3702440 	3489195 	3326358 	3303757 	2756969 	: 
FOR,NR,I551-I553,PT	14299650 	12343982 	10839925 	9688312 	8400252 	7503252 	7263644 	6756354 	6439022 	6961718 	6787797 	6349448 	5769293 	5654081 	5383055 	5559904 	5391886 	5599127 	5378526 	5539313 	4798356 	4566705 	4572237 	4389299 	3961743 	4344547 	4769090 	4434728 
FOR,NR,I551-I553,RO	2749258 	2471411 	2234232 	1911817 	1714538 	1653361 b	1516699 	1346343 	1275590 	1465891 	1550957 	1379832 	1429911 	1359494 	1104975 	999208 	914509 	867023 	795112 	809913 	832775 	762383 	765815 	2758400 	848436 	1184757 	28657837 	1431661 
FOR,NR,I551-I553,RS	: 	1277956 	1127284 	976221 	851584 	785615 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
