unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,DOM,IT	231759.48 u	: 	: 	90236.95 u
THS_EUR,PERS,N1-3,DOM,LU	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,NL	11028.64 u	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,NO	123529.34 	124013.32 	: 	: 
THS_EUR,PERS,N1-3,DOM,PL	6175.9 u	: 	: 	13011 
THS_EUR,PERS,N1-3,DOM,PT	10823.61 	: 	: 	13631.44 
THS_EUR,PERS,N1-3,DOM,RO	9002.3 	: 	: 	10652.21 
THS_EUR,PERS,N1-3,DOM,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,DOM,SK	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EE,EE	18798.13 	: 	: 	2130.5 u
THS_EUR,PERS,N1-3,EE,FI	204779.92 	: 	: 	205306.61 
THS_EUR,PERS,N1-3,EE,LT	: c	: 	: 	577.69 
THS_EUR,PERS,N1-3,EE,LV	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EE,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,BE	: u	: 	: 	: 
THS_EUR,PERS,N1-3,EFTA,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,EFTA,DE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,ES	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,FI	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EFTA,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,EFTA,HU	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,IE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EFTA,LT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,NO	123529.34 	124013.32 	: 	: 
THS_EUR,PERS,N1-3,EFTA,PL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,PT	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EFTA,SI	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EL,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EL,BG	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EL,CY	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EL,DE	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EL,EL	: 	: 	: 	18575.5 
THS_EUR,PERS,N1-3,EL,ES	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EL,FR	: u	: 	: 	: 
THS_EUR,PERS,N1-3,EL,HU	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EL,NL	: c	: 	: 	: u
THS_EUR,PERS,N1-3,EL,NO	: u	: u	: 	: 
THS_EUR,PERS,N1-3,EL,PL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,EL,RO	: c	: 	: 	: 
THS_EUR,PERS,N1-3,EL,SI	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ES,AT	: c	: 	: 	: u
THS_EUR,PERS,N1-3,ES,BE	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ES,BG	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ES,CH	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ES,DE	: c	: 	: 	: u
THS_EUR,PERS,N1-3,ES,EE	: c	: 	: 	: 
THS_EUR,PERS,N1-3,ES,EL	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ES,ES	390043.04 	: 	: 	207700.31 
THS_EUR,PERS,N1-3,ES,FI	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ES,FR	74464.78 u	: 	: 	: 
THS_EUR,PERS,N1-3,ES,HR	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ES,HU	: c	: 	: 	: u
