unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_NAC,PERS,N1-3,DOM,TOTAL,FI	2986597.16 	: 	: 	2838131.51 
THS_NAC,PERS,N1-3,DOM,TOTAL,FR	13613974.99 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TOTAL,HR	: 	: 	: 	1799133.45 
THS_NAC,PERS,N1-3,DOM,TOTAL,HU	170184351.89 	: 	: 	131224568.51 
THS_NAC,PERS,N1-3,DOM,TOTAL,IE	1007655.72 	: 	: 	763306.94 
THS_NAC,PERS,N1-3,DOM,TOTAL,IT	3789711.8 	: 	: 	2664743.92 
THS_NAC,PERS,N1-3,DOM,TOTAL,LT	113377.99 	: 	: 	84394.8 
THS_NAC,PERS,N1-3,DOM,TOTAL,LU	: 	: 	: 	5610.72 
THS_NAC,PERS,N1-3,DOM,TOTAL,LV	: 	87553.23 	: 	87922.42 
THS_NAC,PERS,N1-3,DOM,TOTAL,MT	30590.96 	30276.51 	23404.06 	17665.57 
THS_NAC,PERS,N1-3,DOM,TOTAL,NL	1447982.14 	: 	: 	1212119.69 
THS_NAC,PERS,N1-3,DOM,TOTAL,NO	20949649.07 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TOTAL,PL	7916452.53 	: 	: 	4825394.19 
THS_NAC,PERS,N1-3,DOM,TOTAL,PT	703420.78 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TOTAL,RO	3749664.94 	: 	: 	2809083.21 
THS_NAC,PERS,N1-3,DOM,TOTAL,SE	: 	: 	: 	17094541.62 
THS_NAC,PERS,N1-3,DOM,TOTAL,SI	93663.85 	: 	: 	99678.5 
THS_NAC,PERS,N1-3,DOM,TOTAL,SK	521409.95 	: 	: 	274000.48 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,AT	47062.63 	: 	: 	34053.82 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,BE	15703.92 bu	: 	: 	6816.05 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,BG	7066.74 u	: 	: 	11012.78 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,CH	: 	: 	: u	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,CY	: c	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,CZ	260232.41 u	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,DE	686701.19 	: 	: 	677436.88 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,DK	: 	: 	: 	2364027.72 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,EE	3652.23 u	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,EL	: 	: 	: 	25441.62 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,ES	481569.71 	: 	: 	257081.8 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,FI	70751.31 	: 	: 	55428.16 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,FR	6870585.37 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,HR	: 	: 	: 	100729.95 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,HU	2595563.79 	: 	: 	1876328.58 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,IE	8636.9 u	: 	: 	7851.11 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,IT	317877.87 	: 	: 	148135.94 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,LT	: 	: 	: 	780.94 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,LU	: 	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,LV	: 	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,NL	17465.58 u	: 	: 	10333.02 u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,PL	26290.8 u	: 	: 	62667.31 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,PT	15133.38 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,RO	29918.41 	: 	: 	31917.2 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,SE	: 	: 	: 	2011649.26 
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,SI	: c	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_TO_TA,SK	: c	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,AT	159704.87 	: 	: 	95850.39 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,BE	41011.63 b	: 	: 	30938.16 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,BG	3605.23 u	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,CH	: 	: 	50862.28 u	49923.28 u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,CY	: 	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,CZ	972071.49 	: 	: 	188555.89 u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,DE	2706652.33 	: 	: 	2390320.51 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,DK	: 	: 	: 	16931844.93 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,EE	13890.37 	: 	: 	8713.06 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,EL	: 	: 	: 	11602.09 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,ES	1229414.67 	: 	: 	72153.71 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,FI	580471.43 	: 	: 	367076.49 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,FR	2037637.68 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,HR	: 	: 	: 	28761.19 u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,HU	12843064.71 	: 	: 	4987338.38 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,IE	81224.59 	: 	: 	65267.04 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,IT	686349.54 	: 	: 	330494.82 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,LT	408.8 u	: 	: 	1619.72 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,LU	: 	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,LV	: 	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,NL	24192.59 	: 	: 	16877.74 u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,PL	295800.72 	: 	: 	85639.91 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,PT	32513.97 	: 	: 	: 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,RO	: c	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,SE	: 	: 	: 	4824971.95 
THS_NAC,PERS,N1-3,DOM,TRA_WEB,SI	: c	: 	: 	: u
THS_NAC,PERS,N1-3,DOM,TRA_WEB,SK	: c	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,AT	515500.8 	: 	: 	447084.17 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,BE	114573.52 b	: 	: 	153236.75 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,BG	34903.51 	: 	: 	25664.7 u
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,CH	: 	: 	381493.1 	270113.85 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,CY	76024.96 	: 	: 	41470.51 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,CZ	1152666.18 	: 	: 	1534007.2 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,DE	618150.26 	: 	: 	667693.27 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,DK	: 	: 	: 	271327.06 u
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,EE	35599.04 	: 	: 	7428.43 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,EL	: 	: 	: 	10678.59 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,ES	733652.45 	: 	: 	147464.89 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,FI	598767.86 	: 	: 	502075.84 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,FR	38525.95 u	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,HR	: 	: 	: 	359662.91 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,HU	75896574 	: 	: 	49610691 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,IE	133201.21 	: 	: 	57200.2 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,IT	228094.3 u	: 	: 	139498.42 u
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,LT	12924.03 	: 	: 	3172.25 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,LU	: 	: 	: 	12303.85 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,LV	: 	: 	: 	8718.13 u
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,MT	35813.62 	: 	: 	9689.65 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,NL	680132.06 	: 	: 	424584.46 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,PL	77801.59 	: 	: 	139008.46 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,PT	14840.16 u	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,RO	59397.51 u	: 	: 	31976.95 u
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,SE	: 	: 	: 	3658878.63 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,SI	34813.67 	: 	: 	31858.84 
THS_NAC,PERS,N1-3,OUT,ACC_TO_TA,SK	25052.2 u	: 	: 	31820.52 u
THS_NAC,PERS,N1-3,OUT,ACC_WEB,AT	799504.53 	: 	: 	654694.66 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,BE	601294.75 b	: 	: 	424511.51 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,BG	: c	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,CH	: 	: 	1065644 	920996.73 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,CY	94517.7 	: 	: 	38812.08 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,CZ	2987022.27 	: 	: 	2022936.48 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,DE	3561645.82 	: 	: 	2473816.93 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,DK	: 	: 	: 	1998775.88 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,EE	60682.27 	: 	: 	40206.44 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,EL	: 	: 	: 	13768.64 u
THS_NAC,PERS,N1-3,OUT,ACC_WEB,ES	862201.52 	: 	: 	95026.19 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,FI	1135695.62 	: 	: 	886427.65 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,FR	1356773.88 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,HR	: 	: 	: 	480773.02 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,HU	23956441 	: 	: 	10710563 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,IE	486251.43 	: 	: 	309722.66 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,IT	714490.65 	: 	: 	396085.55 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,LT	26352.26 	: 	: 	21865.47 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,LU	: 	: 	: 	109984.41 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,LV	: 	: 	: 	24084.93 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,MT	47700.36 	: 	: 	16547.77 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,NL	1020264.13 	: 	: 	555957.04 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,PL	940468.4 	: 	: 	361996.54 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,PT	59477.03 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,RO	46528.81 u	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,ACC_WEB,SE	: 	: 	: 	2880181.51 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,SI	63617.76 	: 	: 	33141.32 
THS_NAC,PERS,N1-3,OUT,ACC_WEB,SK	55108.62 u	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,DIRECT,AT	593810.4 	: 	: 	575808.38 
THS_NAC,PERS,N1-3,OUT,DIRECT,BE	766639.72 b	: 	: 	535942.59 
THS_NAC,PERS,N1-3,OUT,DIRECT,BG	31276.51 u	: 	: 	30141.85 
THS_NAC,PERS,N1-3,OUT,DIRECT,CH	: 	: 	471953.72 	418799.04 
THS_NAC,PERS,N1-3,OUT,DIRECT,CY	23195.88 u	: 	: 	18955.66 
THS_NAC,PERS,N1-3,OUT,DIRECT,CZ	3214560.31 	: 	: 	2006240.78 
THS_NAC,PERS,N1-3,OUT,DIRECT,DE	4096199.77 	: 	: 	2976855.37 
THS_NAC,PERS,N1-3,OUT,DIRECT,DK	: 	: 	: 	2326907.78 
THS_NAC,PERS,N1-3,OUT,DIRECT,EE	42342.84 	: 	: 	20755.92 
THS_NAC,PERS,N1-3,OUT,DIRECT,EL	: 	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,DIRECT,ES	455694.49 	: 	: 	575947.33 
THS_NAC,PERS,N1-3,OUT,DIRECT,FI	751724.54 	: 	: 	639520.79 
THS_NAC,PERS,N1-3,OUT,DIRECT,HR	: 	: 	: 	251378.37 
THS_NAC,PERS,N1-3,OUT,DIRECT,HU	27152684 	: 	: 	12468737 
THS_NAC,PERS,N1-3,OUT,DIRECT,IE	619291.7 	: 	: 	453783.77 
THS_NAC,PERS,N1-3,OUT,DIRECT,IT	908397.62 	: 	: 	479073.06 
THS_NAC,PERS,N1-3,OUT,DIRECT,LT	20273.66 	: 	: 	40788.07 
THS_NAC,PERS,N1-3,OUT,DIRECT,LU	: 	: 	: 	166938.97 
THS_NAC,PERS,N1-3,OUT,DIRECT,LV	: 	: 	: 	10212.04 u
THS_NAC,PERS,N1-3,OUT,DIRECT,MT	20502.16 	: 	: 	12432.83 
THS_NAC,PERS,N1-3,OUT,DIRECT,NL	432074.02 	: 	: 	223406.91 
THS_NAC,PERS,N1-3,OUT,DIRECT,PL	1200597.19 	: 	: 	518786.19 
THS_NAC,PERS,N1-3,OUT,DIRECT,PT	82376.62 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,DIRECT,RO	: c	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,DIRECT,SE	: 	: 	: 	1312102.26 
THS_NAC,PERS,N1-3,OUT,DIRECT,SI	88963.46 	: 	: 	58100.73 
THS_NAC,PERS,N1-3,OUT,DIRECT,SK	85586.92 	: 	: 	27317.74 u
THS_NAC,PERS,N1-3,OUT,NBOOK,AT	117469.14 	: 	: 	105210.96 
THS_NAC,PERS,N1-3,OUT,NBOOK,BE	66238 b	: 	: 	79958.54 
THS_NAC,PERS,N1-3,OUT,NBOOK,BG	: c	: 	: 	11243.89 u
THS_NAC,PERS,N1-3,OUT,NBOOK,CH	: 	: 	951239.73 	832117.28 
THS_NAC,PERS,N1-3,OUT,NBOOK,CY	31584.57 	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,NBOOK,CZ	1122674.88 	: 	: 	1432772.58 
THS_NAC,PERS,N1-3,OUT,NBOOK,DE	405492.05 u	: 	: 	514558.94 
THS_NAC,PERS,N1-3,OUT,NBOOK,DK	: 	: 	: 	3117756.19 
THS_NAC,PERS,N1-3,OUT,NBOOK,EE	7637.88 	: 	: 	53886.01 
THS_NAC,PERS,N1-3,OUT,NBOOK,EL	: 	: 	: 	1338.47 u
THS_NAC,PERS,N1-3,OUT,NBOOK,ES	60816.09 	: 	: 	80204.5 
THS_NAC,PERS,N1-3,OUT,NBOOK,FI	167515.51 	: 	: 	190291.72 
THS_NAC,PERS,N1-3,OUT,NBOOK,FR	: u	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,NBOOK,HR	: 	: 	: 	734645.43 
THS_NAC,PERS,N1-3,OUT,NBOOK,HU	33924320 	: 	: 	25469158 
THS_NAC,PERS,N1-3,OUT,NBOOK,IE	13654.06 	: 	: 	17645.13 
THS_NAC,PERS,N1-3,OUT,NBOOK,IT	: u	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,NBOOK,LT	29677.77 	: 	: 	28824.29 
THS_NAC,PERS,N1-3,OUT,NBOOK,LU	: 	: 	: 	28113.05 
THS_NAC,PERS,N1-3,OUT,NBOOK,LV	: 	: 	: 	29884.35 
THS_NAC,PERS,N1-3,OUT,NBOOK,MT	: 	: 	: 	7450.14 u
THS_NAC,PERS,N1-3,OUT,NBOOK,NL	50552.77 	: 	: 	28734.1 
THS_NAC,PERS,N1-3,OUT,NBOOK,PL	656006.95 	: 	: 	738028.93 
THS_NAC,PERS,N1-3,OUT,NBOOK,PT	8048.9 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,NBOOK,RO	48906.73 	: 	: 	27506.89 u
THS_NAC,PERS,N1-3,OUT,NBOOK,SE	: 	: 	: 	1465511.81 
THS_NAC,PERS,N1-3,OUT,NBOOK,SI	40821.22 	: 	: 	33378.78 
THS_NAC,PERS,N1-3,OUT,NBOOK,SK	68991.95 	: 	: 	54787.16 
THS_NAC,PERS,N1-3,OUT,NPACK,AT	1013600.66 	: 	: 	835504.95 
THS_NAC,PERS,N1-3,OUT,NPACK,BE	878014.63 b	: 	: 	693848.41 
THS_NAC,PERS,N1-3,OUT,NPACK,BG	43756.64 	: 	: 	41385.74 
THS_NAC,PERS,N1-3,OUT,NPACK,CH	: 	: 	1580804.95 	1367058.63 
THS_NAC,PERS,N1-3,OUT,NPACK,CY	128972.35 	: 	: 	68864.35 
THS_NAC,PERS,N1-3,OUT,NPACK,CZ	4466189.03 	: 	: 	3770068.59 
THS_NAC,PERS,N1-3,OUT,NPACK,DE	4638684.87 	: 	: 	3631117.99 
THS_NAC,PERS,N1-3,OUT,NPACK,DK	: 	: 	: 	5573413.32 
THS_NAC,PERS,N1-3,OUT,NPACK,EE	71202.14 	: 	: 	78328.25 
THS_NAC,PERS,N1-3,OUT,NPACK,EL	: 	: 	: 	24074.56 
THS_NAC,PERS,N1-3,OUT,NPACK,ES	1157029.75 	: 	: 	731981.72 
THS_NAC,PERS,N1-3,OUT,NPACK,FI	1276677.02 	: 	: 	1048724.01 
THS_NAC,PERS,N1-3,OUT,NPACK,FR	1884217.49 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,NPACK,HR	: 	: 	: 	1154038.46 
THS_NAC,PERS,N1-3,OUT,NPACK,HU	63337444 	: 	: 	37937895 
THS_NAC,PERS,N1-3,OUT,NPACK,IE	725615.55 	: 	: 	497769.65 
THS_NAC,PERS,N1-3,OUT,NPACK,IT	1042736.71 	: 	: 	581448.57 
THS_NAC,PERS,N1-3,OUT,NPACK,LT	64673.38 	: 	: 	69612.36 
THS_NAC,PERS,N1-3,OUT,NPACK,LU	: 	: 	: 	195408.46 
THS_NAC,PERS,N1-3,OUT,NPACK,LV	: 	: 	: 	44755.99 
THS_NAC,PERS,N1-3,OUT,NPACK,MT	57963.45 	: 	: 	27893.42 
THS_NAC,PERS,N1-3,OUT,NPACK,NL	1174736.35 	: 	: 	669174.49 
THS_NAC,PERS,N1-3,OUT,NPACK,NO	11935165.93 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,NPACK,PL	2540366.08 	: 	: 	1285044.87 
THS_NAC,PERS,N1-3,OUT,NPACK,PT	97472.5 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,NPACK,RO	111362.51 	: 	: 	37291.19 u
THS_NAC,PERS,N1-3,OUT,NPACK,SE	: 	: 	: 	6804621.45 
THS_NAC,PERS,N1-3,OUT,NPACK,SI	143338.13 	: 	: 	100505.2 
THS_NAC,PERS,N1-3,OUT,NPACK,SK	160385.07 	: 	: 	86626.91 
THS_NAC,PERS,N1-3,OUT,PACK,AT	296539.07 	: 	: 	389466.81 
THS_NAC,PERS,N1-3,OUT,PACK,BE	75964.56 b	: 	: 	87174.35 
THS_NAC,PERS,N1-3,OUT,PACK,BG	27772.48 u	: 	: 	25956.63 u
THS_NAC,PERS,N1-3,OUT,PACK,CH	: 	: 	265457.15 u	202652.95 u
THS_NAC,PERS,N1-3,OUT,PACK,CY	: c	: 	: 	7984.86 u
THS_NAC,PERS,N1-3,OUT,PACK,CZ	1060613.19 	: 	: 	1267616.88 u
THS_NAC,PERS,N1-3,OUT,PACK,DE	644667.51 	: 	: 	715118.27 
THS_NAC,PERS,N1-3,OUT,PACK,DK	: 	: 	: 	303123.83 u
THS_NAC,PERS,N1-3,OUT,PACK,EE	23453.63 	: 	: 	5367.67 u
THS_NAC,PERS,N1-3,OUT,PACK,EL	: 	: 	: 	7965.21 u
THS_NAC,PERS,N1-3,OUT,PACK,ES	236383.51 	: 	: 	98177.62 
THS_NAC,PERS,N1-3,OUT,PACK,FI	287711.01 	: 	: 	298514.87 
THS_NAC,PERS,N1-3,OUT,PACK,FR	388185.58 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,PACK,HR	: 	: 	: 	321783.01 
THS_NAC,PERS,N1-3,OUT,PACK,HU	76890514 	: 	: 	50156527 
THS_NAC,PERS,N1-3,OUT,PACK,IE	69569.81 	: 	: 	52800.28 
THS_NAC,PERS,N1-3,OUT,PACK,IT	: u	: 	: 	109650.64 u
THS_NAC,PERS,N1-3,OUT,PACK,LT	6185.2 	: 	: 	3172.25 
THS_NAC,PERS,N1-3,OUT,PACK,LU	: 	: 	: 	12303.85 
THS_NAC,PERS,N1-3,OUT,PACK,LV	: 	: 	: 	8014.91 u
THS_NAC,PERS,N1-3,OUT,PACK,MT	4115.21 u	: 	: 	4444.32 u
THS_NAC,PERS,N1-3,OUT,PACK,NL	197678.36 	: 	: 	89804.86 
THS_NAC,PERS,N1-3,OUT,PACK,NO	1608189.91 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,PACK,PL	69429.58 	: 	: 	121443.97 
THS_NAC,PERS,N1-3,OUT,PACK,PT	9767.91 u	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,PACK,RO	34396.53 u	: 	: 	35030.17 u
THS_NAC,PERS,N1-3,OUT,PACK,SE	: 	: 	: 	1854637.84 
THS_NAC,PERS,N1-3,OUT,PACK,SI	23218.88 	: 	: 	23929.16 
THS_NAC,PERS,N1-3,OUT,PACK,SK	: c	: 	: 	: u
THS_NAC,PERS,N1-3,OUT,TOTAL,AT	1310139.73 	: 	: 	1224971.76 
THS_NAC,PERS,N1-3,OUT,TOTAL,BE	953979.2 b	: 	: 	781022.76 
THS_NAC,PERS,N1-3,OUT,TOTAL,BG	71529.12 	: 	: 	67342.38 
THS_NAC,PERS,N1-3,OUT,TOTAL,CH	: 	: 	1846262.1 	1569711.58 
THS_NAC,PERS,N1-3,OUT,TOTAL,CY	140968.45 	: 	: 	76849.22 
THS_NAC,PERS,N1-3,OUT,TOTAL,CZ	5526802.22 	: 	: 	5037685.47 
THS_NAC,PERS,N1-3,OUT,TOTAL,DE	5283352.38 	: 	: 	4346236.26 
THS_NAC,PERS,N1-3,OUT,TOTAL,DK	: 	: 	: 	5876537.15 
THS_NAC,PERS,N1-3,OUT,TOTAL,EE	94655.77 	: 	: 	83695.92 
THS_NAC,PERS,N1-3,OUT,TOTAL,EL	: 	: 	: 	32039.77 
THS_NAC,PERS,N1-3,OUT,TOTAL,ES	1393413.26 	: 	: 	830159.34 
THS_NAC,PERS,N1-3,OUT,TOTAL,FI	1564388.03 	: 	: 	1347238.87 
THS_NAC,PERS,N1-3,OUT,TOTAL,FR	2272403.07 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,TOTAL,HR	: 	: 	: 	1475821.47 
THS_NAC,PERS,N1-3,OUT,TOTAL,HU	140227958 	: 	: 	88094422 
THS_NAC,PERS,N1-3,OUT,TOTAL,IE	795185.36 	: 	: 	550569.94 
THS_NAC,PERS,N1-3,OUT,TOTAL,IT	1206750.64 	: 	: 	691099.21 
THS_NAC,PERS,N1-3,OUT,TOTAL,LT	70858.58 	: 	: 	72784.61 
THS_NAC,PERS,N1-3,OUT,TOTAL,LU	: 	: 	: 	207712.31 
THS_NAC,PERS,N1-3,OUT,TOTAL,LV	: 	68852.04 	: 	52770.9 
THS_NAC,PERS,N1-3,OUT,TOTAL,MT	62078.66 	49940.19 	38406.76 	32337.74 
THS_NAC,PERS,N1-3,OUT,TOTAL,NL	1372414.71 	: 	: 	758979.35 
THS_NAC,PERS,N1-3,OUT,TOTAL,NO	13543355.84 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,TOTAL,PL	2609795.67 	: 	: 	1406488.84 
THS_NAC,PERS,N1-3,OUT,TOTAL,PT	107240.4 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,TOTAL,RO	145759.04 	: 	: 	72321.36 
THS_NAC,PERS,N1-3,OUT,TOTAL,SE	: 	: 	: 	8659259.28 
THS_NAC,PERS,N1-3,OUT,TOTAL,SI	166557.01 	: 	: 	124434.36 
THS_NAC,PERS,N1-3,OUT,TOTAL,SK	183921.59 	: 	: 	113925.42 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,AT	230439.18 	: 	: 	247759.57 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,BE	94864.39 b	: 	: 	105641.68 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,BG	33690 	: 	: 	23129.29 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,CH	: 	: 	283535.38 u	248416.8 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,CY	30596.68 	: 	: 	42883.97 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,CZ	1060111.31 	: 	: 	1133396.75 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,DE	567868.77 	: 	: 	609127.55 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,DK	: 	: 	: 	330567.93 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,EE	14105.92 u	: 	: 	7013.84 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,EL	: 	: 	: 	10572.67 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,ES	362380.97 	: 	: 	135739.56 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,FI	450788.07 	: 	: 	446198.76 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,FR	2003672.51 	: 	: 	: 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,HR	: 	: 	: 	405493.7 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,HU	7905310 	: 	: 	2884610 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,IE	74516.94 	: 	: 	38225.66 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,IT	181951.88 u	: 	: 	133659.14 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,LT	20861.93 	: 	: 	3172.25 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,LU	: 	: 	: 	11664.15 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,LV	: 	: 	: 	9574.66 u
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,MT	14437.7 	: 	: 	10166.69 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,NL	318550.98 	: 	: 	175402.93 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,PL	87924.75 	: 	: 	143863.85 
THS_NAC,PERS,N1-3,OUT,TRA_TO_TA,PT	12393.13 u	: 	: 	: 
