unit,purpose,duration,partner,trip_arr,geo\time	2017 	2016 	2015 	2014 
THS_EUR,PERS,N1-3,DOM,NPACK,CH	: 	: 	865362.85 	788329.46 
THS_EUR,PERS,N1-3,DOM,NPACK,CY	109562.19 	: 	: 	93630.81 
THS_EUR,PERS,N1-3,DOM,NPACK,CZ	813816 	: 	: 	579719.38 
THS_EUR,PERS,N1-3,DOM,NPACK,DE	11573960.16 	: 	: 	10933952.08 
THS_EUR,PERS,N1-3,DOM,NPACK,DK	: 	: 	: 	3551395.81 
THS_EUR,PERS,N1-3,DOM,NPACK,EA	: 	: 	: 	39143480.19 e
THS_EUR,PERS,N1-3,DOM,NPACK,EE	172226.46 	: 	: 	116357.51 
THS_EUR,PERS,N1-3,DOM,NPACK,EL	: 	: 	: 	195472.23 
THS_EUR,PERS,N1-3,DOM,NPACK,ES	9908540.39 	: 	: 	6149427.77 
THS_EUR,PERS,N1-3,DOM,NPACK,EU27	: 	: 	: 	54229994.6 e
THS_EUR,PERS,N1-3,DOM,NPACK,EU28	: 	: 	: 	54417143.95 e
THS_EUR,PERS,N1-3,DOM,NPACK,FI	2945891.9 	: 	: 	2795790.62 
THS_EUR,PERS,N1-3,DOM,NPACK,FR	13316798.38 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,NPACK,HR	: 	: 	: 	221319.54 
THS_EUR,PERS,N1-3,DOM,NPACK,HU	541609.95 	: 	: 	417866.66 
THS_EUR,PERS,N1-3,DOM,NPACK,IE	953941.99 	: 	: 	708867.2 
THS_EUR,PERS,N1-3,DOM,NPACK,IT	3557952.32 	: 	: 	2574506.96 
THS_EUR,PERS,N1-3,DOM,NPACK,LT	113377.99 	: 	: 	84394.8 
THS_EUR,PERS,N1-3,DOM,NPACK,LU	: 	: 	: 	3681.49 
THS_EUR,PERS,N1-3,DOM,NPACK,LV	: 	: 	: 	87319.97 
THS_EUR,PERS,N1-3,DOM,NPACK,MT	30590.96 	: 	: 	17665.57 
THS_EUR,PERS,N1-3,DOM,NPACK,NL	1436953.5 	: 	: 	1207871.33 
THS_EUR,PERS,N1-3,DOM,NPACK,NO	2122600.07 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,NPACK,PL	1853455.89 	: 	: 	1140203.2 
THS_EUR,PERS,N1-3,DOM,NPACK,PT	692597.17 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,NPACK,RO	811708.82 	: 	: 	621497.4 
THS_EUR,PERS,N1-3,DOM,NPACK,SE	: 	: 	: 	1704765.66 
THS_EUR,PERS,N1-3,DOM,NPACK,SI	92788.18 	: 	: 	98344.43 
