unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
THS_EUR,PERS,N1-3,AR,SE	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,AT	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,BE	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,BG	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,CH	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,DE	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,DK	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI,EE	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,EL	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,ES	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,FI	: 	: 	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,HR	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,ASI,HU	3337.09 u	3162.95 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,IE	: c	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,LT	: 	: u	: u	2338.12 u	: 	: u
THS_EUR,PERS,N1-3,ASI,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ASI,NL	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI,RO	: c	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,ASI,SE	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI,UK	: 	: 	: 	: 	18562.3 	11749.41 u
THS_EUR,PERS,N1-3,ASI_OTH,AT	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,BE	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,BG	: 	: 	: 	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,CH	: 	: u	: u	: u	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,CY	: c	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,DE	: c	: u	: u	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,DK	: 	: 	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,EE	: 	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,EL	: 	: u	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,ES	: 	: 	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,FI	: 	: 	: u	: 	: 	: 
THS_EUR,PERS,N1-3,ASI_OTH,FR	: u	: u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,HR	: u	: 	: u	: 	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,HU	3337.09 u	3162.95 u	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,IE	: 	: u	: 	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,LT	: 	: u	: u	2338.12 u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,LU	: 	: 	: u	: u	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,LV	: 	: 	: 	: 	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,MT	: c	: 	: 	: 	: u	: u
THS_EUR,PERS,N1-3,ASI_OTH,NL	: c	: u	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,NO	: u	: 	: u	: u	: u	: 
THS_EUR,PERS,N1-3,ASI_OTH,PL	: c	: u	: u	: u	: 	: u
THS_EUR,PERS,N1-3,ASI_OTH,RO	: c	: 	: 	: 	: 	: 
