unit,purpose,duration,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PERS,N1-3,OUT,CH	: 	1599611.05 	1728871.71 	1292369.16 	1600393.83 	1085819.7 	1109408 	875322 	1029155 	1057075 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,CY	140968.45 	102434.18 	81520.91 	76849.22 	88243.22 	66785.61 b	83988 	83038 	: 	117032 	105647 	80677 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,CZ	209937.03 	212929.39 	189231.86 	182949.07 	182319.59 	158040.12 	161125 	190295 	178550 	278391 	185675 	127136 	124631 	104563 	114257 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,DE	5283352.38 	5174516.39 	5374725.31 	4346236.26 	4987903.06 	5136056.38 	4518120 	4382000 	4327390 	4237000 	4050000 	1137509 	1726582 	1312000 	1903000 	3391000 	1707715 	917096 	2199987 	1281429 	920800 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,DK	: 	890885.74 	909842.4 	788289.04 b	742353.51 b	405971.31 	476932 	531637 	448234 	446560 	368024 	363985 	228613 	179572 	303458 	204777 	195140 	195094 	189602 	163602 	125207 	126084 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EA	: 	: 	: 	13268197.73 e	13573552.59 e	13814073.4 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EE	94655.77 	85508.49 	75954.92 	83695.92 	76895.75 	68273.31 	62025 	50740 	46596 	19896 	14478 	15174 	20317 	11906 	13254 	10069 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EL	: 	30003.19 	35411.96 	32039.77 	22731.94 	21433.03 	56044 	67645 	88856 	71818 	68520 	: 	: 	: 	: 	: 	: 	: 	: 	2667 	8489 	11607 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,ES	1393413.26 	1217349.27 	1142590.24 b	830159.34 	719265.58 	700212.43 	772849 	723217 	778205 	600894 	688086 	669702 	671884 	257981 	189743 	171474 	214342 	201805 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EU27	: 	: 	20744935.37 e	18295156.22 e	18279565.4 e	17497280.1 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,EU28	: 	: 	20965028.19 e	18494014.46 e	18509754.61 e	17679412.33 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,FI	1564388.03 	1435682.61 	1409035.23 	1347238.87 	1485339.41 	1526037.91 b	1055000 	944000 	862000 	742000 	749000 	754000 	782000 	796000 	753000 	777000 	842957 	984236 	350672 	477392 	521474 	448751 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,FR	2272403.07 	1695512.41 	1873594.12 	1968398.99 	1746331.32 	1778389.97 b	1644921 	1571390 	1542847 	2383000 	1442000 	1673000 	1809000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,HR	179880.35 	130525.91 	214482.44 	193312.04 	228766.79 	181490.39 	214938 	146269 	174188 	228754 	166639 	: 	: 	122741 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
