duration,dest,purpose,tinfo,unit,geo\time	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 
N1-3,DOM,PERS,F,NR,NO	1698565 	2531923 	1942997 	1665111 	1907132 	2190000 	2360000 	2020000 	1850000 	2520000 	2320000 	2230000 	1350000 	2400000 	2020000 	1790000 	1320000 	1970000 	2340000 	: 	1682000 	2508000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,PL	4559600 e	4046000 	3995000 	2692000 	3535000 	5930000 	3979000 	3311000 	3047000 	4751000 	3743000 	3082000 	3589000 	6066000 	5610000 	4458000 	3866000 	4264000 	3817000 	2560000 	4301000 	6232000 	4485000 	2646000 	4030000 	5410000 	3770000 	3330000 e	4823000 	5074000 	11315000 	7455000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,PT	1850260 	1556610 	1719456 	1384356 	1670718 	1611952 	1618065 	1390999 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1405174 	1366686 	1760236 	1661709 	1668758 	1596066 	1489037 	1489037 	1810044 	1461616 	1533243 	1854334 	1286085 	1124375 	1293629 	797901 	1783634 	1581712 	1563449 	1681439 	2517647 	1786735 	1416332 	1482914 	2076871 	1782284 	1500007 	1242840 	1804305 	1651658 	1685105 	1570452 	1095814 	1718607 	1439066 	1160305 	1130265 	2998069 	1535900 	1875706 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,RO	2167988 	1390441 	2195016 	1670991 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1057515 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,SE	5103000 	7452000 	6186000 	3829000 	4856000 	7588000 	6402000 	4866000 	4974000 	5599000 	5273000 	3619000 	3468000 	6089000 	6326000 	4132000 	4038000 	6406000 	5793000 	3104000 	3849000 	6769000 	6491000 	4448000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5256796 	6194536 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,SI	267000 	564000 	329000 	274000 	310000 	397000 	360000 	278000 	386000 	495000 	400000 	338500 	354558 	465363 	240217 	229777 	302499 	425502 	180437 	313065 	355391 	567159 	594165 	355207 	351431 	475467 	242401 	225661 	288635 	423833 	390031 	292623 	221028 	352220 	157052 	243111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,SK	762480 	665600 	554211 	484146 	573696 	528480 	573125 	604136 	489417 	497736 	289660 	391375 	510406 	316062 	531176 	638118 	512953 	410760 	407898 	488250 	534456 	392040 	423360 	372400 	494680 	357538 	438588 	558960 	542308 	420052 	282752 	396985 	617323 	401442 	502199 	777827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,F,NR,UK	11845306 	16077799 	13585276 	8263001 	9701093 	14004456 	13152562 	8194405 	11129862 	14630036 	13520252 	8013163 	10763822 	12634120 	12551808 	8829108 	11786544 	12443384 	12406268 	7582087 	11040605 	12915656 	12479274 	7792983 	10635371 	14340000 	14171816 	11111461 	11081266 	12356804 	13299884 	10242407 	11399000 	16700000 	16500000 	11800000 	15700000 	17300000 	17100000 	13900000 	16900000 	18500000 	15200000 	11600000 	14900000 	18500000 	19000000 	12600000 	10500000 	11700000 	11100000 	7300000 	9200000 	9700000 	9700000 	: 	9400000 	11400000 	10100000 	7500000 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,BE	450613 	402670 	494677 	308167 	332064 	285460 	409257 	328869 	354519 	480452 	535749 	399228 	362919 	417225 	508901 	373294 	416550 	458194 	427313 	309565 	290608 	341426 	544530 	225837 	492631 	622352 	491315 	431595 	566706 	592836 	680786 	435496 	405134 	501437 	462629 	335079 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
N1-3,DOM,PERS,M,NR,CH	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	1318575 	1330411 	727374 	978772 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
