unit,purpose,duration,partner,tripdest,geo\time	2017 	2016 	2015 	2014 	2013 
NR,PERS,N1-3,DOM,OTH,EU28	: 	: 	: 	: 	33518461 e
NR,PERS,N1-3,DOM,OTH,FI	: 	638682 	: 	: 	568528 
NR,PERS,N1-3,DOM,OTH,FR	5521070 	1658844 	: 	: 	1846366 
NR,PERS,N1-3,DOM,OTH,HR	: 	940526 	: 	: 	263902 
NR,PERS,N1-3,DOM,OTH,IE	: 	257972 	: 	: 	195295 
NR,PERS,N1-3,DOM,OTH,IT	: 	862529 u	: 	: 	1773541 
NR,PERS,N1-3,DOM,OTH,LT	: 	26971 	: 	: 	64122 
NR,PERS,N1-3,DOM,OTH,LU	: 	: u	: 	: 	: 
NR,PERS,N1-3,DOM,OTH,LV	: 	1800428 	: 	: 	178823 
NR,PERS,N1-3,DOM,OTH,MT	: 	25285 	: 	: 	: 
NR,PERS,N1-3,DOM,OTH,NL	: 	1094126 	: 	: 	373964 
NR,PERS,N1-3,DOM,OTH,NO	: u	: u	: u	: u	: u
NR,PERS,N1-3,DOM,OTH,PL	: 	205988 	: 	: 	228489 u
NR,PERS,N1-3,DOM,OTH,PT	: 	908324 	: 	: 	360855 
NR,PERS,N1-3,DOM,OTH,RO	91383 	140122 	: 	: 	251918 
NR,PERS,N1-3,DOM,OTH,SE	: 	9694070 	: 	: 	: 
NR,PERS,N1-3,DOM,OTH,SI	: 	215362 	: 	: 	180693 
NR,PERS,N1-3,DOM,OTH,SK	: 	: u	: 	: 	: u
NR,PERS,N1-3,DOM,OTH,UK	: 	: 	: 	: 	15108942 
NR,PERS,N1-3,DOM,SEA,AT	: 	: 	: 	: 	2351087 
NR,PERS,N1-3,DOM,SEA,BE	: 	485029 	: 	: 	545382 
NR,PERS,N1-3,DOM,SEA,BG	: 	195671 	: 	: 	192961 
NR,PERS,N1-3,DOM,SEA,CH	: 	: 	: 	: 	: u
NR,PERS,N1-3,DOM,SEA,CY	: 	379391 	: 	: 	636188 
NR,PERS,N1-3,DOM,SEA,DE	: 	6907582 	: 	: 	8016681 
NR,PERS,N1-3,DOM,SEA,DK	: 	16497773 	: 	: 	5084740 
NR,PERS,N1-3,DOM,SEA,EA	: 	: 	: 	: 	66452618 e
NR,PERS,N1-3,DOM,SEA,EE	: 	377712 	: 	: 	165276 
NR,PERS,N1-3,DOM,SEA,EL	: 	509430 	: 	: 	602351 
NR,PERS,N1-3,DOM,SEA,ES	: 	28879242 	: 	: 	28346602 
NR,PERS,N1-3,DOM,SEA,EU27	: 	: 	: 	: 	85833277 e
NR,PERS,N1-3,DOM,SEA,EU28	: 	: 	: 	: 	86917163 e
NR,PERS,N1-3,DOM,SEA,FI	: 	1289394 	: 	: 	1229563 
NR,PERS,N1-3,DOM,SEA,FR	16521805 	14006674 	: 	: 	15575409 
NR,PERS,N1-3,DOM,SEA,HR	: 	260374 	: 	: 	1077150 
NR,PERS,N1-3,DOM,SEA,IE	: 	1561614 	: 	: 	1108323 
NR,PERS,N1-3,DOM,SEA,IT	: 	5040428 	: 	: 	3228369 
NR,PERS,N1-3,DOM,SEA,LT	: 	334427 	: 	: 	225246 
NR,PERS,N1-3,DOM,SEA,LV	: 	197266 	: 	: 	122097 
NR,PERS,N1-3,DOM,SEA,MT	: 	125926 	: 	: 	164188 
NR,PERS,N1-3,DOM,SEA,NL	: 	1889647 	: 	: 	1933429 
NR,PERS,N1-3,DOM,SEA,NO	800495 	864589 	947830 	1022702 	817973 
NR,PERS,N1-3,DOM,SEA,PL	: 	1932935 	: 	: 	1670850 
NR,PERS,N1-3,DOM,SEA,PT	: 	1974154 	: 	: 	2273340 
NR,PERS,N1-3,DOM,SEA,RO	450347 	507929 	: 	: 	362814 
NR,PERS,N1-3,DOM,SEA,SE	: 	144262 u	: 	: 	: 
NR,PERS,N1-3,DOM,SEA,SI	: 	228491 	: 	: 	268275 
NR,PERS,N1-3,DOM,SEA,SK	: 	: 	: 	: 	: b
NR,PERS,N1-3,DOM,SEA,UK	: 	: 	: 	: 	10092406 
NR,PERS,N1-3,DOM,TOTAL,AT	6764655 	6882323 	: 	: 	6314809 
NR,PERS,N1-3,DOM,TOTAL,BE	2175530 	1698476 	: 	: 	1670786 
NR,PERS,N1-3,DOM,TOTAL,BG	2736847 	1596173 	: 	: 	1877711 
NR,PERS,N1-3,DOM,TOTAL,CH	: 	3836856 	4058296 	: 	4450442 
NR,PERS,N1-3,DOM,TOTAL,CY	1167110 	1114113 	: 	: 	879804 
NR,PERS,N1-3,DOM,TOTAL,CZ	20061639 	17702092 	: 	: 	17215083 
NR,PERS,N1-3,DOM,TOTAL,DE	79063521 	87104335 	: 	: 	87350273 
NR,PERS,N1-3,DOM,TOTAL,DK	: 	17400216 	: 	: 	19196406 
NR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	: 	: 	354866288 e
NR,PERS,N1-3,DOM,TOTAL,EE	2599066 	2598912 	: 	: 	1386473 
NR,PERS,N1-3,DOM,TOTAL,EL	: 	1337167 	: 	: 	1357457 
NR,PERS,N1-3,DOM,TOTAL,ES	98440678 	92415804 	: 	: 	82058291 
NR,PERS,N1-3,DOM,TOTAL,EU27	: 	: 	: 	: 	513660630 e
NR,PERS,N1-3,DOM,TOTAL,EU28	: 	: 	: 	: 	516806903 e
NR,PERS,N1-3,DOM,TOTAL,FI	21196262 	20638135 	: 	: 	21219881 
NR,PERS,N1-3,DOM,TOTAL,FR	99012103 	87141181 	: 	: 	99691398 
NR,PERS,N1-3,DOM,TOTAL,HR	1232553 	1318717 	: 	: 	3169156 
NR,PERS,N1-3,DOM,TOTAL,HU	8967808 	8787343 	: 	: 	8283007 
NR,PERS,N1-3,DOM,TOTAL,IE	5987283 	5655671 	: 	: 	4415085 
NR,PERS,N1-3,DOM,TOTAL,IT	20992374 	22957185 	: 	: 	17616095 
NR,PERS,N1-3,DOM,TOTAL,LT	1801918 	1809246 	: 	: 	1772756 
NR,PERS,N1-3,DOM,TOTAL,LU	: 	11417 u	: 	: 	48074 
NR,PERS,N1-3,DOM,TOTAL,LV	: 	2727693 	: 	: 	2709534 
NR,PERS,N1-3,DOM,TOTAL,MT	211062 	203619 	169306 	165919 	164188 
NR,PERS,N1-3,DOM,TOTAL,NL	16080049 	16194798 	16157006 	: 	17539840 
NR,PERS,N1-3,DOM,TOTAL,NO	7834014 	7541954 	7498071 	8174748 	6567323 
NR,PERS,N1-3,DOM,TOTAL,PL	26732292 	25434026 	: 	: 	22771087 
NR,PERS,N1-3,DOM,TOTAL,PT	10748717 	9864400 	: 	: 	8875773 
NR,PERS,N1-3,DOM,TOTAL,RO	11011671 	10451315 	: 	: 	10284515 
NR,PERS,N1-3,DOM,TOTAL,SE	: 	20044477 	: 	: 	: 
NR,PERS,N1-3,DOM,TOTAL,SI	1416660 	1254837 	: 	: 	1567992 
NR,PERS,N1-3,DOM,TOTAL,SK	4440135 	4193045 	: 	: 	2666527 
NR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	: 	64927148 
NR,PERS,N1-3,OUT,CITY,AT	1816865 	1872262 	: 	: 	1560397 
NR,PERS,N1-3,OUT,CITY,BE	: 	2209664 	: 	: 	1522134 
NR,PERS,N1-3,OUT,CITY,BG	: 	98127 	: 	: 	107905 
NR,PERS,N1-3,OUT,CITY,CH	: 	1437057 	1169817 	: 	1091374 
NR,PERS,N1-3,OUT,CITY,CY	: 	67044 	: 	: 	149845 
NR,PERS,N1-3,OUT,CITY,CZ	: 	669754 	: 	: 	620397 
NR,PERS,N1-3,OUT,CITY,DE	: 	10287131 	: 	: 	8855484 
NR,PERS,N1-3,OUT,CITY,DK	: 	1322695 	: 	: 	874491 
NR,PERS,N1-3,OUT,CITY,EA	: 	: 	: 	: 	26303051 e
NR,PERS,N1-3,OUT,CITY,EE	: 	269891 	: 	: 	329156 
NR,PERS,N1-3,OUT,CITY,EL	: 	79613 	: 	: 	58313 
NR,PERS,N1-3,OUT,CITY,ES	: 	2475378 	: 	: 	2013148 
NR,PERS,N1-3,OUT,CITY,EU27	: 	: 	: 	: 	38078270 e
NR,PERS,N1-3,OUT,CITY,EU28	: 	: 	: 	: 	38848496 e
NR,PERS,N1-3,OUT,CITY,FI	: 	3172532 	: 	: 	3124097 
NR,PERS,N1-3,OUT,CITY,FR	: 	2053470 	: 	: 	2456567 
NR,PERS,N1-3,OUT,CITY,HR	: 	259068 	: 	: 	761763 
NR,PERS,N1-3,OUT,CITY,HU	2943260 	2829862 	: 	: 	1657207 
NR,PERS,N1-3,OUT,CITY,IE	: 	1337698 	: 	: 	1237308 
NR,PERS,N1-3,OUT,CITY,IT	: 	1319733 	: 	: 	1940207 
NR,PERS,N1-3,OUT,CITY,LT	: 	384330 	: 	: 	219859 
NR,PERS,N1-3,OUT,CITY,LU	: 	319686 	: 	: 	357017 
NR,PERS,N1-3,OUT,CITY,LV	: 	278128 	: 	: 	298840 
NR,PERS,N1-3,OUT,CITY,MT	: 	69414 	: 	: 	47989 
NR,PERS,N1-3,OUT,CITY,NL	: 	1845500 	: 	: 	1962551 
NR,PERS,N1-3,OUT,CITY,NO	982711 	1013428 	983938 	1102691 	778322 
NR,PERS,N1-3,OUT,CITY,PL	: 	1669616 	: 	: 	1304711 
NR,PERS,N1-3,OUT,CITY,PT	: 	265963 	: 	: 	105536 
NR,PERS,N1-3,OUT,CITY,RO	98986 	111053 	: 	: 	74327 
NR,PERS,N1-3,OUT,CITY,SE	: 	860804 	: 	: 	: 
NR,PERS,N1-3,OUT,CITY,SI	: 	388920 	: 	: 	336628 
NR,PERS,N1-3,OUT,CITY,SK	: 	632136 	: 	: 	243448 u
NR,PERS,N1-3,OUT,CITY,UK	: 	: 	: 	: 	5894177 
NR,PERS,N1-3,OUT,CRS,AT	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,BE	: 	13159 	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,CH	: 	: 	: u	: 	: u
NR,PERS,N1-3,OUT,CRS,CY	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,CZ	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,DE	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,DK	: 	: u	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,EA	: 	: 	: 	: 	1930949 e
NR,PERS,N1-3,OUT,CRS,EE	: 	34617 u	: 	: 	36013 u
NR,PERS,N1-3,OUT,CRS,ES	: 	: 	: 	: 	63863 u
NR,PERS,N1-3,OUT,CRS,EU27	: 	: 	: 	: 	1986829 e
NR,PERS,N1-3,OUT,CRS,EU28	: 	: 	: 	: 	1987582 e
NR,PERS,N1-3,OUT,CRS,FI	: 	1494890 	: 	: 	1641919 
NR,PERS,N1-3,OUT,CRS,FR	: u	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,HR	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,HU	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,IE	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,IT	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,LT	: 	4187 u	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,LU	: 	: u	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,LV	: 	35707 u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,MT	: 	: c	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,NL	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,NO	: u	107280 u	92806 u	106258 u	127704 
NR,PERS,N1-3,OUT,CRS,PL	: 	39563 	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,RO	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CRS,SE	: 	480570 	: 	: 	: 
NR,PERS,N1-3,OUT,CRS,SK	: 	: 	: 	: 	: b
NR,PERS,N1-3,OUT,CRS,UK	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,AT	830714 	882644 	: 	: 	636494 
NR,PERS,N1-3,OUT,CTRY,BE	: 	934814 	: 	: 	632666 
NR,PERS,N1-3,OUT,CTRY,BG	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,CH	: 	482093 	564313 	: 	447027 u
NR,PERS,N1-3,OUT,CTRY,CY	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,CZ	: 	261010 	: 	: 	177430 
NR,PERS,N1-3,OUT,CTRY,DE	: 	5535883 	: 	: 	5287099 
NR,PERS,N1-3,OUT,CTRY,DK	: 	493601 	: 	: 	: 
NR,PERS,N1-3,OUT,CTRY,EA	: 	: 	: 	: 	8839751 e
NR,PERS,N1-3,OUT,CTRY,EE	: 	46968 u	: 	: 	37473 u
NR,PERS,N1-3,OUT,CTRY,EL	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,ES	: 	767303 	: 	: 	549182 
NR,PERS,N1-3,OUT,CTRY,EU27	: 	: 	: 	: 	10832313 e
NR,PERS,N1-3,OUT,CTRY,EU28	: 	: 	: 	: 	11089059 e
NR,PERS,N1-3,OUT,CTRY,FI	: 	228088 	: 	: 	229250 
NR,PERS,N1-3,OUT,CTRY,FR	: 	330473 	: 	: 	382651 
NR,PERS,N1-3,OUT,CTRY,HR	: 	52160 u	: 	: 	253627 
NR,PERS,N1-3,OUT,CTRY,HU	739233 	727410 	: 	: 	367148 
NR,PERS,N1-3,OUT,CTRY,IE	: 	156649 	: 	: 	115228 
NR,PERS,N1-3,OUT,CTRY,IT	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,LT	: 	35922 	: 	: 	51879 
NR,PERS,N1-3,OUT,CTRY,LU	: 	93782 	: 	: 	121333 
NR,PERS,N1-3,OUT,CTRY,LV	: 	63065 u	: 	: 	37830 u
NR,PERS,N1-3,OUT,CTRY,MT	: 	26338 	: 	: 	9102 
NR,PERS,N1-3,OUT,CTRY,NL	: 	344429 	: 	: 	398045 
NR,PERS,N1-3,OUT,CTRY,NO	172173 u	168177 u	227064 	174071 	184052 
NR,PERS,N1-3,OUT,CTRY,PL	: 	95392 	: 	: 	143650 u
NR,PERS,N1-3,OUT,CTRY,PT	: 	31736 u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,RO	: c	: u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,SE	: 	619183 	: 	: 	: 
NR,PERS,N1-3,OUT,CTRY,SI	: 	119984 	: 	: 	210807 
NR,PERS,N1-3,OUT,CTRY,SK	: 	108863 u	: 	: 	: u
NR,PERS,N1-3,OUT,CTRY,UK	: 	: 	: 	: 	1000673 
NR,PERS,N1-3,OUT,MNT,AT	186213 	152787 	: 	: 	143453 
NR,PERS,N1-3,OUT,MNT,BE	: 	220681 	: 	: 	273964 
NR,PERS,N1-3,OUT,MNT,BG	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,CH	: 	255718 u	354462 u	: 	270286 u
NR,PERS,N1-3,OUT,MNT,CY	: 	: 	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,CZ	: 	399399 	: 	: 	311021 
NR,PERS,N1-3,OUT,MNT,DE	: 	4010407 	: 	: 	3079145 
NR,PERS,N1-3,OUT,MNT,DK	: 	111197 u	: 	: 	297225 
NR,PERS,N1-3,OUT,MNT,EA	: 	: 	: 	: 	5632191 e
NR,PERS,N1-3,OUT,MNT,EE	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,EL	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,ES	: 	620211 	: 	: 	658469 
NR,PERS,N1-3,OUT,MNT,EU27	: 	: 	: 	: 	7083253 e
NR,PERS,N1-3,OUT,MNT,EU28	: 	: 	: 	: 	7209013 e
NR,PERS,N1-3,OUT,MNT,FI	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,FR	: 	254450 	: 	: 	251482 
NR,PERS,N1-3,OUT,MNT,HR	: 	: u	: 	: 	124517 
NR,PERS,N1-3,OUT,MNT,HU	349013 	228710 	: 	: 	185346 
NR,PERS,N1-3,OUT,MNT,IE	: 	29099 u	: 	: 	31021 u
NR,PERS,N1-3,OUT,MNT,IT	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,LT	: 	: u	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,LU	: 	14467 	: 	: 	25262 
NR,PERS,N1-3,OUT,MNT,LV	: 	: c	: 	: 	: u
NR,PERS,N1-3,OUT,MNT,MT	: 	15609 	: 	: 	3940 
NR,PERS,N1-3,OUT,MNT,NL	: 	918089 	: 	: 	834225 
