purpose,wstatus,duration,unit,geo\time	2016 	2013 
NINT,EMP,N_GE1,NR,NL	183109 	189236 
NINT,EMP,N_GE1,NR,SI	34347 	30250 e
NINT,INAC_OTH,N_GE1,NR,EA	: u	: u
NINT,INAC_OTH,N_GE1,NR,ES	1719916 	2172702 
NINT,INAC_OTH,N_GE1,NR,EU27	: u	: u
NINT,INAC_OTH,N_GE1,NR,EU28	: u	: u
NINT,INAC_OTH,N_GE1,NR,FI	83449 u	94332 
NINT,INAC_OTH,N_GE1,NR,HR	: 	114350 
NINT,INAC_OTH,N_GE1,NR,LU	: 	7617 
NINT,INAC_OTH,N_GE1,NR,LV	26268 	: 
NINT,INAC_OTH,N_GE1,NR,NL	264897 	288044 
NINT,INAC_OTH,N_GE1,NR,SI	86484 	67715 e
NINT,UNE,N_GE1,NR,EA	: u	: u
NINT,UNE,N_GE1,NR,ES	245011 	358697 
NINT,UNE,N_GE1,NR,EU27	: u	: u
NINT,UNE,N_GE1,NR,EU28	: u	: u
NINT,UNE,N_GE1,NR,FI	: c	9433 u
NINT,UNE,N_GE1,NR,HR	: 	42511 
NINT,UNE,N_GE1,NR,LU	: 	859 
NINT,UNE,N_GE1,NR,LV	1539 	: 
NINT,UNE,N_GE1,NR,NL	82744 	107123 
NINT,UNE,N_GE1,NR,SI	10019 u	9461 u
NTIME_FAM,ACT_INAC,N_GE1,NR,AT	422071 	345094 
NTIME_FAM,ACT_INAC,N_GE1,NR,BE	808684 	: 
NTIME_FAM,ACT_INAC,N_GE1,NR,BG	404004 	305004 
NTIME_FAM,ACT_INAC,N_GE1,NR,CH	81401 u	55223 u
NTIME_FAM,ACT_INAC,N_GE1,NR,CY	39439 e	12001 e
NTIME_FAM,ACT_INAC,N_GE1,NR,CZ	248022 	201942 
NTIME_FAM,ACT_INAC,N_GE1,NR,DE	4156299 	5202157 
NTIME_FAM,ACT_INAC,N_GE1,NR,DK	10870 	5975 
NTIME_FAM,ACT_INAC,N_GE1,NR,EA	14632072 	16960274 e
NTIME_FAM,ACT_INAC,N_GE1,NR,EE	47485 u	58291 
NTIME_FAM,ACT_INAC,N_GE1,NR,EL	525572 	557004 
NTIME_FAM,ACT_INAC,N_GE1,NR,ES	1464190 	3620624 
NTIME_FAM,ACT_INAC,N_GE1,NR,EU27	20985276 	23148489 e
NTIME_FAM,ACT_INAC,N_GE1,NR,EU28	21308551 	23215240 e
NTIME_FAM,ACT_INAC,N_GE1,NR,FI	: c	25486 u
NTIME_FAM,ACT_INAC,N_GE1,NR,FR	1151056 	969896 
NTIME_FAM,ACT_INAC,N_GE1,NR,HR	323275 	95318 
NTIME_FAM,ACT_INAC,N_GE1,NR,HU	134412 	: 
NTIME_FAM,ACT_INAC,N_GE1,NR,IE	121996 	91892 
NTIME_FAM,ACT_INAC,N_GE1,NR,IT	4342547 	4113330 
NTIME_FAM,ACT_INAC,N_GE1,NR,LT	51422 	33592 
NTIME_FAM,ACT_INAC,N_GE1,NR,LU	18326 	16233 
NTIME_FAM,ACT_INAC,N_GE1,NR,LV	57419 	16258 
NTIME_FAM,ACT_INAC,N_GE1,NR,ME	: c	: 
NTIME_FAM,ACT_INAC,N_GE1,NR,MT	10374 u	20868 
NTIME_FAM,ACT_INAC,N_GE1,NR,NL	139791 	116025 
NTIME_FAM,ACT_INAC,N_GE1,NR,PL	1913097 	1970000 
NTIME_FAM,ACT_INAC,N_GE1,NR,PT	956068 	813467 
NTIME_FAM,ACT_INAC,N_GE1,NR,RO	1116372 	707455 
NTIME_FAM,ACT_INAC,N_GE1,NR,SE	91196 	: 
NTIME_FAM,ACT_INAC,N_GE1,NR,SI	34087 	47562 e
NTIME_FAM,ACT_INAC,N_GE1,NR,SK	378294 	381126 
NTIME_FAM,ACT_INAC,N_GE1,NR,UK	2326390 	2085400 
NTIME_FAM,EDUC,N_GE1,NR,EA	: u	: u
NTIME_FAM,EDUC,N_GE1,NR,ES	: c	229244 
NTIME_FAM,EDUC,N_GE1,NR,EU27	: u	: u
NTIME_FAM,EDUC,N_GE1,NR,EU28	: u	: u
NTIME_FAM,EDUC,N_GE1,NR,FI	: 	0 u
NTIME_FAM,EDUC,N_GE1,NR,HR	: 	8563 
NTIME_FAM,EDUC,N_GE1,NR,LU	: 	879 
NTIME_FAM,EDUC,N_GE1,NR,LV	1238 	: 
NTIME_FAM,EDUC,N_GE1,NR,NL	1999 	5443 
NTIME_FAM,EDUC,N_GE1,NR,SI	1585 u	961 u
NTIME_FAM,EMP,N_GE1,NR,EA	: u	: u
NTIME_FAM,EMP,N_GE1,NR,ES	474089 	1061957 
NTIME_FAM,EMP,N_GE1,NR,EU27	: u	: u
NTIME_FAM,EMP,N_GE1,NR,EU28	: u	: u
NTIME_FAM,EMP,N_GE1,NR,FI	: c	0 u
NTIME_FAM,EMP,N_GE1,NR,HR	: 	17909 
NTIME_FAM,EMP,N_GE1,NR,LU	: 	9035 
NTIME_FAM,EMP,N_GE1,NR,LV	32574 	: 
NTIME_FAM,EMP,N_GE1,NR,NL	62643 	63732 
NTIME_FAM,EMP,N_GE1,NR,SI	15148 	23593 e
NTIME_FAM,INAC_OTH,N_GE1,NR,EA	: u	: u
NTIME_FAM,INAC_OTH,N_GE1,NR,ES	758448 	1825261 
NTIME_FAM,INAC_OTH,N_GE1,NR,EU27	: u	: u
NTIME_FAM,INAC_OTH,N_GE1,NR,EU28	: u	: u
NTIME_FAM,INAC_OTH,N_GE1,NR,FI	: c	22071 u
NTIME_FAM,INAC_OTH,N_GE1,NR,HR	: 	49579 
NTIME_FAM,INAC_OTH,N_GE1,NR,LU	: 	2999 
NTIME_FAM,INAC_OTH,N_GE1,NR,LV	18115 	: 
NTIME_FAM,INAC_OTH,N_GE1,NR,NL	47460 	33936 
NTIME_FAM,INAC_OTH,N_GE1,NR,SI	16385 	16239 e
NTIME_FAM,UNE,N_GE1,NR,EA	: u	: u
NTIME_FAM,UNE,N_GE1,NR,ES	209090 	504161 
NTIME_FAM,UNE,N_GE1,NR,EU27	: u	: u
NTIME_FAM,UNE,N_GE1,NR,EU28	: u	: u
NTIME_FAM,UNE,N_GE1,NR,FI	: 	3415 u
NTIME_FAM,UNE,N_GE1,NR,HR	: 	19267 
NTIME_FAM,UNE,N_GE1,NR,LU	: 	3320 
NTIME_FAM,UNE,N_GE1,NR,LV	5493 	: 
