isced11,purpose,duration,unit,geo\time	2016 	2013 
TOTAL,OTH,N_GE1,NR,EE	41316 u	93777 
TOTAL,OTH,N_GE1,NR,EL	432580 	255746 
TOTAL,OTH,N_GE1,NR,ES	685359 	: 
TOTAL,OTH,N_GE1,NR,EU27	12805350 	12623757 e
TOTAL,OTH,N_GE1,NR,EU28	12947100 	12752516 e
TOTAL,OTH,N_GE1,NR,FI	: c	65148 
TOTAL,OTH,N_GE1,NR,FR	1515301 	1374604 
TOTAL,OTH,N_GE1,NR,HR	141750 	135637 
TOTAL,OTH,N_GE1,NR,HU	381363 	: 
TOTAL,OTH,N_GE1,NR,IE	72132 	74736 
TOTAL,OTH,N_GE1,NR,IT	1858658 	1166922 
TOTAL,OTH,N_GE1,NR,LT	418083 	464390 
TOTAL,OTH,N_GE1,NR,LU	16907 	10747 
TOTAL,OTH,N_GE1,NR,LV	12416 	368074 
TOTAL,OTH,N_GE1,NR,ME	: c	: 
