purpose,sex,duration,unit,geo\time	2016 	2013 
NINT,F,N_GE1,NR,LV	26348 	21326 
NINT,F,N_GE1,NR,ME	: c	: 
NINT,F,N_GE1,NR,MT	16289 	12590 
NINT,F,N_GE1,NR,NL	225472 	324847 
NINT,F,N_GE1,NR,PL	1637621 	890000 
NINT,F,N_GE1,NR,PT	1439273 	1364235 
NINT,F,N_GE1,NR,RO	325419 	: 
NINT,F,N_GE1,NR,SE	450521 	: 
NINT,F,N_GE1,NR,SI	60348 	53724 e
NINT,F,N_GE1,NR,SK	486434 	350100 
NINT,F,N_GE1,NR,UK	1266710 	1147200 
NINT,M,N_GE1,NR,AT	320833 	270585 
NINT,M,N_GE1,NR,BE	911547 	: 
NINT,M,N_GE1,NR,BG	14284 	7498 
NINT,M,N_GE1,NR,CH	87757 u	66636 u
NINT,M,N_GE1,NR,CY	8926 e	27278 e
NINT,M,N_GE1,NR,CZ	197947 	241544 
NINT,M,N_GE1,NR,DE	2658569 	2921691 
NINT,M,N_GE1,NR,DK	12365 	40417 
NINT,M,N_GE1,NR,EA	11875518 	11447293 e
NINT,M,N_GE1,NR,EE	50158 u	51331 
NINT,M,N_GE1,NR,EL	267564 	140241 
NINT,M,N_GE1,NR,ES	1441002 	1806433 
NINT,M,N_GE1,NR,EU27	15525561 	15061160 e
NINT,M,N_GE1,NR,EU28	15654006 	15169999 e
NINT,M,N_GE1,NR,FI	67477 u	84330 
NINT,M,N_GE1,NR,FR	1100357 	839075 
NINT,M,N_GE1,NR,HR	128445 	123647 
NINT,M,N_GE1,NR,HU	51714 	: 
NINT,M,N_GE1,NR,IE	158242 	113249 
NINT,M,N_GE1,NR,IT	2778521 	2881433 
NINT,M,N_GE1,NR,LT	29409 	21455 
NINT,M,N_GE1,NR,LU	11399 u	12047 
NINT,M,N_GE1,NR,LV	35872 	16293 
NINT,M,N_GE1,NR,ME	: c	: 
NINT,M,N_GE1,NR,MT	23399 	13765 
NINT,M,N_GE1,NR,NL	323073 	303615 
NINT,M,N_GE1,NR,PL	1352637 	1180000 
NINT,M,N_GE1,NR,PT	1278224 	1244235 
NINT,M,N_GE1,NR,RO	291634 	: 
NINT,M,N_GE1,NR,SE	604501 	: 
NINT,M,N_GE1,NR,SI	76726 	57645 e
NINT,M,N_GE1,NR,SK	401122 	296147 
NINT,M,N_GE1,NR,UK	1059680 	959700 
NINT,T,N_GE1,NR,AT	655762 	528004 
NINT,T,N_GE1,NR,BE	1823948 	: 
NINT,T,N_GE1,NR,BG	31263 	14498 
NINT,T,N_GE1,NR,CH	147936 u	140676 u
NINT,T,N_GE1,NR,CY	16949 e	52743 e
NINT,T,N_GE1,NR,CZ	387063 	466563 
NINT,T,N_GE1,NR,DE	6134888 	6478870 
NINT,T,N_GE1,NR,DK	25825 	84287 
NINT,T,N_GE1,NR,EA	24477382 	24288862 e
NINT,T,N_GE1,NR,EE	96490 	96844 
NINT,T,N_GE1,NR,EL	639400 	332668 
NINT,T,N_GE1,NR,ES	2575316 	3704305 
NINT,T,N_GE1,NR,EU27	32161001 	31524641 e
NINT,T,N_GE1,NR,EU28	32451914 	31720680 e
NINT,T,N_GE1,NR,FI	131789 u	143199 
NINT,T,N_GE1,NR,FR	1897080 	1696716 
NINT,T,N_GE1,NR,HR	290913 	230210 
NINT,T,N_GE1,NR,HU	111173 	: 
NINT,T,N_GE1,NR,IE	235563 	192261 
NINT,T,N_GE1,NR,IT	5920208 	6207349 
NINT,T,N_GE1,NR,LT	77352 	66223 
NINT,T,N_GE1,NR,LU	22319 	19821 
NINT,T,N_GE1,NR,LV	62220 	37619 
NINT,T,N_GE1,NR,ME	: c	: 
NINT,T,N_GE1,NR,MT	39688 	26354 
NINT,T,N_GE1,NR,NL	548545 	628462 
NINT,T,N_GE1,NR,PL	2990258 	2070000 
NINT,T,N_GE1,NR,PT	2717497 	2608470 
NINT,T,N_GE1,NR,RO	617053 	: 
NINT,T,N_GE1,NR,SE	1055022 	: 
NINT,T,N_GE1,NR,SI	137075 	111369 e
NINT,T,N_GE1,NR,SK	887556 	646247 
NINT,T,N_GE1,NR,UK	2326390 	2106900 
NTIME_FAM,F,N_GE1,NR,AT	253892 	190357 
NTIME_FAM,F,N_GE1,NR,BE	408596 	: 
NTIME_FAM,F,N_GE1,NR,BG	272178 	196028 
NTIME_FAM,F,N_GE1,NR,CH	54178 u	37655 u
NTIME_FAM,F,N_GE1,NR,CY	23495 e	7163 e
NTIME_FAM,F,N_GE1,NR,CZ	154602 	124009 
NTIME_FAM,F,N_GE1,NR,DE	2628736 	2774520 
NTIME_FAM,F,N_GE1,NR,DK	5958 	2814 
NTIME_FAM,F,N_GE1,NR,EA	8543360 	9440024 e
NTIME_FAM,F,N_GE1,NR,EE	: c	39406 
NTIME_FAM,F,N_GE1,NR,EL	325563 	290378 
NTIME_FAM,F,N_GE1,NR,ES	827918 	1938626 
NTIME_FAM,F,N_GE1,NR,EU27	12171529 	13171696 e
NTIME_FAM,F,N_GE1,NR,EU28	12316553 	13209150 e
NTIME_FAM,F,N_GE1,NR,FI	: c	19820 u
NTIME_FAM,F,N_GE1,NR,FR	623312 	441153 
NTIME_FAM,F,N_GE1,NR,HR	145024 	53741 
NTIME_FAM,F,N_GE1,NR,HU	71889 	: 
NTIME_FAM,F,N_GE1,NR,IE	65309 	44342 
NTIME_FAM,F,N_GE1,NR,IT	2452607 	2529907 
NTIME_FAM,F,N_GE1,NR,LT	29076 	22709 
NTIME_FAM,F,N_GE1,NR,LU	9136 u	11220 
NTIME_FAM,F,N_GE1,NR,LV	35645 	13184 
NTIME_FAM,F,N_GE1,NR,ME	: c	: 
NTIME_FAM,F,N_GE1,NR,MT	7326 u	15333 
NTIME_FAM,F,N_GE1,NR,NL	64462 	56880 
NTIME_FAM,F,N_GE1,NR,PL	1164145 	1380000 
NTIME_FAM,F,N_GE1,NR,PT	565268 	496075 
NTIME_FAM,F,N_GE1,NR,RO	677684 	439542 
NTIME_FAM,F,N_GE1,NR,SE	39522 	: 
NTIME_FAM,F,N_GE1,NR,SI	16112 	30576 e
NTIME_FAM,F,N_GE1,NR,SK	231879 	237443 
NTIME_FAM,F,N_GE1,NR,UK	1177470 	1055500 
NTIME_FAM,M,N_GE1,NR,AT	168179 	154737 
NTIME_FAM,M,N_GE1,NR,BE	400088 	: 
NTIME_FAM,M,N_GE1,NR,BG	131826 	108976 
NTIME_FAM,M,N_GE1,NR,CH	27222 u	17568 u
NTIME_FAM,M,N_GE1,NR,CY	15944 e	4838 e
NTIME_FAM,M,N_GE1,NR,CZ	93420 u	77933 
NTIME_FAM,M,N_GE1,NR,DE	1527563 u	2427637 
NTIME_FAM,M,N_GE1,NR,DK	4912 	3161 
NTIME_FAM,M,N_GE1,NR,EA	6088710 	7520251 e
NTIME_FAM,M,N_GE1,NR,EE	: c	18885 
NTIME_FAM,M,N_GE1,NR,EL	200008 	266626 
NTIME_FAM,M,N_GE1,NR,ES	636272 	1681998 
NTIME_FAM,M,N_GE1,NR,EU27	8813746 	9976793 e
NTIME_FAM,M,N_GE1,NR,EU28	8991998 	10006090 e
NTIME_FAM,M,N_GE1,NR,FI	: c	5666 u
NTIME_FAM,M,N_GE1,NR,FR	527744 	528743 
NTIME_FAM,M,N_GE1,NR,HR	178252 	41577 
NTIME_FAM,M,N_GE1,NR,HU	62524 	: 
NTIME_FAM,M,N_GE1,NR,IE	56687 	47551 
NTIME_FAM,M,N_GE1,NR,IT	1889940 	1583423 
NTIME_FAM,M,N_GE1,NR,LT	22346 	10883 
NTIME_FAM,M,N_GE1,NR,LU	9190 u	5013 
NTIME_FAM,M,N_GE1,NR,LV	21774 	3074 
NTIME_FAM,M,N_GE1,NR,ME	: c	: 
NTIME_FAM,M,N_GE1,NR,MT	: c	5534 
NTIME_FAM,M,N_GE1,NR,NL	75329 	59145 
NTIME_FAM,M,N_GE1,NR,PL	748952 	590000 
NTIME_FAM,M,N_GE1,NR,PT	390800 	317392 
NTIME_FAM,M,N_GE1,NR,RO	438688 	267913 
NTIME_FAM,M,N_GE1,NR,SE	51674 	: 
NTIME_FAM,M,N_GE1,NR,SI	17974 	16986 e
NTIME_FAM,M,N_GE1,NR,SK	146415 	143683 
NTIME_FAM,M,N_GE1,NR,UK	1148920 	1029900 
NTIME_FAM,T,N_GE1,NR,AT	422071 	345094 
NTIME_FAM,T,N_GE1,NR,BE	808684 	: 
NTIME_FAM,T,N_GE1,NR,BG	404004 	305004 
NTIME_FAM,T,N_GE1,NR,CH	81401 u	55223 u
NTIME_FAM,T,N_GE1,NR,CY	39439 e	12001 e
NTIME_FAM,T,N_GE1,NR,CZ	248022 	201942 
NTIME_FAM,T,N_GE1,NR,DE	4156299 	5202157 
NTIME_FAM,T,N_GE1,NR,DK	10870 	5975 
NTIME_FAM,T,N_GE1,NR,EA	14632072 	16960274 e
NTIME_FAM,T,N_GE1,NR,EE	47485 u	58291 
NTIME_FAM,T,N_GE1,NR,EL	525572 	557004 
NTIME_FAM,T,N_GE1,NR,ES	1464190 	3620624 
NTIME_FAM,T,N_GE1,NR,EU27	20985276 	23148489 e
NTIME_FAM,T,N_GE1,NR,EU28	21308551 	23215240 e
NTIME_FAM,T,N_GE1,NR,FI	: c	25486 u
NTIME_FAM,T,N_GE1,NR,FR	1151056 	969896 
NTIME_FAM,T,N_GE1,NR,HR	323275 	95318 
NTIME_FAM,T,N_GE1,NR,HU	134412 	: 
NTIME_FAM,T,N_GE1,NR,IE	121996 	91892 
NTIME_FAM,T,N_GE1,NR,IT	4342547 	4113330 
NTIME_FAM,T,N_GE1,NR,LT	51422 	33592 
NTIME_FAM,T,N_GE1,NR,LU	18326 	16233 
NTIME_FAM,T,N_GE1,NR,LV	57419 	16258 
NTIME_FAM,T,N_GE1,NR,ME	: c	: 
NTIME_FAM,T,N_GE1,NR,MT	10374 u	20868 
NTIME_FAM,T,N_GE1,NR,NL	139791 	116025 
NTIME_FAM,T,N_GE1,NR,PL	1913097 	1970000 
NTIME_FAM,T,N_GE1,NR,PT	956068 	813467 
NTIME_FAM,T,N_GE1,NR,RO	1116372 	707455 
NTIME_FAM,T,N_GE1,NR,SE	91196 	: 
NTIME_FAM,T,N_GE1,NR,SI	34087 	47562 e
NTIME_FAM,T,N_GE1,NR,SK	378294 	381126 
NTIME_FAM,T,N_GE1,NR,UK	2326390 	2085400 
NTIME_WRK_STU,F,N_GE1,NR,AT	161090 	142672 
NTIME_WRK_STU,F,N_GE1,NR,BE	450864 	: 
NTIME_WRK_STU,F,N_GE1,NR,BG	367510 	257542 
NTIME_WRK_STU,F,N_GE1,NR,CH	50203 u	20078 u
NTIME_WRK_STU,F,N_GE1,NR,CY	11089 e	25948 e
NTIME_WRK_STU,F,N_GE1,NR,CZ	70392 u	98847 
NTIME_WRK_STU,F,N_GE1,NR,DE	2163985 	1806440 
NTIME_WRK_STU,F,N_GE1,NR,DK	34913 	34941 
NTIME_WRK_STU,F,N_GE1,NR,EA	7159812 	6829665 e
NTIME_WRK_STU,F,N_GE1,NR,EE	: c	29100 
NTIME_WRK_STU,F,N_GE1,NR,EL	246619 	268214 
NTIME_WRK_STU,F,N_GE1,NR,ES	682656 	1701627 
NTIME_WRK_STU,F,N_GE1,NR,EU27	11290543 	12567436 e
NTIME_WRK_STU,F,N_GE1,NR,EU28	11460737 	12617257 e
NTIME_WRK_STU,F,N_GE1,NR,FI	: c	10411 u
NTIME_WRK_STU,F,N_GE1,NR,FR	746002 	493315 
NTIME_WRK_STU,F,N_GE1,NR,HR	170194 	64509 
NTIME_WRK_STU,F,N_GE1,NR,HU	311969 	: 
NTIME_WRK_STU,F,N_GE1,NR,IE	58627 	35901 
NTIME_WRK_STU,F,N_GE1,NR,IT	1649592 	1142506 
NTIME_WRK_STU,F,N_GE1,NR,LT	65123 	90403 
NTIME_WRK_STU,F,N_GE1,NR,LU	: c	3766 
NTIME_WRK_STU,F,N_GE1,NR,LV	23806 	10542 
NTIME_WRK_STU,F,N_GE1,NR,ME	: c	: 
NTIME_WRK_STU,F,N_GE1,NR,MT	5617 u	2813 
NTIME_WRK_STU,F,N_GE1,NR,NL	82039 	51691 
NTIME_WRK_STU,F,N_GE1,NR,PL	1311880 	2910000 
NTIME_WRK_STU,F,N_GE1,NR,PT	768876 	732756 
NTIME_WRK_STU,F,N_GE1,NR,RO	722776 	581377 
NTIME_WRK_STU,F,N_GE1,NR,SE	84232 	: 
NTIME_WRK_STU,F,N_GE1,NR,SI	44115 	36972 e
NTIME_WRK_STU,F,N_GE1,NR,SK	56500 	116317 
NTIME_WRK_STU,F,N_GE1,NR,UK	1138130 	1206000 
NTIME_WRK_STU,M,N_GE1,NR,AT	268804 	202677 
NTIME_WRK_STU,M,N_GE1,NR,BE	570369 	: 
NTIME_WRK_STU,M,N_GE1,NR,BG	418591 	333527 
NTIME_WRK_STU,M,N_GE1,NR,CH	44506 u	45296 u
NTIME_WRK_STU,M,N_GE1,NR,CY	16586 e	25635 e
NTIME_WRK_STU,M,N_GE1,NR,CZ	111776 u	163706 
NTIME_WRK_STU,M,N_GE1,NR,DE	2237496 	2733018 
NTIME_WRK_STU,M,N_GE1,NR,DK	68413 	25202 
NTIME_WRK_STU,M,N_GE1,NR,EA	9199737 	9689918 e
NTIME_WRK_STU,M,N_GE1,NR,EE	: c	36695 
NTIME_WRK_STU,M,N_GE1,NR,EL	345877 	312904 
NTIME_WRK_STU,M,N_GE1,NR,ES	1180272 	2116478 
NTIME_WRK_STU,M,N_GE1,NR,EU27	13853158 	16009811 e
NTIME_WRK_STU,M,N_GE1,NR,EU28	13942470 	16106512 e
NTIME_WRK_STU,M,N_GE1,NR,FI	: c	11679 u
NTIME_WRK_STU,M,N_GE1,NR,FR	864937 	601008 
NTIME_WRK_STU,M,N_GE1,NR,HR	89312 	113404 
NTIME_WRK_STU,M,N_GE1,NR,HU	271330 	: 
NTIME_WRK_STU,M,N_GE1,NR,IE	75698 	63377 
NTIME_WRK_STU,M,N_GE1,NR,IT	2444768 	2102672 
NTIME_WRK_STU,M,N_GE1,NR,LT	45719 	43326 
NTIME_WRK_STU,M,N_GE1,NR,LU	: c	2956 
NTIME_WRK_STU,M,N_GE1,NR,LV	38101 	16197 
NTIME_WRK_STU,M,N_GE1,NR,ME	: c	: 
NTIME_WRK_STU,M,N_GE1,NR,MT	10759 	11306 
NTIME_WRK_STU,M,N_GE1,NR,NL	145432 	105467 
NTIME_WRK_STU,M,N_GE1,NR,PL	1688742 	3320000 
NTIME_WRK_STU,M,N_GE1,NR,PT	820447 	839859 
NTIME_WRK_STU,M,N_GE1,NR,RO	916249 	699190 
NTIME_WRK_STU,M,N_GE1,NR,SE	100100 	: 
NTIME_WRK_STU,M,N_GE1,NR,SI	68165 	60144 e
NTIME_WRK_STU,M,N_GE1,NR,SK	96538 	138831 
NTIME_WRK_STU,M,N_GE1,NR,UK	994400 	1053700 
NTIME_WRK_STU,T,N_GE1,NR,AT	429894 	345349 
NTIME_WRK_STU,T,N_GE1,NR,BE	1021233 	: 
NTIME_WRK_STU,T,N_GE1,NR,BG	786101 	591069 
NTIME_WRK_STU,T,N_GE1,NR,CH	94709 u	65374 u
NTIME_WRK_STU,T,N_GE1,NR,CY	27675 e	51583 e
NTIME_WRK_STU,T,N_GE1,NR,CZ	182168 	262553 
NTIME_WRK_STU,T,N_GE1,NR,DE	4401482 	4539459 
NTIME_WRK_STU,T,N_GE1,NR,DK	103326 	60143 
NTIME_WRK_STU,T,N_GE1,NR,EA	16359553 	16519582 e
NTIME_WRK_STU,T,N_GE1,NR,EE	46860 u	65795 
NTIME_WRK_STU,T,N_GE1,NR,EL	592496 	581118 
