purpose,age,duration,unit,geo\time	2016 	2013 
FIN,Y45-54,N_GE1,NR,SI	47173 	: 
FIN,Y45-54,N_GE1,NR,SK	94198 	: 
FIN,Y45-54,N_GE1,NR,UK	1642740 	: 
FIN,Y45-64,N_GE1,NR,AT	119457 	: 
FIN,Y45-64,N_GE1,NR,BE	994667 	: 
FIN,Y45-64,N_GE1,NR,BG	699954 	: 
FIN,Y45-64,N_GE1,NR,CH	95274 u	: 
FIN,Y45-64,N_GE1,NR,CY	51505 e	: 
FIN,Y45-64,N_GE1,NR,CZ	215503 	: 
FIN,Y45-64,N_GE1,NR,DE	2363940 	: 
FIN,Y45-64,N_GE1,NR,DK	67958 	: 
FIN,Y45-64,N_GE1,NR,EA	16869359 	: 
FIN,Y45-64,N_GE1,NR,EE	55843 u	: 
FIN,Y45-64,N_GE1,NR,EL	1499930 	: 
FIN,Y45-64,N_GE1,NR,ES	2528409 	: 
FIN,Y45-64,N_GE1,NR,EU27	26684385 	: 
FIN,Y45-64,N_GE1,NR,EU28	27254510 	: 
FIN,Y45-64,N_GE1,NR,FI	: c	: 
FIN,Y45-64,N_GE1,NR,FR	1811614 	: 
FIN,Y45-64,N_GE1,NR,HR	570125 	: 
FIN,Y45-64,N_GE1,NR,HU	535265 	: 
FIN,Y45-64,N_GE1,NR,IE	157495 	: 
FIN,Y45-64,N_GE1,NR,IT	5412834 	: 
FIN,Y45-64,N_GE1,NR,LT	72542 	: 
FIN,Y45-64,N_GE1,NR,LU	5039 u	: 
FIN,Y45-64,N_GE1,NR,LV	130502 	: 
FIN,Y45-64,N_GE1,NR,ME	: c	: 
FIN,Y45-64,N_GE1,NR,MT	15039 	: 
FIN,Y45-64,N_GE1,NR,NL	271382 	: 
FIN,Y45-64,N_GE1,NR,PL	2742830 	: 
FIN,Y45-64,N_GE1,NR,PT	1221541 	: 
FIN,Y45-64,N_GE1,NR,RO	2479340 	: 
FIN,Y45-64,N_GE1,NR,SE	267442 	: 
FIN,Y45-64,N_GE1,NR,SI	115964 	: 
FIN,Y45-64,N_GE1,NR,SK	229776 	: 
FIN,Y45-64,N_GE1,NR,UK	2603690 	: 
FIN,Y55-64,N_GE1,NR,AT	57825 u	: 
FIN,Y55-64,N_GE1,NR,BE	452980 	: 
FIN,Y55-64,N_GE1,NR,BG	380199 	: 
FIN,Y55-64,N_GE1,NR,CH	46113 u	: 
FIN,Y55-64,N_GE1,NR,CY	26017 e	: 
FIN,Y55-64,N_GE1,NR,CZ	101348 u	: 
FIN,Y55-64,N_GE1,NR,DE	1247656 u	: 
FIN,Y55-64,N_GE1,NR,DK	18965 	: 
FIN,Y55-64,N_GE1,NR,EA	8171769 	: 
FIN,Y55-64,N_GE1,NR,EE	: c	: 
FIN,Y55-64,N_GE1,NR,EL	732642 	: 
FIN,Y55-64,N_GE1,NR,ES	1140547 	: 
FIN,Y55-64,N_GE1,NR,EU27	12896443 	: 
FIN,Y55-64,N_GE1,NR,EU28	13190047 	: 
FIN,Y55-64,N_GE1,NR,FI	: c	: 
FIN,Y55-64,N_GE1,NR,FR	943324 	: 
FIN,Y55-64,N_GE1,NR,HR	293604 	: 
FIN,Y55-64,N_GE1,NR,HU	280966 	: 
FIN,Y55-64,N_GE1,NR,IE	66868 	: 
FIN,Y55-64,N_GE1,NR,IT	2522222 	: 
FIN,Y55-64,N_GE1,NR,LT	54398 	: 
FIN,Y55-64,N_GE1,NR,LU	: c	: 
FIN,Y55-64,N_GE1,NR,LV	69141 	: 
FIN,Y55-64,N_GE1,NR,ME	: c	: 
FIN,Y55-64,N_GE1,NR,MT	: c	: 
FIN,Y55-64,N_GE1,NR,NL	120910 	: 
FIN,Y55-64,N_GE1,NR,PL	1512962 	: 
FIN,Y55-64,N_GE1,NR,PT	613720 	: 
FIN,Y55-64,N_GE1,NR,RO	1263872 	: 
FIN,Y55-64,N_GE1,NR,SE	81873 	: 
FIN,Y55-64,N_GE1,NR,SI	68791 	: 
FIN,Y55-64,N_GE1,NR,SK	135578 	: 
FIN,Y55-64,N_GE1,NR,UK	960950 	: 
FIN,Y_GE15,N_GE1,NR,AT	369502 	: 
FIN,Y_GE15,N_GE1,NR,BE	2281646 	: 
FIN,Y_GE15,N_GE1,NR,BG	2174640 	: 
FIN,Y_GE15,N_GE1,NR,CH	216719 u	: 
FIN,Y_GE15,N_GE1,NR,CY	124957 e	: 
FIN,Y_GE15,N_GE1,NR,CZ	638601 	: 
FIN,Y_GE15,N_GE1,NR,DE	5796426 	: 
FIN,Y_GE15,N_GE1,NR,DK	204615 	: 
FIN,Y_GE15,N_GE1,NR,EA	45401396 	: 
FIN,Y_GE15,N_GE1,NR,EE	131777 	: 
FIN,Y_GE15,N_GE1,NR,EL	4390266 	: 
FIN,Y_GE15,N_GE1,NR,ES	6253929 	: 
FIN,Y_GE15,N_GE1,NR,EU27	75479226 	: 
FIN,Y_GE15,N_GE1,NR,EU28	76732557 	: 
FIN,Y_GE15,N_GE1,NR,FI	: c	: 
FIN,Y_GE15,N_GE1,NR,FR	5529703 	: 
FIN,Y_GE15,N_GE1,NR,HR	1253331 	: 
FIN,Y_GE15,N_GE1,NR,HU	1778274 	: 
FIN,Y_GE15,N_GE1,NR,IE	520584 	: 
FIN,Y_GE15,N_GE1,NR,IT	14752797 	: 
FIN,Y_GE15,N_GE1,NR,LT	207522 	: 
FIN,Y_GE15,N_GE1,NR,LU	13810 u	: 
FIN,Y_GE15,N_GE1,NR,LV	322121 	: 
FIN,Y_GE15,N_GE1,NR,ME	: c	: 
FIN,Y_GE15,N_GE1,NR,MT	41044 	: 
FIN,Y_GE15,N_GE1,NR,NL	681965 	: 
FIN,Y_GE15,N_GE1,NR,PL	6924680 	: 
FIN,Y_GE15,N_GE1,NR,PT	3399028 	: 
FIN,Y_GE15,N_GE1,NR,RO	6937325 	: 
FIN,Y_GE15,N_GE1,NR,SE	809032 	: 
FIN,Y_GE15,N_GE1,NR,SI	278163 	: 
FIN,Y_GE15,N_GE1,NR,SK	782101 	: 
FIN,Y_GE15,N_GE1,NR,UK	10081020 	: 
FIN,Y_GE65,N_GE1,NR,AT	112607 	: 
FIN,Y_GE65,N_GE1,NR,BE	431962 	: 
FIN,Y_GE65,N_GE1,NR,BG	770364 	: 
FIN,Y_GE65,N_GE1,NR,CH	50340 u	: 
FIN,Y_GE65,N_GE1,NR,CY	26581 e	: 
FIN,Y_GE65,N_GE1,NR,CZ	125348 	: 
FIN,Y_GE65,N_GE1,NR,DE	1280626 u	: 
FIN,Y_GE65,N_GE1,NR,DK	22515 	: 
FIN,Y_GE65,N_GE1,NR,EA	9899193 	: 
FIN,Y_GE65,N_GE1,NR,EE	54785 u	: 
FIN,Y_GE65,N_GE1,NR,EL	1147885 	: 
FIN,Y_GE65,N_GE1,NR,ES	1140588 	: 
FIN,Y_GE65,N_GE1,NR,EU27	16427155 	: 
FIN,Y_GE65,N_GE1,NR,EU28	16716107 	: 
FIN,Y_GE65,N_GE1,NR,FI	: c	: 
FIN,Y_GE65,N_GE1,NR,FR	1008749 	: 
FIN,Y_GE65,N_GE1,NR,HR	288952 	: 
FIN,Y_GE65,N_GE1,NR,HU	575744 	: 
FIN,Y_GE65,N_GE1,NR,IE	67978 	: 
FIN,Y_GE65,N_GE1,NR,IT	3246852 	: 
FIN,Y_GE65,N_GE1,NR,LT	91809 	: 
FIN,Y_GE65,N_GE1,NR,LU	: c	: 
FIN,Y_GE65,N_GE1,NR,LV	98023 	: 
FIN,Y_GE65,N_GE1,NR,ME	: c	: 
FIN,Y_GE65,N_GE1,NR,MT	8037 u	: 
FIN,Y_GE65,N_GE1,NR,NL	107373 	: 
FIN,Y_GE65,N_GE1,NR,PL	1643882 	: 
FIN,Y_GE65,N_GE1,NR,PT	918448 	: 
FIN,Y_GE65,N_GE1,NR,RO	1174598 	: 
FIN,Y_GE65,N_GE1,NR,SE	144559 	: 
FIN,Y_GE65,N_GE1,NR,SI	102045 	: 
FIN,Y_GE65,N_GE1,NR,SK	219276 	: 
FIN,Y_GE65,N_GE1,NR,UK	1881120 	: 
FIN,Y_LT15,N_GE1,NR,CH	5273 u	: 
FIN,Y_LT15,N_GE1,NR,EA	: u	: 
FIN,Y_LT15,N_GE1,NR,EU27	: u	: 
FIN,Y_LT15,N_GE1,NR,EU28	: u	: 
FIN,Y_LT15,N_GE1,NR,HU	219332 	: 
FIN,Y_LT15,N_GE1,NR,NL	58029 	: 
FIN,Y_LT15,N_GE1,NR,PT	39084 	: 
HLTH,Y15-24,N_GE1,NR,AT	: c	: 
HLTH,Y15-24,N_GE1,NR,BE	: c	: 
HLTH,Y15-24,N_GE1,NR,BG	5244 	: 
HLTH,Y15-24,N_GE1,NR,CH	0 u	: 
HLTH,Y15-24,N_GE1,NR,CY	: c	: 
HLTH,Y15-24,N_GE1,NR,CZ	: c	: 
HLTH,Y15-24,N_GE1,NR,DE	: c	: 
HLTH,Y15-24,N_GE1,NR,DK	0 	: 
HLTH,Y15-24,N_GE1,NR,EA	449715 	: 
HLTH,Y15-24,N_GE1,NR,EE	: c	: 
HLTH,Y15-24,N_GE1,NR,EL	: c	: 
HLTH,Y15-24,N_GE1,NR,ES	: c	: 
HLTH,Y15-24,N_GE1,NR,EU27	667135 	: 
HLTH,Y15-24,N_GE1,NR,EU28	671503 	: 
HLTH,Y15-24,N_GE1,NR,FI	: c	: 
HLTH,Y15-24,N_GE1,NR,FR	171367 	: 
HLTH,Y15-24,N_GE1,NR,HR	4368 	: 
HLTH,Y15-24,N_GE1,NR,HU	100169 	: 
HLTH,Y15-24,N_GE1,NR,IE	0 	: 
HLTH,Y15-24,N_GE1,NR,IT	: c	: 
HLTH,Y15-24,N_GE1,NR,LT	1283 	: 
HLTH,Y15-24,N_GE1,NR,LU	: c	: 
HLTH,Y15-24,N_GE1,NR,LV	368 	: 
HLTH,Y15-24,N_GE1,NR,ME	: c	: 
HLTH,Y15-24,N_GE1,NR,MT	: c	: 
HLTH,Y15-24,N_GE1,NR,NL	17503 	: 
HLTH,Y15-24,N_GE1,NR,PL	54834 	: 
HLTH,Y15-24,N_GE1,NR,PT	25342 	: 
HLTH,Y15-24,N_GE1,NR,RO	12912 	: 
HLTH,Y15-24,N_GE1,NR,SE	13650 	: 
HLTH,Y15-24,N_GE1,NR,SI	381 u	: 
HLTH,Y15-24,N_GE1,NR,SK	: c	: 
HLTH,Y15-24,N_GE1,NR,UK	28960 	: 
HLTH,Y25-34,N_GE1,NR,AT	: c	: 
HLTH,Y25-34,N_GE1,NR,BE	: c	: 
HLTH,Y25-34,N_GE1,NR,BG	7843 	: 
HLTH,Y25-34,N_GE1,NR,CH	1764 u	: 
HLTH,Y25-34,N_GE1,NR,CY	: c	: 
HLTH,Y25-34,N_GE1,NR,CZ	: c	: 
HLTH,Y25-34,N_GE1,NR,DE	: c	: 
HLTH,Y25-34,N_GE1,NR,DK	6545 	: 
HLTH,Y25-34,N_GE1,NR,EA	969126 	: 
HLTH,Y25-34,N_GE1,NR,EE	: c	: 
HLTH,Y25-34,N_GE1,NR,EL	: c	: 
HLTH,Y25-34,N_GE1,NR,ES	: c	: 
HLTH,Y25-34,N_GE1,NR,EU27	1356113 	: 
HLTH,Y25-34,N_GE1,NR,EU28	1364797 	: 
HLTH,Y25-34,N_GE1,NR,FI	: c	: 
HLTH,Y25-34,N_GE1,NR,FR	69440 	: 
HLTH,Y25-34,N_GE1,NR,HR	8684 	: 
HLTH,Y25-34,N_GE1,NR,HU	101865 	: 
HLTH,Y25-34,N_GE1,NR,IE	3695 	: 
HLTH,Y25-34,N_GE1,NR,IT	: c	: 
HLTH,Y25-34,N_GE1,NR,LT	438 	: 
HLTH,Y25-34,N_GE1,NR,LU	0 u	: 
HLTH,Y25-34,N_GE1,NR,LV	361 	: 
HLTH,Y25-34,N_GE1,NR,ME	: c	: 
HLTH,Y25-34,N_GE1,NR,MT	: c	: 
HLTH,Y25-34,N_GE1,NR,NL	19933 	: 
HLTH,Y25-34,N_GE1,NR,PL	184803 	: 
HLTH,Y25-34,N_GE1,NR,PT	33749 	: 
HLTH,Y25-34,N_GE1,NR,RO	20328 	: 
HLTH,Y25-34,N_GE1,NR,SE	27122 	: 
HLTH,Y25-34,N_GE1,NR,SI	13455 u	: 
HLTH,Y25-34,N_GE1,NR,SK	: c	: 
HLTH,Y25-34,N_GE1,NR,UK	29080 	: 
HLTH,Y25-44,N_GE1,NR,AT	: c	: 
HLTH,Y25-44,N_GE1,NR,BE	90154 	: 
HLTH,Y25-44,N_GE1,NR,BG	17229 	: 
HLTH,Y25-44,N_GE1,NR,CH	6147 u	: 
HLTH,Y25-44,N_GE1,NR,CY	2046 u	: 
HLTH,Y25-44,N_GE1,NR,CZ	: c	: 
HLTH,Y25-44,N_GE1,NR,DE	997347 u	: 
HLTH,Y25-44,N_GE1,NR,DK	6545 	: 
HLTH,Y25-44,N_GE1,NR,EA	2059033 	: 
HLTH,Y25-44,N_GE1,NR,EE	: c	: 
HLTH,Y25-44,N_GE1,NR,EL	34510 	: 
HLTH,Y25-44,N_GE1,NR,ES	230401 	: 
HLTH,Y25-44,N_GE1,NR,EU27	2838761 	: 
HLTH,Y25-44,N_GE1,NR,EU28	2849664 	: 
HLTH,Y25-44,N_GE1,NR,FI	: c	: 
HLTH,Y25-44,N_GE1,NR,FR	187302 	: 
HLTH,Y25-44,N_GE1,NR,HR	10903 	: 
HLTH,Y25-44,N_GE1,NR,HU	217751 	: 
HLTH,Y25-44,N_GE1,NR,IE	20162 	: 
HLTH,Y25-44,N_GE1,NR,IT	228697 u	: 
HLTH,Y25-44,N_GE1,NR,LT	1035 	: 
HLTH,Y25-44,N_GE1,NR,LU	: c	: 
HLTH,Y25-44,N_GE1,NR,LV	998 	: 
HLTH,Y25-44,N_GE1,NR,ME	: c	: 
HLTH,Y25-44,N_GE1,NR,MT	: c	: 
HLTH,Y25-44,N_GE1,NR,NL	33858 	: 
HLTH,Y25-44,N_GE1,NR,PL	312149 	: 
HLTH,Y25-44,N_GE1,NR,PT	105924 	: 
HLTH,Y25-44,N_GE1,NR,RO	45415 	: 
HLTH,Y25-44,N_GE1,NR,SE	64729 	: 
HLTH,Y25-44,N_GE1,NR,SI	15978 u	: 
HLTH,Y25-44,N_GE1,NR,SK	54915 u	: 
HLTH,Y25-44,N_GE1,NR,UK	83120 	: 
HLTH,Y35-44,N_GE1,NR,AT	: c	: 
HLTH,Y35-44,N_GE1,NR,BE	62393 u	: 
HLTH,Y35-44,N_GE1,NR,BG	9386 	: 
HLTH,Y35-44,N_GE1,NR,CH	4384 u	: 
HLTH,Y35-44,N_GE1,NR,CY	: c	: 
HLTH,Y35-44,N_GE1,NR,CZ	: c	: 
HLTH,Y35-44,N_GE1,NR,DE	: c	: 
HLTH,Y35-44,N_GE1,NR,DK	0 	: 
HLTH,Y35-44,N_GE1,NR,EA	1089905 	: 
HLTH,Y35-44,N_GE1,NR,EE	: c	: 
HLTH,Y35-44,N_GE1,NR,EL	23140 u	: 
HLTH,Y35-44,N_GE1,NR,ES	149887 	: 
HLTH,Y35-44,N_GE1,NR,EU27	1482637 	: 
HLTH,Y35-44,N_GE1,NR,EU28	1484855 	: 
HLTH,Y35-44,N_GE1,NR,FI	: c	: 
HLTH,Y35-44,N_GE1,NR,FR	117862 	: 
HLTH,Y35-44,N_GE1,NR,HR	2218 	: 
HLTH,Y35-44,N_GE1,NR,HU	115885 	: 
HLTH,Y35-44,N_GE1,NR,IE	16467 	: 
HLTH,Y35-44,N_GE1,NR,IT	: c	: 
HLTH,Y35-44,N_GE1,NR,LT	597 	: 
HLTH,Y35-44,N_GE1,NR,LU	: c	: 
HLTH,Y35-44,N_GE1,NR,LV	637 	: 
HLTH,Y35-44,N_GE1,NR,ME	: c	: 
HLTH,Y35-44,N_GE1,NR,MT	: c	: 
HLTH,Y35-44,N_GE1,NR,NL	13925 	: 
HLTH,Y35-44,N_GE1,NR,PL	127347 	: 
HLTH,Y35-44,N_GE1,NR,PT	72175 	: 
HLTH,Y35-44,N_GE1,NR,RO	25087 	: 
HLTH,Y35-44,N_GE1,NR,SE	37608 	: 
HLTH,Y35-44,N_GE1,NR,SI	2523 u	: 
HLTH,Y35-44,N_GE1,NR,SK	: c	: 
