c_resid,unit,nace_r2,terrtypo,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551,TOTAL,ME	: 	2894483 	2627448 	: 	: 	2621342 
FOR,NR,I551,TOTAL,MK	1216277 	988699 	957803 	826623 	795566 	727246 
FOR,NR,I551,TOTAL,MT	8917011 	8354465 	8302348 	8182364 	7940350 	7344253 
FOR,NR,I551,TOTAL,NL	26343380 	23169243 	21707565 	20183788 	18350969 	16934054 
FOR,NR,I551,TOTAL,NO	: 	6573077 	5989442 	5581658 	5068883 	5050573 
FOR,NR,I551,TOTAL,PL	13638768 	12918219 	11302368 	10667222 	10129465 	9424550 
FOR,NR,I551,TOTAL,PT	42852697 	39326453 	35474514 	33050064 	29824569 	27256580 
FOR,NR,I551,TOTAL,RO	4799993 	4399597 	4100387 	3503522 	3167791 	3001482 b
FOR,NR,I551,TOTAL,RS	: 	2352920 	2066142 	1784540 	1616648 	1518577 
FOR,NR,I551,TOTAL,SE	9335009 	8842643 	8401002 	7421430 	6874759 	6650445 
FOR,NR,I551,TOTAL,SI	5544814 	4984687 	4540345 	4294013 	4202067 	4150042 
FOR,NR,I551,TOTAL,SK	4249762 	4082787 	3642146 	3171407 	3528739 	3329573 
FOR,NR,I551,TOTAL,TR	: 	65657106 	96345555 	97314942 	89542908 	: 
FOR,NR,I551,TOTAL,UK	: 	88041150 	86215340 	: 	76419113 	65269158 b
FOR,NR,I551-I553,CST_A,AT	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,CST_A,BE	1768920 	1725470 	1769141 	: 	2690795 	2678927 
FOR,NR,I551-I553,CST_A,BG	13849108 	13267867 	10716239 	11520090 	12020655 	11258149 
FOR,NR,I551-I553,CST_A,CH	: 	0 	: 	: 	: 	: 
FOR,NR,I551-I553,CST_A,CY	15607103 	14195198 	12257715 	12884399 	13152589 	13488127 
FOR,NR,I551-I553,CST_A,CZ	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,CST_A,DE	6342259 	6118819 	5985454 	5707927 	5237940 	4827366 
FOR,NR,I551-I553,CST_A,DK	10931900 	10670676 	10285720 	9789497 	9121733 	8855121 
FOR,NR,I551-I553,CST_A,EA	608020902 e	575600457 	541085907 	: 	: 	: 
FOR,NR,I551-I553,CST_A,EE	3676277 	3608422 	3391959 	3505701 	3492126 	3449215 
FOR,NR,I551-I553,CST_A,EL	87740869 e	78842042 e	77017081 e	73538645 e	68085521 	60307567 e
FOR,NR,I551-I553,CST_A,ES	268456743 	259869770 	237805199 	231478770 	226926595 	218261913 
FOR,NR,I551-I553,CST_A,EU27	: u	678454888 e	639123357 	593403867 e	570942697 e	531521530 e
FOR,NR,I551-I553,CST_A,EU28	: u	746624737 e	701593729 	655293328 e	627932677 e	586495723 e
FOR,NR,I551-I553,CST_A,FI	3389127 	2904466 	2872173 	2791726 	2825722 	2893351 
FOR,NR,I551-I553,CST_A,FR	35837110 	34086344 	35393266 	35432105 	35469803 	32073400 
FOR,NR,I551-I553,CST_A,HR	75695868 	68169849 	62470372 	58378235 	56989980 	55026582 
FOR,NR,I551-I553,CST_A,HU	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,CST_A,IE	: 	11390255 e	9698376 e	7739074 e	7492765 	: 
FOR,NR,I551-I553,CST_A,IS	: 	5965865 	5021048 	3956433 	2975812 	2560948 
FOR,NR,I551-I553,CST_A,IT	102568569 	95601163 	92903325 	92466027 	91970548 	89720541 
FOR,NR,I551-I553,CST_A,LI	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,CST_A,LT	430960 	419941 	371996 	425008 	411829 	385886 
FOR,NR,I551-I553,CST_A,LU	0 	0 	0 	0 	0 	0 
FOR,NR,I551-I553,CST_A,LV	3138683 	2830136 	2656175 	2652821 	2434631 	2244872 
FOR,NR,I551-I553,CST_A,ME	: 	10223207 	10052972 	: 	: 	7944654 
FOR,NR,I551-I553,CST_A,MK	0 	0 	0 	0 	: 	: 
FOR,NR,I551-I553,CST_A,MT	9184162 	8622438 	8542055 	8428215 	8172407 	7498421 
FOR,NR,I551-I553,CST_A,NL	14630696 	13521445 	13215693 	12336663 	11143221 b	9329540 
FOR,NR,I551-I553,CST_A,NO	: 	7343322 	6708123 	6385782 	5685821 	5832066 
FOR,NR,I551-I553,CST_A,PL	4358804 	4067622 	3697346 	3559544 	3310231 	3075657 
FOR,NR,I551-I553,CST_A,PT	44532964 	40564137 	35999456 	33239652 	29940112 	27126781 
FOR,NR,I551-I553,CST_A,RO	211666 	236535 	277968 	235239 	196458 	200582 
FOR,NR,I551-I553,CST_A,RS	: 	0 	0 	0 	: 	: 
FOR,NR,I551-I553,CST_A,SE	9915404 	9451079 	9010646 	8028600 	7353830 	7308977 
