c_resid,unit,nace_r2,deg_urb,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,NR,I551,TOTAL,DE94	522928 	516263 	467559 	451386 	437504 	446869 
FOR,NR,I551,TOTAL,DEA	9269062 	8746518 	8507198 	8363743 	7957126 	7691812 
FOR,NR,I551,TOTAL,DEA1	3420641 	3365632 	3155716 	3204171 	3023674 	2900106 
FOR,NR,I551,TOTAL,DEA2	3509595 	3173917 	3261178 	3120358 	2928603 	2811287 
FOR,NR,I551,TOTAL,DEA3	518827 	467054 	434586 	457114 	407175 	408774 
FOR,NR,I551,TOTAL,DEA4	502598 	475956 	452791 	444856 	456921 	425117 
FOR,NR,I551,TOTAL,DEA5	1317401 	1263959 	1202927 	1137244 	1140753 	1146528 
FOR,NR,I551,TOTAL,DEB	2767886 	2671909 	2719183 	2680187 	2704994 	2713416 
FOR,NR,I551,TOTAL,DEB1	1181280 	1146408 	1184480 	1135436 	1168172 	1178675 
FOR,NR,I551,TOTAL,DEB2	745697 	725877 	746958 	762649 	750561 	769958 
FOR,NR,I551,TOTAL,DEB3	840909 	799624 	787745 	782102 	786261 	764783 
FOR,NR,I551,TOTAL,DEC	238838 	229081 	228792 	231066 	199229 	191054 
FOR,NR,I551,TOTAL,DEC0	238838 	229081 	228792 	231066 	199229 	191054 
FOR,NR,I551,TOTAL,DED	1793827 	1661270 	1666296 	1631003 	1664932 	1587869 
FOR,NR,I551,TOTAL,DED2	1047938 	1002016 	992789 	955144 	929438 	905601 
FOR,NR,I551,TOTAL,DED4	208283 	191081 	220199 	234636 	248569 	235312 
FOR,NR,I551,TOTAL,DED5	537606 	468173 	453308 	441223 	486925 	446956 
FOR,NR,I551,TOTAL,DEE	501861 	435697 	453778 	421578 	398036 	404310 
FOR,NR,I551,TOTAL,DEE0	501861 	435697 	453778 	421578 	398036 	404310 
FOR,NR,I551,TOTAL,DEF	1350594 	1300928 	1303524 	1227213 	1131069 	1043114 
FOR,NR,I551,TOTAL,DEF0	1350594 	1300928 	1303524 	1227213 	1131069 	1043114 
FOR,NR,I551,TOTAL,DEG	513376 	468711 	473641 	488535 	468574 	488304 
FOR,NR,I551,TOTAL,DEG0	513376 	468711 	473641 	488535 	468574 	488304 
FOR,NR,I551,TOTAL,DK	6862892 	6641020 	6487067 	6481576 	6010083 	5723802 
FOR,NR,I551,TOTAL,DK0	6862892 	6641020 	6487067 	6481576 	6010083 	5723802 
FOR,NR,I551,TOTAL,DK01	4968821 	4863006 	4748366 	4869773 	4429619 	4188393 
FOR,NR,I551,TOTAL,DK02	163525 	133098 	101282 	104572 	101581 	90047 
FOR,NR,I551,TOTAL,DK03	705043 	655322 	621607 	584823 	567498 	553161 
FOR,NR,I551,TOTAL,DK04	515629 	480029 	485887 	447979 	422075 	407062 
FOR,NR,I551,TOTAL,DK05	509874 	509565 	529925 	474429 	489310 	485139 
FOR,NR,I551,TOTAL,EA	790813633 e	748981992 	: 	: 	: 	: 
FOR,NR,I551,TOTAL,EE	3654125 	3559353 	3367951 	3515676 	3536875 	3498683 
FOR,NR,I551,TOTAL,EE0	3654125 	3559353 	3367951 	3515676 	3536875 	3498683 
FOR,NR,I551,TOTAL,EE00	3654125 	3559353 	3367951 	3515676 	3536875 	3498683 
FOR,NR,I551,TOTAL,EL	73474232 	65941418 	63570840 	60901973 	57058282 	50539507 
FOR,NR,I551,TOTAL,EL3	6473146 	5671125 	5661483 	5512637 	4233258 	3728793 
FOR,NR,I551,TOTAL,EL30	6473146 	5671125 	5661483 	5512637 	4233258 	3728793 
FOR,NR,I551,TOTAL,EL4	44981730 	40641074 	39314024 	37703057 	36515522 	32014766 
FOR,NR,I551,TOTAL,EL41	1354165 	1183055 	1421364 	1292826 	1147375 	951145 
FOR,NR,I551,TOTAL,EL42	20054482 	17618576 	17735593 	16723316 	16191989 	14298324 
FOR,NR,I551,TOTAL,EL43	23573083 	21839443 	20157067 	19686915 	19176158 	16765297 
FOR,NR,I551,TOTAL,EL5	8338625 	7293583 	7285270 	7073185 	6609222 	6083204 
FOR,NR,I551,TOTAL,EL51	1174954 	999132 	1059451 	909677 	851113 	680181 
FOR,NR,I551,TOTAL,EL52	6692506 	5934225 	5909053 	5850424 	5484542 	5161144 
FOR,NR,I551,TOTAL,EL53	50945 	32502 	34830 	38559 	45404 	40496 
FOR,NR,I551,TOTAL,EL54	420220 	327724 	281936 	274525 	228163 	201383 
FOR,NR,I551,TOTAL,EL6	13680731 	12335636 	11310063 	10613094 	9700280 	8712744 
FOR,NR,I551,TOTAL,EL61	1034225 	914046 	964179 	919727 	773954 	665822 
FOR,NR,I551,TOTAL,EL62	9235127 	8505483 	7800147 	7361327 	7067410 	6407513 
FOR,NR,I551,TOTAL,EL63	992336 	894059 	867076 	750606 	632006 	508263 
FOR,NR,I551,TOTAL,EL64	821085 	678720 	555325 	507980 	376159 	404384 
FOR,NR,I551,TOTAL,EL65	1597958 	1343328 	1123336 	1073454 	850751 	726762 
FOR,NR,I551,TOTAL,ES	224755788 	216929812 	197980823 	190530741 	185396233 	178558301 
FOR,NR,I551,TOTAL,ES1	3149272 	2966339 	2690736 	2388876 	2169963 	2005350 
FOR,NR,I551,TOTAL,ES11	2100225 	1934242 	1816405 	1586521 	1417514 	1314542 
FOR,NR,I551,TOTAL,ES12	533651 	527012 	450906 	401518 	355121 	326142 
FOR,NR,I551,TOTAL,ES13	515396 	505085 	423425 	400837 	397328 	364667 
FOR,NR,I551,TOTAL,ES2	4021614 	3781049 	3382943 	3102848 	2950400 	2768825 
FOR,NR,I551,TOTAL,ES21	2309849 	2135853 	1938253 	1763883 	1755304 	1649650 
FOR,NR,I551,TOTAL,ES22	450598 	440331 	411726 	380155 	346652 	325708 
FOR,NR,I551,TOTAL,ES23	184520 	190983 	170079 	162101 	146899 	133948 
FOR,NR,I551,TOTAL,ES24	1076646 	1013882 	862885 	796708 	701546 	659520 
FOR,NR,I551,TOTAL,ES3	13163099 	11721165 	11043862 	9907516 	8974779 	9296048 
FOR,NR,I551,TOTAL,ES30	13163099 	11721165 	11043862 	9907516 	8974779 	9296048 
FOR,NR,I551,TOTAL,ES4	2726527 	2540421 	2372092 	2180770 	2034590 	1966539 
FOR,NR,I551,TOTAL,ES41	1751216 	1656956 	1534015 	1397506 	1275357 	1212918 
FOR,NR,I551,TOTAL,ES42	641426 	578168 	538961 	513885 	482904 	495976 
FOR,NR,I551,TOTAL,ES43	333886 	305297 	299116 	269379 	276329 	257645 
FOR,NR,I551,TOTAL,ES5	108603925 	105691502 	97406816 	94767940 	96439240 	93456595 
FOR,NR,I551,TOTAL,ES51	40688367 	38921426 	36279509 	36064444 	36220277 	34366971 
FOR,NR,I551,TOTAL,ES52	13705207 	12694112 	11286142 	10608092 	10329616 	9648641 
FOR,NR,I551,TOTAL,ES53	54210351 	54075964 	49841164 	48095404 	49889347 	49440982 
FOR,NR,I551,TOTAL,ES6	30121813 	28451476 	25047975 	22897595 	21896125 	20630507 
FOR,NR,I551,TOTAL,ES61	29222892 	27570999 	24299397 	22204719 	21295153 	20087988 
FOR,NR,I551,TOTAL,ES62	810142 	797205 	677318 	630196 	534423 	482031 
FOR,NR,I551,TOTAL,ES63	58552 	51332 	46038 	40894 	41980 	37740 
FOR,NR,I551,TOTAL,ES64	30228 	31941 	25222 	21786 	24570 	22749 
FOR,NR,I551,TOTAL,ES7	62969536 	61777860 	56036400 	55285196 	50931136 	48434435 
FOR,NR,I551,TOTAL,ES70	62969536 	61777860 	56036400 	55285196 	50931136 	48434435 
FOR,NR,I551,TOTAL,EU27	966671450 e	919360239 	: 	841516698 e	821483557 	778052101 
FOR,NR,I551,TOTAL,EU28	988819902 e	940232238 	: 	860408622 e	840384159 	796931453 
FOR,NR,I551,TOTAL,FI	5726279 	4973182 	4676645 	4795215 	4906135 	4948446 
FOR,NR,I551,TOTAL,FI1	5600555 	4847634 	4544459 	4671497 	4785779 	4827870 
FOR,NR,I551,TOTAL,FI19	522673 	462992 	441014 	459732 	454470 	496115 
FOR,NR,I551,TOTAL,FI1B	2800078 	2461118 	2311067 	2227290 	2226609 	2293561 
FOR,NR,I551,TOTAL,FI1C	579951 	465149 	486210 	640919 	709903 	694410 
FOR,NR,I551,TOTAL,FI1D	1697853 	1458375 	1306168 	1343556 	1394797 	1343784 
FOR,NR,I551,TOTAL,FI2	125724 	125548 	132186 	123718 	120356 	120576 
FOR,NR,I551,TOTAL,FI20	125724 	125548 	132186 	123718 	120356 	120576 
FOR,NR,I551,TOTAL,FR	: c	: c	74456927 	73552947 	73619897 	68784275 
FOR,NR,I551,TOTAL,FR1	38341005 	33724543 	37832398 	38313711 	38893193 	36253450 
FOR,NR,I551,TOTAL,FR10	38341005 	33724543 	37832398 	38313711 	38893193 	36253450 
FOR,NR,I551,TOTAL,FR2	: 	5966544 	6276187 	6294995 	5905601 	5606290 
FOR,NR,I551,TOTAL,FR21	: 	883141 	830980 	844215 	805373 	727874 
FOR,NR,I551,TOTAL,FR22	: 	578685 	533811 	523479 	508646 	499818 
FOR,NR,I551,TOTAL,FR23	: 	600966 	616203 	602237 	590089 	580426 
