c_resid,unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551-I553,SE	14638702 	13997265 	13612924 	12260712 	11442690 	11299455 	11344435 	11184995 	11317502 	10920106 	11200359 	10942968 	10077858 	9723676 	9714883 	9767708 	9133450 	8654086 	8600785 	8029087 	7658900 	7716620 	7860659 	6780428 	6074572 	5814522 	5600373 	6574667 
FOR,NR,I551-I553,SI	8478019 	7252070 	6529086 	6004623 	5887862 	5702306 b	5106452 	4680456 	4656825 	5085308 	4707220 	4332049 	4249817 	4188385 	3995310 	3832704 	3639540 	3276819 	2626796 	2933811 	2945115 	2436595 	2321541 	2372847 	1898266 	1909320 	2034000 	4892000 
FOR,NR,I551-I553,SK	5316945 	5038214 	4384800 	3852147 	4277598 	4039410 	3990300 	3749566 	3707327 	5144831 	5115168 	5058147 	4801093 	4596750 	4883992 	4985634 	4347122 	3703866 	3483603 	3256463 	2791126 	3253116 	3024067 	2768590 	1791648 	1302164 	1616832 	1935583 
FOR,NR,I551-I553,TR	: 	65793316 	96400316 	97581075 	89594261 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,UK	: 	279453071 	275650028 	: 	: 	105455528 b	87993917 	84610527 	79920519 	80393221 	84690331 	90740612 	81823097 	73860571 	67134000 	65959000 	69780996 	73816468 	77301175 	78192000 	79382160 	78382261 	76523027 	119071162 	107714740 	100513151 	92866885 	97679560 
FOR,NR,I552,AT	14537053 	13640221 	12730440 	12269164 	12022857 	11565819 b	10568954 	10434374 	10410990 	10253111 	9713514 	9170437 	9063259 	8907326 	8670513 	8254559 	7719092 	7395103 	7023024 	5980512 	3401860 	3444016 	3328467 	3478368 	3576126 	3583345 	3486449 	3382984 
FOR,NR,I552,BE	5409274 	5243614 	5079038 	3526529 	3453353 	3365808 b	3354021 	3363753 	3192361 	3558255 	3539098 	3573782 	3529086 	3389100 	3765984 	3851925 	3829418 	3677133 	3963041 	3829529 	3737801 	3882894 	4100500 	800818 	838461 	805511 	514911 	670394 
FOR,NR,I552,BG	369680 	282621 	254372 	308177 	368616 	280175 b	122921 	89320 	79711 	139189 	125321 	146286 	127463 	131248 	120141 	4811 	5023 	3940 	4016 	4662 	9046 	9214 	8614 	11949 	18761 	44231 	29735 	68952 
FOR,NR,I552,CH	: 	3727081 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10987262 	11063978 	11353001 	11562961 	11413723 	331559 	357971 	14080833 	11765637 	11407550 	11353656 	13268910 
FOR,NR,I552,CY	0 	0 	0 	0 	0 	0 b	166689 	166316 	167388 	51781 	60478 	76317 	102377 	78579 	63965 	53547 	18645 	22327 	10381 	9298 	7241 	8665 	10745 	21829 	22936 	24902 	17687 	27237 
