unit,nace_r2,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,I551,AFR_OTH,PL	32930 	35516 	33988 	33434 	32515 	23561 	20290 	21754 	20232 	17695 	16825 	24248 	14649 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,PT	457298 	432778 	477070 	537350 	405205 	312176 	258991 	241945 	243113 	203908 	228634 	157676 	130423 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,RO	35349 	52458 	104486 	71322 	27595 	37973 b	19719 	20248 	14182 	14144 	18015 	15460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,RS	: 	21547 	30543 	46806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,SE	33778 	37342 	43954 	36644 	31424 	26854 	25941 	18649 	20991 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,SI	11227 	13966 	10795 	10834 	8666 	8019 	9403 	5778 	4739 	9981 	3933 	2117 	2208 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,SK	13521 	14869 	16756 	12952 	12566 	17004 	8848 	8563 	7330 	11653 	10364 	6425 	6132 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,TR	: 	1256807 	1343266 	1377248 	1220305 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AFR_OTH,UK	: 	863220 	1247342 	: 	1350071 	1233269 b	1208199 	1032917 	986433 	1058789 	807972 	918743 	754384 	723587 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,AT	2148157 	2017725 	2083307 	1865939 	1755364 	1680026 	1568231 	1524758 	1342812 	1448199 	1676595 	1700135 	1554689 	1557725 	1256309 	1499166 	1759999 	2058686 	1705342 	1789555 	1594487 	1585351 	1485565 	1535505 	157832 	176173 	150430 	2304403 
NR,I551,AME,BE	1129746 	905615 	1156009 	1112953 	992840 	975924 	955148 	840134 	727031 	791552 	849932 	798299 	763197 	763865 	730195 	781874 	813171 	861615 	837483 	761241 	787306 	759804 	682069 	91709 	94247 	70411 	66917 	586137 
NR,I551,AME,BG	200668 	196997 	172879 	142962 	126258 	136357 	110531 	142309 	146207 	225467 	91846 	96182 	103262 	92576 	93166 	92276 	90852 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,CH	: 	2487819 	2419448 	2310768 	2238949 	2159916 	2115099 	2086735 	1908158 	2081131 	2224548 	2189216 	1942692 	: 	: 	2057695 	2380650 	2662801 	2339795 	2248157 	2190080 	2065207 	2169601 	295243 	291560 	326028 	326654 	3087993 
NR,I551,AME,CY	81536 	75349 	71835 	73100 	75158 	86402 	104328 	100187 	98872 	74114 	74591 	69927 	50409 	: 	: 	: 	61563 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,CZ	1853601 	1712551 	1708128 	1536386 	1497730 	1463430 	1216515 	1155862 	1010235 	1115514 	1175346 	1178892 	1060848 	962635 	763667 	685081 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,DE	8082452 	7331087 	7249248 	6719403 	6417261 	6261537 	5907645 	5847943 	5073331 	5418242 	5545091 	5827578 	5071731 	4928616 	4317753 	4585562 	4853562 	5748782 	4874369 	4679060 	4225091 	3839119 	3680102 	3630923 	423175 	449767 	441185 	5309808 
NR,I551,AME,DK	784150 	711068 	676588 	617217 	576818 	537606 	505040 	455353 	421754 	403103 	398396 	458667 	420815 	384023 	352271 	354507 	390670 	368968 	330546 	328433 	309529 	303231 	: 	: 	: 	: 	: 	: 
NR,I551,AME,EA	68882853 e	62690553 	61681003 	: 	: 	: 	: 	: 	: 	47291821 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,EE	96939 	103570 	119855 	85690 	73313 	77584 	64839 	53996 	46958 	51585 	56594 	51416 	50085 	49168 	32993 	50340 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I551,AME,EL	2676328 	2204144 	2360902 	2055717 	1674077 	1442993 	1894781 	1715269 	1664877 	1752995 	2024992 	1873069 	1607363 	1252259 	1063263 	1121377 	1382065 	1693311 	1428750 	1695572 	1609194 	1432957 	1438919 	1430970 	: 	: 	: 	: 
