unit,nace_r2,partner,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
NR,I552_I553,FR,FI	38350 	26230 	26005 	26773 	27208 	26994 b	27124 	28193 	28228 	26470 	30154 	30392 	27194 	28404 	23953 	19751 	19062 	24554 	23817 	22326 	20418 	17914 	17786 	20927 	21877 	15434 	18183 	21537 
NR,I552_I553,FR,FR	161710067 	147218335 	148377985 	143065326 	144394327 	142370600 b	142821577 	140443052 	68080110 	63493711 	62278778 	63747318 	62426162 	60705999 	63816495 	61844398 	63462773 	62511890 	62153370 	61742236 	: 	: 	64777255 	66943976 	65656132 	64170363 	64500270 	64408646 
NR,I552_I553,FR,HR	1171275 	1034948 	871432 	777516 	741031 	627595 b	283867 	282812 	275879 	280012 	289004 	304381 	361724 	286837 	214702 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,HU	63387 	55041 	49050 	43491 	37977 	33178 b	18727 	21954 	39596 	26163 	27608 	24847 	24794 	27526 	20285 	19311 	21854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,IE	: 	399168 e	301145 e	340250 e	: u	: u	: u	: u	: u	249764 e	: u	: u	: u	: u	: 	: u	: u	1336000 	443000 	: 	400000 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,IS	: 	234612 	220941 	192551 	139745 	106292 b	24570 	65370 	67588 	51603 	47908 	46492 	41612 	47375 	46105 	44609 	38813 	33029 	36980 	34068 	: 	26844 	30321 	: 	: 	: 	: 	: 
NR,I552_I553,FR,IT	3972664 	3666092 	3524255 	2935210 	2871843 	2781542 b	2810125 	2666737 	2667486 	440334 	2414241 	2329744 	2165697 	2024237 	2160915 	2041519 	1781201 	1669811 	1320488 	1239514 	1267732 	1207865 	1160612 	1024771 	1018374 	1006499 	1157424 	1131949 
NR,I552_I553,FR,LI	333 	278 	642 	331 	157 	458 b	516 	434 	554 	374 	208 	207 	227 	312 	389 	413 	: 	114 	: 	184 	418 	344 	257 	: 	: 	: 	: 	: 
NR,I552_I553,FR,LT	15243 	15239 	13472 	9983 	6707 	7321 b	3672 	3137 	2355 	3158 	2840 	1944 	2230 	1725 	977 	704 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,LU	37559 	30129 	32628 	29193 	26159 	23536 b	25010 	21582 	28099 	33306 	31294 	29834 	27979 	34139 	34612 	26444 	23370 	23226 	20095 	23058 	21872 	20428 	19935 	19320 	30170 	25611 	31640 	27248 
NR,I552_I553,FR,LV	7454 	7344 	6023 	9294 	7815 	6028 b	2750 	2382 	3442 	5122 	2966 	3621 	2942 	860 	261 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,ME	: 	52496 	56738 	: 	: 	34576 b	406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,MK	1445 	1412 	927 	887 	491 	764 b	554 	567 	1393 	1005 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,MT	25557 e	17654 e	37125 e	20687 e	22410 e	8367 b	8073 	10159 	22088 	14464 	28126 	3601 	4513 	9603 	10282 	: 	192 	34 	: 	6 	11 	45 	75 	245 	: 	: 	: 	: 
NR,I552_I553,FR,NL	282043 	291120 	284789 	259481 	284613 b	296615 b	278900 	325400 	261700 	279000 	378700 	338900 	205600 	241900 	224800 	204700 	175000 	242238 	183000 	135104 	113000 	115000 	139000 	126000 	200560 	241400 	268000 	250000 
NR,I552_I553,FR,NO	: 	105977 	94255 	87999 	81957 	94397 b	97812 	99242 	88966 	87109 	88956 	81252 	73704 	84442 	74591 	74672 	76731 	71268 	72872 	79535 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,PL	66777 	72512 	61962 	53732 	57540 	58829 b	53152 	56445 	46918 	51036 	66527 	67049 	71727 	66211 	64110 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,PT	1100181 	994948 	785884 	606702 	475295 b	423634 b	394867 	369867 	385473 	391670 	385371 	321068 	298853 	314568 	350681 	366380 	342490 	346252 	346246 	470460 	380523 	367035 	411040 	394435 	411448 	410470 	504400 	491268 
NR,I552_I553,FR,RO	22231 	18862 	17614 	13104 	14817 	13134 b	2261 	2286 	1975 	4630 	2248 	10436 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,RS	: 	5689 	6133 	5035 	5157 	4578 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,SE	87925 	81104 	88093 	86956 	81866 	83392 b	90934 	84185 	83714 	83659 	91424 	86259 	69415 	62873 	59404 	62535 	58582 	64334 	62337 	53388 	60072 	62246 	71479 	62635 	59027 	74509 	72221 	84155 
NR,I552_I553,FR,SI	112978 	94421 	82232 	68420 	64021 	64254 b	45955 	44190 	38542 	42380 	40167 	32315 	31505 	34837 	18377 	13655 	12664 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,SK	10022 	10755 	10117 	9963 	9741 	11803 b	12313 	10333 	16594 	14007 	13507 	9706 	10480 	11955 	9192 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,TR	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,FR,UK	: 	15285800 	16573157 	: 	: 	3749749 b	1795269 	1757506 	1805710 	2141469 	2408876 	2486996 	2032517 	2125362 	1810000 	1866000 	1712023 	1702690 	1722046 	1758000 	2565016 	2734341 	2697288 	: 	: 	: 	: 	: 
NR,I552_I553,HR,AT	65902 	57452 	71107 	62197 	54970 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,BE	8521 	3727 	2838 	1608 	2052 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,BG	482 	1095 	323 	281 	235 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,CH	: 	3540 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,CY	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,CZ	9410 	14755 	5890 	5423 	4677 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,DE	73871 	68266 	52999 	27069 	22463 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,DK	79937 	78222 	68265 	38334 	255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,EA	586173 e	504428 	443071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,EE	1677 	1020 	456 	219 	270 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,EL	50219 e	53140 e	55142 e	44779 e	25897 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,ES	39611 	35122 	25586 	34438 	40807 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,EU27	: u	843858 	1061736 	530749 e	410960 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,EU28	: u	4212543 	4412596 	3836956 e	3257422 e	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,FI	32067 	297 	235 	1141 	865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,FR	24762 	56975 	23325 	31855 	34033 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,HR	3529953 	3368685 	3350860 	2940192 	2846462 	2845331 b	1449293 	1441094 	1604943 	1683138 	1665639 	1601084 	1310124 	1340348 	1424495 	1370323 	1526354 	1290904 	1324918 	1347704 	1442685 	1072894 	982812 	895847 	577029 	: 	: 	: 
NR,I552_I553,HR,HU	5774 	7167 	5092 	5301 	4320 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,IE	: 	8905 e	14868 u	852 u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,IS	: 	491 	267 	204 	163 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,IT	154462 	126501 	115666 	122944 	120553 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,LI	77 	95 	26 	29 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,LT	250 	352 	282 	324 	189 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,LU	212 	193 	261 	286 	225 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,LV	410 	569 	130 	3138 	321 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,ME	: 	59040 	63713 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,MK	948 	1134 	1213 	1212 	1359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,MT	606 e	543 e	1911 e	368 e	0 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,NL	3596 e	2525 e	2167 e	1991 e	2475 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,NO	: 	1867 	800 	11208 	608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,PL	3544 	4516 	7552 	2616 	3353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,PT	5295 	3465 	1410 	1471 	659 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,RO	1123 	627 	489 	509 	512 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,RS	: 	16502 	12767 	11865 	11167 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,SE	3892 	4648 	3766 	4735 	1068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,SI	93396 	79886 	71646 	66696 	74245 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,SK	9313 	5490 	3042 	3495 	3008 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,TR	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HR,UK	: 	228400 	527288 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,AT	436635 	413778 	396248 	380965 	375846 	366218 b	391448 	382040 	372814 	386882 	377827 	355696 	334694 	291389 	240214 	217458 	183448 	180321 	157963 	119042 	75926 	74454 	84894 	: 	: 	: 	: 	81731 
NR,I552_I553,HU,BE	24350 	15189 	11194 	5071 	8944 	8218 b	8804 	7421 	6451 	7379 	6599 	6096 	5947 	8192 	8827 	6192 	7571 	9121 	7636 	2752 	4546 	4459 	4658 	: 	: 	: 	: 	: 
NR,I552_I553,HU,BG	5186 	3693 	2602 	2168 	2183 	2990 b	1286 	687 	732 	1998 	3572 	5387 	3060 	2898 	3154 	731 	800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,CH	: 	12310 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11014 	18253 	19158 	20665 	21271 	23285 	52 	63 	: 	: 	: 	: 	: 
NR,I552_I553,HU,CY	5 	0 	21 	4 	0 	4 b	1032 	1427 	829 	66 	61 	: 	16 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,CZ	27317 	27131 	21490 	20788 	21279 	20622 b	14804 	16087 	17394 	25123 	28390 	32869 	37414 	42015 	45526 	26990 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,DE	110298 	95648 	97151 	105865 	100416 	114283 b	76864 	65250 	72215 	75734 	68384 	67139 	67931 	67755 	63623 	67598 	69371 	78040 	75468 	70610 	54017 	65499 	73287 	: 	: 	: 	: 	: 
NR,I552_I553,HU,DK	5367 	15678 	18593 	8588 	3088 	2803 b	3387 	2904 	2648 	2756 	3770 	3438 	3756 	1443 	1228 	1376 	2228 	1063 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,EA	2158004 e	1946715 	1888235 	: 	: 	: 	: 	: 	: 	1660188 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,EE	3278 	2375 	2922 	3212 	3000 	2247 b	1374 	1215 	821 	1670 	2381 	2169 	1058 	916 	803 	328 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,EL	314001 e	322573 e	337848 e	312382 e	266989 	259549 e	6868 	7538 	8742 	8526 	9289 	6681 	6889 	4199 	3772 	5844 	5691 	4015 	4540 	11398 	12228 	10691 	8797 	: 	: 	: 	: 	: 
NR,I552_I553,HU,ES	118232 	111499 	98176 	111817 	93592 	98534 b	102862 	109779 	117662 	180150 	141577 	169332 	152096 	95160 	81430 	95931 	84621 	79475 	18880 	6602 	4475 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,EU27	: u	8370467 	7760333 	6975249 e	5832660 e	5669170 b	3725835 e	: 	: 	107198204 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,EU28	: u	10253078 	9409509 	8519470 e	7045437 e	6829414 b	4090628 e	: 	: 	108129930 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,FI	2377 	1925 	1729 	2503 	2326 	2136 b	2940 	2782 	2147 	2869 	2621 	2829 	2880 	2563 	2096 	2082 	2166 	1362 	2368 	1876 	2204 	977 	2041 	: 	: 	: 	: 	: 
NR,I552_I553,HU,FR	66064 	122470 	117486 	66866 	50364 	116895 b	136878 	8416 	7752 	9017 	5773 	5521 	9819 	3067 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,HR	2116345 	1882611 	1649176 	1388425 	1212777 	1160244 b	364793 	341931 	392216 	424970 	429257 	463338 	460280 	498406 	461918 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,HU	5114343 	4552220 	4454933 	4283535 	3846282 	3717708 b	2099924 	2237596 	2288116 	2170601 	2296012 	2321847 	2336077 	2457953 	2747212 	2514817 	2433165 	3740449 	2188000 	2064000 	1839000 	1604000 	1552000 	1533000 	1437000 	: 	: 	: 
NR,I552_I553,HU,IE	: 	2481 e	1980 e	8774 e	: u	: u	: u	: u	: u	18641 e	: u	: u	: u	: u	: 	: u	: u	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,IS	: 	4004 	1962 	1695 	1570 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,IT	868747 	703501 	698682 	616985 	601645 	584276 b	677545 	688136 	617355 	776688 	785281 	805868 	781035 	760647 	748831 	668044 	644176 	635127 	413525 	388835 	311151 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,LI	58 	35 	75 	69 	166 	62 b	24 	80 	69 	171 	40 	149 	83 	149 	86 	52 	: 	41 	: 	217 	74 	128 	123 	: 	: 	: 	: 	: 
NR,I552_I553,HU,LT	1419 	699 	1181 	433 	303 	368 b	274 	325 	294 	282 	180 	216 	186 	314 	159 	202 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,LU	542 	270 	514 	1098 	605 	582 b	869 	479 	843 	768 	531 	960 	745 	593 	686 	520 	787 	663 	596 	408 	418 	581 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,LV	293 	377 	440 	972 	713 	459 b	931 	665 	189 	372 	623 	277 	348 	178 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,ME	: 	59932 	66304 	: 	: 	45930 b	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,MK	445 	295 	507 	936 	575 	715 b	730 	942 	871 	1828 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,MT	1258 e	5318 e	866 e	3403 e	3703 e	6899 b	5388 	765 	12298 	: 	343 	: 	: 	2326 	: 	: 	18 	36 	: 	: 	6 	: 	: 	28 	: 	: 	: 	: 
NR,I552_I553,HU,NL	9175 e	6443 e	5530 e	5080 e	6315 be	4297 be	4900 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,NO	: 	5875 	9154 	6400 	4957 	5806 b	5631 	4625 	3997 	6572 	6180 	4566 	5140 	3961 	4054 	4074 	3798 	3505 	3328 	2793 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,PL	27387 	23362 	25059 	26073 	26017 	20749 b	18944 	18087 	18003 	25430 	26956 	31013 	38024 	35081 	32138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,PT	16526 	10339 	6676 	3556 	3812 b	1752 b	3763 	1931 	2260 	3031 	3336 	2673 	2813 	3113 	2702 	3155 	3174 	3356 	2867 	2772 	2183 	2797 	3365 	: 	: 	: 	: 	: 
NR,I552_I553,HU,RO	104463 	99255 	79171 	65583 	55240 	43677 b	2006 	2297 	3168 	7366 	5960 	5684 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,RS	: 	5328 	4861 	4384 	5308 	7249 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,SE	10163 	5643 	12090 	4692 	3933 	5891 b	3653 	4557 	4918 	6410 	3033 	2874 	4511 	2313 	1217 	1101 	757 	1126 	1100 	2627 	1190 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,SI	127001 	94066 	79515 	67137 	58805 	52712 b	40072 	33958 	34130 	38412 	37580 	36644 	35847 	32258 	33447 	29780 	28420 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,SK	46501 	37764 	30076 	26192 	30283 	29631 b	42180 	30096 	35977 	61820 	69060 	91520 	94485 	99355 	94023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,TR	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,HU,UK	: 	1696770 	1258160 	: 	: 	203144 b	61266 	253968 	24068 	133854 	158931 	368721 	222040 	116792 	42000 	41000 	36652 	28188 	75122 	1010000 	9667 	7089 	8505 	: 	: 	: 	: 	: 
NR,I552_I553,IE,AT	39592 	35786 	28251 	25976 	25515 	25163 b	25774 	30035 	28431 	34455 	30750 	29433 	23640 	21801 	11986 	13340 	12740 	7498 	8836 	8278 	2410 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,BE	18621 	17591 	15014 	12192 	12407 	20644 b	9992 	6294 	9902 	7794 	6889 	6315 	7913 	8561 	9989 	14041 	8129 	7998 	5941 	8142 	7781 	9345 	7190 	6258 	3987 	4942 	4869 	7590 
NR,I552_I553,IE,BG	1840 	891 	938 	1037 	630 	371 b	83 	459 	1063 	3023 	4688 	2282 	3610 	156 	54 	49 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,CH	: 	14906 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8103 	12448 	12495 	11715 	11160 	10148 	3 	4 	: 	10842 	12530 	13471 	12920 
NR,I552_I553,IE,CY	0 	0 	18 	3 	0 	4 b	1582 	1279 	988 	249 	301 	496 	1158 	375 	171 	49 	0 	76 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,CZ	19403 	17383 	18045 	11567 	5940 	3744 b	2618 	3484 	2746 	4837 	6676 	4625 	6035 	8387 	6040 	1325 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,DE	101062 	99130 	86327 	77285 	54756 	46207 b	42814 	53473 	50028 	49422 	43802 	42057 	31664 	26343 	20860 	25984 	27021 	26371 	23690 	23618 	22026 	30647 	33898 	38216 	37870 	50857 	54583 	12877 
NR,I552_I553,IE,DK	15393 	12336 	8022 	2748 	3331 	4536 b	3777 	1602 	1181 	1627 	1393 	1565 	1752 	277 	393 	473 	829 	645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,EA	6504493 e	6212443 	6633523 	: 	: 	: 	: 	: 	: 	334155168 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,EE	1586 	1457 	1457 	1287 	1612 	1957 b	2380 	561 	605 	1003 	1441 	1443 	1063 	656 	535 	139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,EL	47154 e	45394 e	45961 e	38769 e	34449 	34458 e	1520 	1411 	1614 	2815 	1529 	866 	962 	1018 	1399 	1035 	1937 	1187 	1015 	1061 	894 	1200 	1487 	1225 	: 	: 	: 	: 
NR,I552_I553,IE,ES	3325595 	3157976 	3796169 	2306226 	2498776 	2321555 b	2269346 	2200850 	2594295 	3453560 	3482150 	3700078 	3522338 	3241687 	3061437 	3101734 	3006959 	3286635 	51212 	35700 	28870 	20699 	22669 	17383 	14046 	: 	: 	: 
NR,I552_I553,IE,EU27	: u	13212166 	13609172 	7262044 e	7320705 e	6890368 b	7469256 	: 	: 	505703479 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,EU28	: u	13346276 	13727619 	7362748 e	7398394 e	6937984 b	7481787 	: 	: 	510098860 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,FI	2143 	2110 	995 	3165 	2193 	2054 b	2627 	1260 	1948 	2240 	2647 	1569 	1324 	1148 	969 	948 	1151 	1089 	690 	752 	445 	1078 	305 	271 	124 	: 	: 	: 
NR,I552_I553,IE,FR	622034 	539608 	461272 	439031 	511484 	503490 b	475629 	231302 	272502 	301883 	239577 	238920 	174147 	83067 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,HR	199964 	134110 	118447 	95022 	77689 	47616 b	12531 	14028 	16645 	21940 	15891 	13704 	13556 	10280 	8642 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,HU	20504 	18412 	14061 	10724 	6154 	1940 b	1302 	959 	4164 	4462 	3481 	3609 	2986 	4067 	2041 	1279 	1834 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,I552_I553,IE,IE	: 	1554818 e	1592550 e	2775637 e	: u	: u	3707000 	4461000 	4271000 e	4544000 u	4944000 e	4025000 	4496000 	4400000 	4673000 	4258000 	2500000 	2362000 	2098000 	2305000 	3076000 	2332000 	3517000 	: 	: 	: 	: 	: 
