c_resid,unit,hotelsize,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
FOR,PCH_PRE,GE250,PL	4.03 	5.36 	10.26 	-1.88 	3.9 	: 
FOR,PCH_PRE,GE250,RO	: 	: 	: 	10.9 	6.1 	: 
FOR,PCH_PRE,GE250,SE	4.4 	3.41 	19.26 	10.31 	6.9 	: 
FOR,PCH_PRE,GE250,UK	: 	-22.72 	: 	: 	: 	: 
FOR,PCH_PRE,LT25,BG	-3.31 	-1.18 	-10.43 	2.37 	8.2 	: 
FOR,PCH_PRE,LT25,CY	12.18 	10.78 	-9.84 	: 	: 	: 
FOR,PCH_PRE,LT25,CZ	418.47 	5.6 	-77.42 	-8.84 	4.8 	: 
FOR,PCH_PRE,LT25,DE	2.49 	2.05 	4.13 	2.8 	4.5 	: 
FOR,PCH_PRE,LT25,EA	: u	: u	: u	: 	: 	: 
FOR,PCH_PRE,LT25,EL	14.01 	-4.6 	6.8 	9.75 	16.04 	: 
FOR,PCH_PRE,LT25,ES	-5.97 	11.53 	15.84 	10.29 	8.3 	: 
FOR,PCH_PRE,LT25,EU27	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,LT25,EU28	: u	: u	: u	: u	: u	: 
FOR,PCH_PRE,LT25,HR	15.98 	10.32 	12.11 	9.19 	7 	: 
FOR,PCH_PRE,LT25,HU	14.62 	8.79 	4.46 	: 	: 	: 
FOR,PCH_PRE,LT25,IS	: 	20.18 	340.19 	42.62 	-66.4 	: 
FOR,PCH_PRE,LT25,LT	11.84 	10.27 	-5.58 	-5.16 	12.9 	: 
FOR,PCH_PRE,LT25,LV	9.76 	3.59 	7.94 	29.21 	-6.5 	: 
FOR,PCH_PRE,LT25,MT	22.02 	26.6 	28.34 	-6.51 	232.3 	: 
FOR,PCH_PRE,LT25,NO	: 	2.65 	-23.47 	33.05 	-26.4 	: 
FOR,PCH_PRE,LT25,PL	5.84 	13.99 	5.74 	5.64 	7.3 	: 
FOR,PCH_PRE,LT25,RO	: 	: 	: 	96.48 	-17.9 	: 
FOR,PCH_PRE,LT25,SE	6.99 	8.6 	2.3 	5.45 	9.5 	: 
FOR,PCH_PRE,LT25,UK	: 	2.12 	: 	: 	: 	: 
FOR,PCH_PRE,TOTAL,AT	2.14 	3.03 	2.42 	-0.49 	1.27 	3.7 
FOR,PCH_PRE,TOTAL,BE	13.87 	-15.12 	-0.39 	3.93 	0.7 	1 
FOR,PCH_PRE,TOTAL,BG	5.47 	21.14 	-4.86 	-1.6 	6.4 	7 
FOR,PCH_PRE,TOTAL,CH	: 	-1.49 	-1.66 	0.88 	3.5 	-3.3 
FOR,PCH_PRE,TOTAL,CY	9.94 	15.59 	-2.52 	-2.04 	-2.5 	4.2 
FOR,PCH_PRE,TOTAL,CZ	8.34 	4.29 	5 	-0.5 	0.7 	10.6 
FOR,PCH_PRE,TOTAL,DE	4.24 	1.5 	5.84 	5.13 	5 	8.1 
FOR,PCH_PRE,TOTAL,DK	3.34 	2.37 	0.08 	7.85 	5 	6.4 
FOR,PCH_PRE,TOTAL,EA	4.31 e	4.41 	3.57 	: 	: 	: 
FOR,PCH_PRE,TOTAL,EE	2.66 	5.68 	-4.2 	-0.6 	1.1 	0.6 
FOR,PCH_PRE,TOTAL,EL	11.42 	3.73 	4.38 	6.74 	12.9 	-6.2 
FOR,PCH_PRE,TOTAL,ES	3.61 	9.57 	3.91 	2.77 	3.8 	1.9 
