unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,DOM,REST,CH	42.31 	36.1 	34.32 	30.94 	32.25 
EUR,PERS,N1-3,DOM,REST,CY	19.8 	18.88 	28.2 	27.13 	: 
EUR,PERS,N1-3,DOM,REST,CZ	4.4 	4.96 	3.18 	3.68 	3.52 
EUR,PERS,N1-3,DOM,REST,DK	: 	: 	: b	: b	: 
EUR,PERS,N1-3,DOM,REST,EA	: 	: 	7.02 e	6.49 	6.6 
EUR,PERS,N1-3,DOM,REST,EE	9.49 	10.27 	9.16 	8.28 	6.98 
EUR,PERS,N1-3,DOM,REST,EL	22 	21.99 	19.03 	16.38 	16.72 
EUR,PERS,N1-3,DOM,REST,ES	15.8 	16.95 b	5.85 	4.98 	5.42 
EUR,PERS,N1-3,DOM,REST,EU27	: 	8.44 	6.31 e	8.77 	8.79 
EUR,PERS,N1-3,DOM,REST,EU28	: 	8.46 	6.33 e	8.77 	8.79 
EUR,PERS,N1-3,DOM,REST,FI	17.25 	16.79 	16 	16.84 	17.09 
EUR,PERS,N1-3,DOM,REST,FR	14.45 	13.89 	13.65 	13.06 	13.12 
EUR,PERS,N1-3,DOM,REST,HR	12.54 	11.59 	9.59 	8.75 	7.81 
EUR,PERS,N1-3,DOM,REST,HU	2.67 	2.43 	2.22 	2.14 	2.1 
EUR,PERS,N1-3,DOM,REST,IT	: 	: 	: b	: 	: 
EUR,PERS,N1-3,DOM,REST,LT	5.9 	6.39 	5.78 	6.17 	5.41 
EUR,PERS,N1-3,DOM,REST,LU	42.33 u	41.3 u	22.08 	25.74 	18.23 
EUR,PERS,N1-3,DOM,REST,LV	2.7 	3.53 	2.59 	2.73 	1.36 
EUR,PERS,N1-3,DOM,REST,MT	: 	: 	: b	: 	: 
EUR,PERS,N1-3,DOM,REST,NL	11.46 	10.16 	9.23 	9.95 	9.29 
EUR,PERS,N1-3,DOM,REST,PL	10.06 	9.31 	7.72 b	14.76 	14.35 
EUR,PERS,N1-3,DOM,REST,PT	11.95 	13.69 	10.22 	5.62 	7.04 
EUR,PERS,N1-3,DOM,REST,RO	9 	8.14 	7.23 	7 	5.26 
EUR,PERS,N1-3,DOM,REST,SI	7.16 	6.82 	8 	7.13 	6.65 
EUR,PERS,N1-3,DOM,REST,SK	9.37 	8.45 	8.27 	7.38 b	: 
EUR,PERS,N1-3,DOM,REST,UK	: 	: 	: 	24.19 	24.68 
EUR,PERS,N1-3,DOM,TOTAL,AT	130.2 	133.85 	121.65 	121.1 	118.65 
EUR,PERS,N1-3,DOM,TOTAL,BE	83.81 	85.02 	83.77 	89.75 	84.37 
EUR,PERS,N1-3,DOM,TOTAL,BG	32.86 	34.1 	39.79 	34.17 	30.55 
EUR,PERS,N1-3,DOM,TOTAL,CH	130.94 	126.64 	115.19 	115.18 	105.39 
EUR,PERS,N1-3,DOM,TOTAL,CY	56.5 	54.77 	65.23 	53.42 	36.22 
EUR,PERS,N1-3,DOM,TOTAL,CZ	21.18 	19.93 	15.85 	16.93 	16.62 
EUR,PERS,N1-3,DOM,TOTAL,DE	79.98 	77.1 	78.62 	83.21 	81.49 
EUR,PERS,N1-3,DOM,TOTAL,DK	129.47 	107.42 	126.57 b	115.63 b	61.6 
EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	63.8 e	64.71 	64.05 
EUR,PERS,N1-3,DOM,TOTAL,EE	41.65 	43.82 	34.86 	33.77 	30.07 
EUR,PERS,N1-3,DOM,TOTAL,EL	63.23 	62.87 	59.76 	57.17 	49.89 
EUR,PERS,N1-3,DOM,TOTAL,ES	55 	52.36 b	39.6 	38.99 	38.19 
EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	63.86 	59.7 e	64.71 	63.07 
EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	63.77 	59.61 e	64.61 	62.93 
EUR,PERS,N1-3,DOM,TOTAL,FI	76.2 	77.01 	76.79 	78.85 	81.12 
EUR,PERS,N1-3,DOM,TOTAL,FR	71.27 	70.35 	68.69 	67.42 	67.1 
EUR,PERS,N1-3,DOM,TOTAL,HR	47.41 	42.3 	44.23 	49.27 	41 
EUR,PERS,N1-3,DOM,TOTAL,HU	26.49 	24.97 	23.75 	22.21 	21.08 
EUR,PERS,N1-3,DOM,TOTAL,IE	93.74 	92.59 	91.39 	90.41 	88.56 
EUR,PERS,N1-3,DOM,TOTAL,IT	90.93 	92.05 	73.35 b	81.49 	86.32 
EUR,PERS,N1-3,DOM,TOTAL,LT	32.85 	28.98 	24.85 	22.5 	23.22 
EUR,PERS,N1-3,DOM,TOTAL,LU	146.7 u	161.92 u	163.89 	122.42 	66.51 
EUR,PERS,N1-3,DOM,TOTAL,LV	21.3 	23.05 	21.36 	22.95 	20.79 
EUR,PERS,N1-3,DOM,TOTAL,MT	74.71 	65.36 	68.01 b	54.35 	62.27 
EUR,PERS,N1-3,DOM,TOTAL,NL	49.82 	45.24 	41.77 	39.17 	36.95 
EUR,PERS,N1-3,DOM,TOTAL,PL	32.69 	31.46 	27.5 b	48.53 	55.82 
EUR,PERS,N1-3,DOM,TOTAL,PT	36.53 	37.7 	35.27 	26.2 	29.92 
EUR,PERS,N1-3,DOM,TOTAL,RO	35.06 	32.19 	29.14 	28.18 	24.2 
EUR,PERS,N1-3,DOM,TOTAL,SE	71.85 	68.81 	61.13 	: 	: 
EUR,PERS,N1-3,DOM,TOTAL,SI	35.61 	35.2 	37.01 	34.3 	32.53 
EUR,PERS,N1-3,DOM,TOTAL,SK	45.18 	43.01 	47.25 	41.18 b	59 
EUR,PERS,N1-3,DOM,TOTAL,UK	: 	: 	: 	88.35 	91.74 
EUR,PERS,N1-3,DOM,TRA,AT	25.84 	28.69 	27.56 	27.83 	23.65 
EUR,PERS,N1-3,DOM,TRA,BE	10.97 	10.12 	13.22 	12.75 	13.74 
EUR,PERS,N1-3,DOM,TRA,BG	9.26 	10.01 	13.6 	12.11 	11.4 
EUR,PERS,N1-3,DOM,TRA,CH	17.25 	17.54 	18.98 	18.28 	18.02 
EUR,PERS,N1-3,DOM,TRA,CY	7.93 	12.14 	13.05 	12.06 	13.74 
EUR,PERS,N1-3,DOM,TRA,CZ	4.54 	4.52 	4.47 	4.62 	4.44 
EUR,PERS,N1-3,DOM,TRA,DE	27.75 	27.31 	29.06 	30.26 	31.15 
EUR,PERS,N1-3,DOM,TRA,DK	42.69 	35.99 	47.99 b	38.98 b	20.76 
EUR,PERS,N1-3,DOM,TRA,EA	: 	: 	20.44 e	20.7 	20.76 
EUR,PERS,N1-3,DOM,TRA,EE	12.35 	14.95 	12.68 	12.83 	11.91 
EUR,PERS,N1-3,DOM,TRA,EL	18.83 	18.89 	19.11 	19.52 	17.72 
EUR,PERS,N1-3,DOM,TRA,ES	14.12 	15.54 b	10.37 	10.14 	9.13 
EUR,PERS,N1-3,DOM,TRA,EU27	: 	19.64 	19.12 e	20.13 	19.7 
EUR,PERS,N1-3,DOM,TRA,EU28	: 	19.63 	19.1 e	20.11 	19.69 
EUR,PERS,N1-3,DOM,TRA,FI	21.42 	23.18 	24.06 	24.64 	26.09 
EUR,PERS,N1-3,DOM,TRA,FR	21.42 	22.33 	22.18 	22.26 	22.47 
EUR,PERS,N1-3,DOM,TRA,HR	17.55 	16.49 	15.39 	16.57 	17.52 
EUR,PERS,N1-3,DOM,TRA,HU	5.87 	5.74 	6.1 	6.07 	5.83 
EUR,PERS,N1-3,DOM,TRA,IE	15.2 	15.65 	16.73 	17.25 	17.3 
EUR,PERS,N1-3,DOM,TRA,IT	27.82 	27.44 	25.64 b	25.85 	27.44 
EUR,PERS,N1-3,DOM,TRA,LT	9.26 	8.66 	6.46 	5.6 	5.49 
EUR,PERS,N1-3,DOM,TRA,LU	53.41 u	59.53 u	79.69 	44.77 	21.79 
EUR,PERS,N1-3,DOM,TRA,LV	8.19 	9.01 	8.47 	9.36 	8.4 
EUR,PERS,N1-3,DOM,TRA,MT	5.23 	4.94 	5.27 b	4.62 	4.51 
EUR,PERS,N1-3,DOM,TRA,NL	10.47 	10.46 	11.26 	9.83 	9.72 
EUR,PERS,N1-3,DOM,TRA,PL	8.42 	8.17 	7.63 b	15.03 	17.36 
EUR,PERS,N1-3,DOM,TRA,PT	13.09 	11.58 	12.98 	11.15 	11.87 
EUR,PERS,N1-3,DOM,TRA,RO	12.39 	11.92 	10.88 	10.23 	6.09 
EUR,PERS,N1-3,DOM,TRA,SE	16.67 	18.14 	16.84 	: 	: 
EUR,PERS,N1-3,DOM,TRA,SI	7.29 	7.35 	8.06 	8.67 	8.8 
EUR,PERS,N1-3,DOM,TRA,SK	8.11 	8.16 	12.85 	8.27 b	14.78 
EUR,PERS,N1-3,DOM,TRA,UK	: 	: 	: 	23.49 	24.63 
EUR,PERS,N1-3,OUT,ACC,AT	56.69 	61.85 	61.94 	62.33 	62.6 
EUR,PERS,N1-3,OUT,ACC,BE	48.52 	43.32 	48.19 	50.56 	51.46 
EUR,PERS,N1-3,OUT,ACC,BG	18.16 	24.69 	20.11 	19.42 	17.51 
EUR,PERS,N1-3,OUT,ACC,CH	62.66 	55.26 	58.28 	71.02 	51.52 
EUR,PERS,N1-3,OUT,ACC,CY	33.46 	36.95 	36.42 	35.84 	46.05 
EUR,PERS,N1-3,OUT,ACC,CZ	17.8 	15.67 	15.12 	15.49 	14.47 
EUR,PERS,N1-3,OUT,ACC,DE	46.72 	47.92 	47.17 	50.88 	50.99 
EUR,PERS,N1-3,OUT,ACC,DK	58.46 	49.48 	48.04 b	45.25 b	35.22 
EUR,PERS,N1-3,OUT,ACC,EA	: 	: 	41.57 e	44.53 	43.24 
EUR,PERS,N1-3,OUT,ACC,EE	24.04 	21.7 	25.16 	25.56 	24.5 
EUR,PERS,N1-3,OUT,ACC,EL	29.58 	29.07 	30.04 	32.96 	19.02 
EUR,PERS,N1-3,OUT,ACC,ES	41.61 	38.1 b	31.7 	29.54 	24.03 
EUR,PERS,N1-3,OUT,ACC,EU27	: 	40.83 	38.53 e	46.01 	43.63 
EUR,PERS,N1-3,OUT,ACC,EU28	: 	40.54 	38.22 e	45.61 	43.28 
EUR,PERS,N1-3,OUT,ACC,FI	38.84 	38.73 	39.4 	42.98 	40.89 
EUR,PERS,N1-3,OUT,ACC,FR	44.42 	42.61 	41.98 	38.96 	38.2 
EUR,PERS,N1-3,OUT,ACC,HR	27.01 	22.5 	19.77 	20.28 	22.43 
EUR,PERS,N1-3,OUT,ACC,HU	11.02 	10.71 	11.72 	12.81 	11.07 
EUR,PERS,N1-3,OUT,ACC,IE	42.43 	47.88 	42.72 	38.9 	39.59 
EUR,PERS,N1-3,OUT,ACC,IT	53.16 	35.47 	31.81 b	45.18 	36.04 
EUR,PERS,N1-3,OUT,ACC,LT	19.1 	22.04 	15.39 	14.72 	13.21 
