unit,purpose,duration,partner,expend,geo\time	2016 	2015 	2014 	2013 	2012 
EUR,PERS,N1-3,DOM,REST,ES	28.8 	30.98 b	11.72 	9.92 	10.79 
EUR,PERS,N1-3,DOM,REST,EU27	: 	24.09 	17.81 e	22.77 	22.7 
EUR,PERS,N1-3,DOM,REST,EU28	: 	24.08 	17.81 e	22.71 	22.64 
EUR,PERS,N1-3,DOM,REST,FI	31.63 	31.16 	29.47 	30.96 	31.18 
EUR,PERS,N1-3,DOM,REST,FR	26.67 	25.56 	25.13 	23.83 	23.99 
EUR,PERS,N1-3,DOM,REST,HR	24.73 	22.72 	17.85 	15.82 	15 
EUR,PERS,N1-3,DOM,REST,HU	5.46 	4.92 	4.41 	4.26 	4.1 
EUR,PERS,N1-3,DOM,REST,IT	: 	: 	: b	: 	: 
EUR,PERS,N1-3,DOM,REST,LT	10.31 	11.47 	10.56 	10.86 	9.86 
EUR,PERS,N1-3,DOM,REST,LU	74.88 u	78.75 u	37.47 	35.79 	26.17 
EUR,PERS,N1-3,DOM,REST,LV	4.07 	5.3 	3.91 	4.27 	1.98 
EUR,PERS,N1-3,DOM,REST,MT	: 	: 	: b	: 	: 
EUR,PERS,N1-3,DOM,REST,NL	19.62 	17.22 	15.73 	16.82 	15.74 
EUR,PERS,N1-3,DOM,REST,PL	19.23 	17.63 	14.41 b	32.83 	28.78 
EUR,PERS,N1-3,DOM,REST,PT	19.68 	22.84 	16.68 	9.08 	11.02 
EUR,PERS,N1-3,DOM,REST,RO	18.89 	16.81 	15.28 	14.29 	10.71 
EUR,PERS,N1-3,DOM,REST,SI	13.89 	13.24 	14.63 	13.02 	12.41 
EUR,PERS,N1-3,DOM,REST,SK	19.42 	17.93 	17.06 	15.29 b	: 
EUR,PERS,N1-3,DOM,REST,UK	: 	: 	: 	44.2 	45.02 
EUR,PERS,N1-3,DOM,TOTAL,AT	259.2 	264.03 	241.2 	237.35 	238.53 
EUR,PERS,N1-3,DOM,TOTAL,BE	158.08 	156.78 	156.93 	169.12 	164.22 
EUR,PERS,N1-3,DOM,TOTAL,BG	69.25 	72.61 	87.3 	70 	60.47 
EUR,PERS,N1-3,DOM,TOTAL,CH	235.26 	213.87 	201.01 	200.41 	185.33 
EUR,PERS,N1-3,DOM,TOTAL,CY	96.54 	93.99 	108.88 	93.37 	61.45 
EUR,PERS,N1-3,DOM,TOTAL,CZ	40.97 	38.71 	31.72 	32.88 	32.3 
EUR,PERS,N1-3,DOM,TOTAL,DE	154.87 	153.28 	158.82 	167.6 	160.87 
EUR,PERS,N1-3,DOM,TOTAL,DK	199.52 	166.94 	194.97 b	177.94 b	95.65 
EUR,PERS,N1-3,DOM,TOTAL,EA	: 	: 	121.87 e	123.39 	121.19 
EUR,PERS,N1-3,DOM,TOTAL,EE	66.86 	72.02 	57.85 	57.02 	51.39 
EUR,PERS,N1-3,DOM,TOTAL,EL	144.7 	138.49 	134.08 	123.11 	103.12 
EUR,PERS,N1-3,DOM,TOTAL,ES	100.25 	95.73 b	79.29 	77.66 	75.99 
EUR,PERS,N1-3,DOM,TOTAL,EU27	: 	118.71 	113.03 e	122.97 	118.58 
EUR,PERS,N1-3,DOM,TOTAL,EU28	: 	118.56 	112.84 e	122.76 	118.35 
